Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,140,-40,-18,-22,-25,15,1,-40,1,-1,-4,-1
  └─ Profit from operations,13.45,8.98,-14.77,-11.78,-5.69,8.11,-3.41,-5.02,0.11,0.88,-0.96,-0.91
  └─ Receivables,130.76,-89.77,-21.17,-1.49,9.83,-1.11,18.46,11.65,4.21,-0.17,1.63,0.00
  └─ Inventory,-2.26,2.99,2.15,-14.67,0.79,2.69,1.80,2.95,0.25,0.00,0.00,0.00
  └─ Payables,-1.96,37.41,-3.48,-6.77,2.78,4.75,-17.53,-2.04,-6.11,-3.45,-0.59,-0.47
  └─ Other WC items,0.00,0.00,19.19,12.14,-32.70,0.64,1.30,-47.62,3.06,2.09,-3.83,0.61
  └─ Working capital changes,126.54,-49.37,-3.30,-10.79,-19.30,6.97,4.03,-35.05,1.41,-1.53,-2.79,0.14
  └─ Direct taxes,0.00,0.00,0.06,0.21,-0.03,-0.13,0.39,0.00,-0.07,0.00,0.00,0.03
Cash from Investing Activity,-15,-139,7,28,9,6,0,46,-1,0,2,-0
  └─ Fixed assets purchased,-4.48,-124.07,-9.09,0.00,-1.77,-2.61,-0.67,0.00,0.00,0.00,-1.38,0.00
  └─ Fixed assets sold,0.00,-20.49,0.00,17.59,0.00,8.45,1.38,5.81,1.81,0.00,3.40,0.00
  └─ Investments purchased,-11.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.42,0.00,0.00,0.00
  └─ Investments sold,0.00,5.19,1.40,2.64,7.65,0.00,0.00,34.06,0.00,0.00,0.09,0.00
  └─ Interest received,0.54,0.58,14.46,7.93,3.17,0.55,0.15,0.01,0.29,0.43,0.24,0.00
  └─ Acquisition of companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,-0.82,-0.36,5.70,0.00,0.00,0.00,0.00
Cash from Financing Activity,-119,177,12,-7,15,-20,-5,-6,0,0,1,1
  └─ Proceeds from debentures,0.00,0.00,0.00,0.00,0.00,15.78,2.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,13.37,0.07,1.18,0.31,0.00,0.00,0.00,0.00,1.37,0.54
  └─ Repayment of borrowings,0.00,0.00,0.00,-5.65,0.00,-24.26,-0.11,-5.70,0.00,0.00,0.00,0.00
  └─ Interest paid fin,0.00,0.00,-0.93,-1.04,-1.19,0.00,-0.07,0.00,0.00,0.00,0.00,0.00
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-12.33,-6.91,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,-118.92,177.48,0.00,0.00,14.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,6,-2,1,-1,-1,0,-4,-0,0,-0,-0,-0
  └─ Free Cash Flow,136,-185,-27,-5,-27,21,2,-34,3,-1,-2,-1
  └─ CFO/OP,826%,304%,219%,211%,454%,205%,-14%,763%,1169%,217%,735%,104%
