Metric,Sep 2014,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,170,331,223,254,281,405,311,202,326,436,583,540
  └─ Profit from operations,150,376,215,252,303,325,281,231,323,501,586,624
  └─ Receivables,4,-3,2,-9,7,0,1,0,-1,-0,-2,-3
  └─ Inventory,6,25,-0,0,0,0,-52,0,-2,1,-21,-28
  └─ Payables,0,0,0,1,5,28,-6,-3,5,-7,2,-2
  └─ Loans Advances,0,0,0,1,2,12,-24,-0,0,0,-0,-0
  └─ Other WC items,14,-61,9,10,-21,23,124,-16,11,-39,41,-4
  └─ Working capital changes,25,-39,11,4,-6,64,43,-19,14,-46,20,-37
  └─ Direct taxes,-4,-5,-3,-2,-15,16,-13,-10,-10,-19,-23,-47
Cash from Investing Activity,-17,25,-30,12,-24,-158,-83,-7,-60,-40,-245,-45
  └─ Fixed assets purchased,-49.67,-9.40,-2.56,-112.90,-5.37,-5.00,-106.44,-3.34,-79.42,-112.82,-243.03,-32.77
  └─ Fixed assets sold,0.02,0.07,2.05,1.26,2.07,0.00,0.00,0.03,0.00,0.00,0.00,0.00
  └─ Capital WIP,0.00,0.00,0.00,107.66,0.05,0.01,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,28.12,-25.21,0.00,0.00,-141.14,-55.21,-9.34,0.00,0.00,-3.02,0.00
  └─ Investments sold,28.41,4.15,0.00,14.60,21.40,2.67,47.97,0.00,76.27,110.33,0.00,0.36
  └─ Interest received,4.21,2.49,1.96,1.70,2.07,3.02,3.95,3.85,2.79,5.17,13.94,14.62
  └─ Dividends received,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.02,0.01,0.01,0.00,0.00
  └─ Inter corporate deposits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.21,0.17,0.00
  └─ Other investing items,0.00,0.00,-6.35,0.00,-44.52,-17.67,26.65,1.34,-59.32,-43.16,-12.57,-27.00
Cash from Financing Activity,-182,-352,-191,-259,-265,-249,-222,-197,-283,-354,-338,-487
  └─ Proceeds from borrowings,0,0,0,5,3,115,0,0,0,0,0,0
  └─ Repayment of borrowings,0,0,0,-54,-73,0,-44,-4,-113,-115,-184,-370
  └─ Interest paid fin,-199,-272,-190,-209,-190,-200,-206,-191,-169,-235,-147,-108
  └─ Dividends paid,0,0,0,0,-10,-20,0,0,0,-3,-6,-8
  └─ Financial liabilities,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
  └─ Other financing items,17,-80,-2,-1,5,-144,28,0,0,0,0,0
Net Cash Flow,-28,4,2,7,-8,-2,5,-2,-17,41,1,8
  └─ Free Cash Flow,121,322,223,250,278,400,204,199,246,323,340,507
  └─ CFO/OP,120%,90%,108%,102%,98%,118%,109%,92%,105%,91%,104%,95%
