Metric,Jun 2010,Jun 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity,251,-1453,3419,2234,1272,981,975,1114,1125,2458,-3006,400
  └─ Profit from operations,897,1108,2425,1279,1246,1123,1052,1220,1488,1393,200,-75
  └─ Receivables,-98,-171,0,109,-108,-15,-100,-176,-123,-1403,-478,717
  └─ Inventory,-302,-1188,-790,1338,-403,-227,-14,-214,-164,55,121,309
  └─ Payables,691,792,858,-1755,0,201,-161,114,230,320,-187,-116
  └─ Loans Advances,-893,-1901,1337,1213,-281,0,0,0,0,0,0,0
  └─ Other WC items,0,0,0,0,787,-48,104,95,-219,2219,-2479,-450
  └─ Working capital changes,-602,-2467,1406,906,-5,-90,-170,-181,-276,1190,-3023,461
  └─ Interest paid,0,0,0,0,-32,0,0,0,0,0,0,0
  └─ Direct taxes,-39,-86,-74,-16,-32,-48,56,-10,-73,-63,-108,-4
  └─ Other operating items,-76,-8,-339,65,95,-5,38,85,-14,-62,-75,18
  └─ Exceptional CF items,71,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activity,-448,-1333,-2080,-364,-1039,-1308,-762,-1189,-1431,-1775,3588,37
  └─ Fixed assets purchased,-728.60,-1018.33,-2054.46,-400.28,-1070.68,-1504.43,-1286.85,-1661.23,-1497.25,-1691.67,-111.69,-10.03
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,275.63,0.00,0.00,0.00,0.00,3609.20,0.55
  └─ Capital WIP,125.34,-40.17,-208.10,159.03,116.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,-282.28,0.00,-29.08,-104.57,0.00,0.00,0.00,0.00,-128.75,0.00,0.00
  └─ Investments sold,32.99,0.00,158.31,0.00,0.00,0.17,427.66,442.88,40.36,0.00,32.71,11.00
  └─ Interest received,0.00,7.73,22.78,25.28,15.95,48.02,94.02,29.67,25.97,44.98,57.46,35.28
  └─ Dividends received,2.25,0.00,1.81,1.14,3.16,3.47,3.46,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,120.10,0.00,0.00,-120.40,0.00,-130.74,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,281,3021,-1660,-1902,-270,347,-197,94,345,-816,-555,-465
  └─ Proceeds from shares,297,168,174,0,1932,73,7,101,7,308,0,0
  └─ Proceeds from debentures,0,685,715,0,0,0,0,0,0,0,0,0
  └─ Redemption of debentures,0,0,0,-1154,-250,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,494,2809,0,0,0,0,0,0,0,0,399,393
  └─ Repayment of borrowings,0,0,0,0,-1279,0,0,0,0,-373,0,0
  └─ Investment subsidy,0,0,0,10,0,0,0,0,0,0,0,0
  └─ Interest paid fin,-493,-615,-1647,-726,-679,-507,-522,-578,-598,-719,-817,-743
  └─ Dividends paid,-17,-26,-24,-30,-17,-26,-6,-12,-3,-3,0,0
  └─ Financial liabilities,0,0,0,0,0,0,0,0,0,-28,-137,-229
  └─ Other financing items,0,0,-878,-3,23,807,323,582,939,0,0,115
Net Cash Flow,84,235,-321,-32,-37,20,16,19,39,-134,27,-28
  └─ Free Cash Flow,-352,-2512,1156,1993,318,-248,-311,-548,-372,766,492,390
  └─ CFO/OP,38%,-131%,181%,231%,111%,93%,90%,93%,81%,185%,-1562%,-92%
