Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,13,26,12,19,19,24,14,22,1,-16,-64
  └─ Profit from operations,16,26,31,31,27,40,28,27,35,44,125
  └─ Receivables,2,2,-11,-2,-4,-16,2,5,-13,-18,-73
  └─ Inventory,-1,5,-2,-5,4,1,-5,-13,-18,-31,-101
  └─ Payables,1,1,-1,2,0,1,1,2,1,0,6
  └─ Loans Advances,-1,2,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-1,-4,4,-0,-3,5,-4,7,4,-3,1
  └─ Working capital changes,-1,6,-10,-6,-2,-9,-7,0,-27,-53,-167
  └─ Direct taxes,-3,-5,-8,-6,-6,-7,-7,-5,-8,-8,-22
Cash from Investing Activity,-6,-11,-3,-8,-15,-4,-11,-13,-20,-9,-15
  └─ Fixed assets purchased,-6.47,-9.68,-3.62,-8.23,-14.39,-5.71,-12.57,-12.48,-15.85,-15.47,-15.10
  └─ Fixed assets sold,0.11,0.00,0.26,0.22,0.36,0.21,1.45,0.12,0.20,0.04,0.11
  └─ Investments purchased,0.00,-1.72,-0.55,-0.18,-1.69,-0.02,-0.02,-0.22,0.00,0.00,-8.75
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.25,1.56,8.24
  └─ Interest received,0.12,0.38,0.48,0.17,0.17,0.26,0.00,0.00,0.12,0.25,0.04
  └─ Dividends received,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
  └─ Redemp n Canc of Shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Acquisition of companies,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Inter corporate deposits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,5.00,0.00
  └─ Other investing items,0.21,0.00,0.00,0.00,0.52,1.40,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,-6,-15,-9,-10,-3,-21,1,-14,19,24,80
  └─ Proceeds from borrowings,4,0,0,0,5,0,6,0,27,41,102
  └─ Repayment of borrowings,-2,-6,0,0,0,-14,0,-12,0,0,0
  └─ Interest paid fin,-3,-3,-2,-1,-2,-2,-2,-1,-2,-5,-7
  └─ Dividends paid,-5,-7,-4,-4,-6,-5,-3,0,-5,-11,-15
  └─ Other financing items,0,0,-3,-5,0,0,0,0,0,0,0
Net Cash Flow,0,-0,-0,0,1,-1,4,-4,0,-0,0
  └─ Free Cash Flow,6,17,9,11,5,18,3,10,-15,-32,-79
  └─ CFO/OP,93%,121%,66%,91%,94%,77%,69%,110%,27%,-18%,-36%
