Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1,-5,-3,-4,17,-6
  └─ Profit from operations,5.29,7.38,9.33,14.22,19.27,12.14
  └─ Receivables,-11.07,-12.64,-11.86,-8.77,-14.24,16.38
  └─ Inventory,-3.70,-20.16,0.08,-7.70,-1.17,-16.62
  └─ Payables,1.63,20.02,-0.70,-2.45,11.11,-11.62
  └─ Loans Advances,0.16,-0.16,0.00,0.00,0.00,0.00
  └─ Other WC items,9.04,0.51,0.65,0.91,2.54,-6.16
  └─ Working capital changes,-3.94,-12.44,-11.83,-18.01,-1.76,-18.02
  └─ Direct taxes,-0.18,-0.15,-0.35,-0.40,-0.99,0.00
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,-0.22
Cash from Investing Activity,-8,-4,-5,-1,1,-1
  └─ Fixed assets purchased,-7.77,-4.79,-5.06,-1.30,-0.92,-1.02
  └─ Fixed assets sold,0.16,0.20,0.00,0.07,1.72,0.05
  └─ Interest received,0.00,0.00,0.01,0.01,0.01,0.02
  └─ Other investing items,-0.34,1.08,0.00,0.00,0.00,0.00
Cash from Financing Activity,7,9,8,6,-17,17
  └─ Proceeds from shares,1.50,8.33,0.00,0.00,0.00,34.60
  └─ Proceeds from borrowings,7.31,4.87,22.61,36.77,6.21,0.00
  └─ Repayment of borrowings,0.00,-0.61,-9.60,-24.03,-16.88,-11.54
  └─ Interest paid fin,-3.21,-3.96,-5.17,-7.13,-6.66,-6.24
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-0.27
  └─ Other financing items,1.20,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,0,-0,-0,0,-0,10
  └─ Free Cash Flow,-6,-10,-8,-5,17,-7
  └─ CFO/OP,25%,-69%,-27%,-27%,99%,-52%
