Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,71,57,48,29,152,43,137,65
  └─ Profit from operations,80,108,127,192,227,254,270,288
  └─ Receivables,-34,-20,-40,-43,-29,-113,-85,-135
  └─ Inventory,-21,-4,-32,-48,1,-94,-73,-49
  └─ Payables,67,-7,24,-21,0,50,85,31
  └─ Working capital changes,11,-31,-48,-112,-28,-157,-73,-154
  └─ Direct taxes,-20,-20,-31,-50,-48,-54,-59,-69
Cash from Investing Activity,-37,-190,-37,-299,-181,-103,-183,-219
  └─ Fixed assets purchased,-44,-76,-58,-38,-33,-131,-159,-265
  └─ Fixed assets sold,0,0,2,2,2,5,0,24
  └─ Investments purchased,0,-14,0,0,-14,-9,-18,0
  └─ Investments sold,7,0,14,2,0,0,0,23
  └─ Interest received,1,1,4,5,2,3,1,1
  └─ Dividends received,0,0,0,0,0,0,0,1
  └─ Invest in subsidiaries,0,0,-4,-340,0,0,0,0
  └─ Investment in group cos,0,-4,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,-15,-99,-18,-0,0
  └─ Other investing items,-0,-98,6,86,-39,46,-7,-5
Cash from Financing Activity,-29,157,-25,292,61,16,65,186
  └─ Proceeds from shares,0,100,43,302,4,4,5,1
  └─ Proceeds from borrowings,36,65,0,0,66,43,121,240
  └─ Repayment of borrowings,-52,-2,-61,-5,0,-12,-39,-20
  └─ Interest paid fin,-2,-3,-4,-2,-6,-16,-17,-23
  └─ Dividends paid,-11,-3,-3,-3,-3,-3,-3,-3
  └─ Financial liabilities,0,0,0,0,0,-1,-3,-9
  └─ Other financing items,0,0,0,0,0,0,0,0
Net Cash Flow,5,23,-14,22,32,-44,19,32
  └─ Free Cash Flow,27,-19,-8,-7,120,-83,-21,-175
  └─ CFO/OP,118%,74%,64%,43%,89%,39%,74%,47%
