broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
24-Jul-2026 17:26:56,Quarterly Financial Results,Audited,Audited,24-Jul-2026 17:26:56,24-Jul-2026 17:26:56,
28-Jun-2026 22:35:09,Quarterly Financial Results,Audited,Audited,28-Jun-2026 22:35:09,28-Jun-2026 22:35:09,
16-May-2026 17:58:34,Quarterly Financial Results,Audited,Audited,16-May-2026 17:58:34,16-May-2026 17:58:34,
28-Apr-2026 15:19:28,Quarterly Financial Results,Audited,Audited,28-Apr-2026 15:19:28,28-Apr-2026 15:19:28,
15-Apr-2026 18:24:36,Quarterly Financial Results,Audited,Audited,15-Apr-2026 18:24:36,15-Apr-2026 18:24:36,
25-Mar-2026 10:36:18,Quarterly Financial Results,Audited,Audited,25-Mar-2026 10:36:18,25-Mar-2026 10:36:18,
06-Feb-2026 17:15:01,Quarterly Financial Results,Audited,Audited,06-Feb-2026 17:15:01,06-Feb-2026 17:15:01,
29-Jan-2026 16:21:42,Quarterly Financial Results,Audited,Audited,29-Jan-2026 16:21:42,29-Jan-2026 16:21:42,
29-Jan-2026 16:05:52,Quarterly Financial Results,Audited,Audited,29-Jan-2026 16:05:52,29-Jan-2026 16:05:52,
23-Jan-2026 15:04:42,Quarterly Financial Results,Audited,Audited,23-Jan-2026 15:04:42,23-Jan-2026 15:04:42,
17-Oct-2025 19:19:03,Quarterly Financial Results,Audited,Audited,17-Oct-2025 19:19:03,17-Oct-2025 19:19:03,
17-Oct-2025 18:57:08,Quarterly Financial Results,Audited,Audited,17-Oct-2025 18:57:08,17-Oct-2025 18:57:08,
17-Oct-2025 18:47:12,Quarterly Financial Results,Audited,Audited,17-Oct-2025 18:47:12,17-Oct-2025 18:47:12,
24-Jul-2025 15:36:24,Quarterly Financial Results,Audited,Audited,24-Jul-2025 15:36:24,24-Jul-2025 15:36:24,
04-Jun-2025 15:56:29,Quarterly Financial Results,Audited,Audited,04-Jun-2025 15:56:29,04-Jun-2025 15:56:29,
08-May-2025 16:00:21,Quarterly Financial Results,Audited,Audited,08-May-2025 16:00:21,08-May-2025 16:00:21,
08-May-2025 15:51:50,Quarterly Financial Results,Audited,Audited,08-May-2025 15:51:50,08-May-2025 15:51:50,
26-Mar-2025 11:20:25,Quarterly Financial Results,Audited,Audited,26-Mar-2025 11:20:25,26-Mar-2025 11:20:25,
