bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate
-,-,HDFC Life Insurance Company Limited,19-Jun-2026,10,-,INE795G01014,-,-,19-Jun-2026,EQ,Dividend - Rs 2.10 Per Share,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,20-Jun-2025,10,-,INE795G01014,-,-,20-Jun-2025,EQ,Dividend - Rs 2.10 Per Share,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,21-Jun-2024,10,-,INE795G01014,-,-,21-Jun-2024,EQ,Dividend - Rs 2 Per Share,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,16-Jun-2023,10,-,INE795G01014,-,-,16-Jun-2023,EQ,Dividend - Rs 1.90 Per Share,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,31-May-2022,10,-,INE795G01014,-,-,01-Jun-2022,EQ,Dividend - Rs 1.70 Per Share,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,30-Jun-2021,10,-,INE795G01014,-,-,01-Jul-2021,EQ, Dividend - Rs 2.02 Per Sh,HDFCLIFE,HDFC Life Insurance Company Ltd.,
23-Jul-2019,15-Jul-2019,HDFC Life Insurance Company Limited,11-Jul-2019,10,-,INE795G01014,-,-,-,EQ, Annual General Meeting,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,14-Mar-2019,10,-,INE795G01014,-,-,15-Mar-2019,EQ, Interim Dividend - Rs 1.63 Per Share,HDFCLIFE,HDFC Life Insurance Company Ltd.,
20-Jul-2018,16-Jul-2018,HDFC Life Insurance Company Limited,12-Jul-2018,10,-,INE795G01014,-,-,-,EQ, Annual General Meeting,HDFCLIFE,HDFC Life Insurance Company Ltd.,
-,-,HDFC Life Insurance Company Limited,15-Dec-2017,10,-,INE795G01014,-,-,18-Dec-2017,EQ, Interim Dividend - Rs 1.36 Per Share (Purpose Revised),HDFCLIFE,HDFC Life Insurance Company Ltd.,
