broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
03-Aug-2026 17:07:10,Quarterly Financial Results,Audited,Audited,03-Aug-2026 17:07:10,03-Aug-2026 17:07:10,
14-May-2026 17:34:34,Quarterly Financial Results,Audited,Audited,14-May-2026 17:34:34,14-May-2026 17:34:34,
14-May-2026 17:05:04,Quarterly Financial Results,Audited,Audited,14-May-2026 17:05:04,14-May-2026 17:05:04,
07-Apr-2026 17:17:17,Quarterly Financial Results,Audited,Audited,07-Apr-2026 17:17:17,07-Apr-2026 17:17:17,
12-Feb-2026 15:39:39,Quarterly Financial Results,Audited,Audited,12-Feb-2026 15:39:39,12-Feb-2026 15:39:39,
12-Feb-2026 15:36:55,Quarterly Financial Results,Audited,Audited,12-Feb-2026 15:36:55,12-Feb-2026 15:36:55,
13-Nov-2025 15:58:38,Quarterly Financial Results,Audited,Audited,13-Nov-2025 15:58:38,13-Nov-2025 15:58:38,
13-Nov-2025 15:51:44,Quarterly Financial Results,Audited,Audited,13-Nov-2025 15:51:44,13-Nov-2025 15:51:44,
13-Aug-2025 16:13:59,Quarterly Financial Results,Audited,Audited,13-Aug-2025 16:13:59,13-Aug-2025 16:13:59,
13-Aug-2025 15:55:42,Quarterly Financial Results,Audited,Audited,13-Aug-2025 15:55:42,13-Aug-2025 15:55:42,
28-Jul-2025 16:17:06,Quarterly Financial Results,Audited,Audited,28-Jul-2025 16:17:06,28-Jul-2025 16:17:06,
14-May-2025 16:45:08,Quarterly Financial Results,Audited,Audited,14-May-2025 16:45:08,14-May-2025 16:45:08,
14-May-2025 16:38:52,Quarterly Financial Results,Audited,Audited,14-May-2025 16:38:52,14-May-2025 16:38:52,
08-Apr-2025 13:55:58,Quarterly Financial Results,Audited,Audited,08-Apr-2025 13:55:58,08-Apr-2025 13:55:58,
12-Feb-2025 15:45:00,Quarterly Financial Results,Audited,Audited,12-Feb-2025 15:45:00,12-Feb-2025 15:45:00,
12-Feb-2025 15:41:58,Quarterly Financial Results,Audited,Audited,12-Feb-2025 15:41:58,12-Feb-2025 15:41:58,
14-Nov-2024 15:58:36,Quarterly Financial Results,Audited,Audited,14-Nov-2024 15:58:36,14-Nov-2024 15:58:36,
14-Nov-2024 15:50:33,Quarterly Financial Results,Audited,Audited,14-Nov-2024 15:50:33,14-Nov-2024 15:50:33,
13-Aug-2024 15:57:27,Quarterly Financial Results,Audited,Audited,13-Aug-2024 15:57:27,13-Aug-2024 15:57:27,
13-Aug-2024 15:54:17,Quarterly Financial Results,Audited,Audited,13-Aug-2024 15:54:17,13-Aug-2024 15:54:17,
30-May-2024 16:04:50,Quarterly Financial Results,Audited,Audited,30-May-2024 16:04:50,30-May-2024 16:04:50,
30-May-2024 15:57:35,Quarterly Financial Results,Audited,Audited,30-May-2024 15:57:35,30-May-2024 15:57:35,
30-May-2024 15:53:12,Quarterly Financial Results,Audited,Audited,30-May-2024 15:53:12,30-May-2024 15:53:12,
20-May-2024 18:07:20,Quarterly Financial Results,Audited,Audited,20-May-2024 18:07:20,20-May-2024 18:07:20,
18-Apr-2024 13:38:10,Quarterly Financial Results,Audited,Audited,18-Apr-2024 13:38:10,18-Apr-2024 13:38:10,
14-Feb-2024 17:02:34,Quarterly Financial Results,Audited,Audited,14-Feb-2024 17:02:34,14-Feb-2024 17:02:34,
14-Feb-2024 16:11:58,Quarterly Financial Results,Audited,Audited,14-Feb-2024 16:11:58,14-Feb-2024 16:11:58,
09-Nov-2023 18:05:03,Quarterly Financial Results,Audited,Audited,09-Nov-2023 18:05:03,09-Nov-2023 18:05:03,
09-Nov-2023 17:51:48,Quarterly Financial Results,Audited,Audited,09-Nov-2023 17:51:48,09-Nov-2023 17:51:48,
11-Aug-2023 16:42:45,Quarterly Financial Results,Audited,Audited,11-Aug-2023 16:42:45,11-Aug-2023 16:42:45,
19-May-2023 17:21:40,Quarterly Financial Results,Audited,Audited,19-May-2023 17:21:40,19-May-2023 17:21:40,
19-May-2023 16:56:31,Quarterly Financial Results,Audited,Audited,19-May-2023 16:56:31,19-May-2023 16:56:31,
09-Mar-2023 11:18:04,Quarterly Financial Results,Audited,Audited,09-Mar-2023 11:18:04,09-Mar-2023 11:18:04,
06-Feb-2023 17:56:32,Quarterly Financial Results,Audited,Audited,06-Feb-2023 17:56:32,06-Feb-2023 17:56:32,
10-Nov-2022 15:53:21,Quarterly Financial Results,Audited,Audited,10-Nov-2022 15:53:21,10-Nov-2022 15:53:21,
12-Aug-2022 16:08:09,Quarterly Financial Results,Audited,Audited,12-Aug-2022 16:08:09,12-Aug-2022 16:08:09,
06-Aug-2022 15:44:42,Quarterly Financial Results,Audited,Audited,06-Aug-2022 15:44:42,06-Aug-2022 15:44:42,
26-May-2022 16:14:19,Quarterly Financial Results,Audited,Audited,26-May-2022 16:14:19,26-May-2022 16:14:19,
26-May-2022 15:42:20,Quarterly Financial Results,Audited,Audited,26-May-2022 15:42:20,26-May-2022 15:42:20,
18-Apr-2022 14:03:27,Quarterly Financial Results,Audited,Audited,18-Apr-2022 14:03:27,18-Apr-2022 14:03:27,
12-Feb-2022 14:20:14,Quarterly Financial Results,Audited,Audited,12-Feb-2022 14:20:14,12-Feb-2022 14:20:14,
12-Feb-2022 14:11:40,Quarterly Financial Results,Audited,Audited,12-Feb-2022 14:11:40,12-Feb-2022 14:11:40,
19-Nov-2021 19:25:35,Quarterly Financial Results,Audited,Audited,19-Nov-2021 19:25:35,19-Nov-2021 19:25:35,
04-Nov-2021 14:14:53,Quarterly Financial Results,Audited,Audited,04-Nov-2021 14:14:53,04-Nov-2021 14:14:53,
04-Nov-2021 14:11:58,Quarterly Financial Results,Audited,Audited,04-Nov-2021 14:11:58,04-Nov-2021 14:11:58,
06-Aug-2021 14:17:39,Quarterly Financial Results,Audited,Audited,06-Aug-2021 14:17:39,06-Aug-2021 14:17:39,
06-Aug-2021 14:09:06,Quarterly Financial Results,Audited,Audited,06-Aug-2021 14:09:06,06-Aug-2021 14:09:06,
02-Jun-2021 14:48:01,Quarterly Financial Results,Audited,Audited,02-Jun-2021 14:48:01,02-Jun-2021 14:48:01,
02-Jun-2021 13:55:50,Quarterly Financial Results,Audited,Audited,02-Jun-2021 13:55:50,02-Jun-2021 13:55:50,
19-Feb-2021 12:38:02,Quarterly Financial Results,Audited,Audited,19-Feb-2021 12:38:02,19-Feb-2021 12:38:02,
09-Feb-2021 14:14:06,Quarterly Financial Results,Audited,Audited,09-Feb-2021 14:14:06,09-Feb-2021 14:14:06,
03-Nov-2020 13:15:53,Quarterly Financial Results,Audited,Audited,03-Nov-2020 13:15:53,03-Nov-2020 13:15:53,
29-Sep-2020 16:49:13,Quarterly Financial Results,Audited,Audited,29-Sep-2020 16:49:13,29-Sep-2020 16:49:13,
19-Aug-2020 14:46:42,Quarterly Financial Results,Audited,Audited,19-Aug-2020 14:46:42,19-Aug-2020 14:46:42,
18-Jul-2020 14:16:00,Quarterly Financial Results,Audited,Audited,18-Jul-2020 14:16:00,18-Jul-2020 14:16:00,
29-Jun-2020 18:44:00,Quarterly Financial Results,Audited,Audited,29-Jun-2020 18:44:00,29-Jun-2020 18:44:00,
17-Jun-2020 16:07:29,Quarterly Financial Results,Audited,Audited,17-Jun-2020 16:07:29,17-Jun-2020 16:07:29,
31-Mar-2020 18:50:00,Quarterly Financial Results,Audited,Audited,31-Mar-2020 18:50:00,31-Mar-2020 18:50:00,
17-Mar-2020 15:33:00,Quarterly Financial Results,Audited,Audited,17-Mar-2020 15:33:00,17-Mar-2020 15:33:00,
09-Mar-2020 17:41:00,Quarterly Financial Results,Audited,Audited,09-Mar-2020 17:41:00,09-Mar-2020 17:41:00,
14-Feb-2020 18:12:40,Quarterly Financial Results,Audited,Audited,14-Feb-2020 18:12:40,14-Feb-2020 18:12:40,
22-Nov-2019 15:09:00,Quarterly Financial Results,Audited,Audited,22-Nov-2019 15:09:00,22-Nov-2019 15:09:00,
19-Nov-2019 12:02:00,Quarterly Financial Results,Audited,Audited,19-Nov-2019 12:02:00,19-Nov-2019 12:02:00,
13-Nov-2019 20:20:00,Quarterly Financial Results,Audited,Audited,13-Nov-2019 20:20:00,13-Nov-2019 20:20:00,
13-Nov-2019 16:45:25,Quarterly Financial Results,Audited,Audited,13-Nov-2019 16:45:25,13-Nov-2019 16:45:25,
28-Sep-2019 09:37:00,Quarterly Financial Results,Audited,Audited,28-Sep-2019 09:37:00,28-Sep-2019 09:37:00,
12-Aug-2019 18:47:00,Quarterly Financial Results,Audited,Audited,12-Aug-2019 18:47:00,12-Aug-2019 18:47:00,
12-Aug-2019 18:39:41,Quarterly Financial Results,Audited,Audited,12-Aug-2019 18:39:41,12-Aug-2019 18:39:41,
13-May-2019 16:05:56,Quarterly Financial Results,Audited,Audited,13-May-2019 16:05:56,13-May-2019 16:05:56,
06-Feb-2019 13:42:55,Quarterly Financial Results,Audited,Audited,06-Feb-2019 13:42:55,06-Feb-2019 13:42:55,
06-Dec-2018 14:23:35,Quarterly Financial Results,Audited,Audited,06-Dec-2018 14:23:35,06-Dec-2018 14:23:35,
04-Sep-2018 15:58:00,Quarterly Financial Results,Audited,Audited,04-Sep-2018 15:58:00,04-Sep-2018 15:58:00,
04-Sep-2018 15:33:38,Quarterly Financial Results,Audited,Audited,04-Sep-2018 15:33:38,04-Sep-2018 15:33:38,
16-May-2018 16:52:00,Quarterly Financial Results,Audited,Audited,16-May-2018 16:52:00,16-May-2018 16:52:00,
16-May-2018 15:41:04,Quarterly Financial Results,Audited,Audited,16-May-2018 15:41:04,16-May-2018 15:41:04,
08-Feb-2018 15:15:07,Quarterly Financial Results,Audited,Audited,08-Feb-2018 15:15:07,08-Feb-2018 15:15:07,
08-Nov-2017 16:13:24,Quarterly Financial Results,Audited,Audited,08-Nov-2017 16:13:24,08-Nov-2017 16:13:24,
08-Aug-2017 14:40:14,Quarterly Financial Results,Audited,Audited,08-Aug-2017 14:40:14,08-Aug-2017 14:40:14,
02-Jun-2017 18:37:00,Quarterly Financial Results,Audited,Audited,02-Jun-2017 18:37:00,02-Jun-2017 18:37:00,
18-May-2017 16:59:01,Quarterly Financial Results,Audited,Audited,18-May-2017 16:59:01,18-May-2017 16:59:01,
13-Feb-2017 16:36:00,Quarterly Financial Results,Audited,Audited,13-Feb-2017 16:36:00,13-Feb-2017 16:36:00,
13-Feb-2017 16:31:00,Quarterly Financial Results,Audited,Audited,13-Feb-2017 16:31:00,13-Feb-2017 16:31:00,
13-Feb-2017 16:24:01,Quarterly Financial Results,Audited,Audited,13-Feb-2017 16:24:01,13-Feb-2017 16:24:01,
11-Nov-2016 13:22:00,Quarterly Financial Results,Audited,Audited,11-Nov-2016 13:22:00,11-Nov-2016 13:22:00,
11-Nov-2016 12:58:16,Quarterly Financial Results,Audited,Audited,11-Nov-2016 12:58:16,11-Nov-2016 12:58:16,
28-Jul-2016 16:42:43,Quarterly Financial Results,Audited,Audited,28-Jul-2016 16:42:43,28-Jul-2016 16:42:43,
27-May-2016 16:37:54,Quarterly Financial Results,Audited,Audited,27-May-2016 16:37:54,27-May-2016 16:37:54,
28-Jan-2016 17:12:01,Quarterly Financial Results,Audited,Audited,28-Jan-2016 17:12:01,28-Jan-2016 17:12:01,
29-Oct-2015 17:40:13,Quarterly Financial Results,Audited,Audited,29-Oct-2015 17:40:13,29-Oct-2015 17:40:13,
22-Jul-2015 18:17:33,Quarterly Financial Results,Audited,Audited,22-Jul-2015 18:17:33,22-Jul-2015 18:17:33,
05-May-2015 19:59:02,Quarterly Financial Results,Audited,Audited,05-May-2015 19:59:02,05-May-2015 19:59:02,
02-May-2015 17:56:00,Quarterly Financial Results,Audited,Audited,02-May-2015 17:56:00,02-May-2015 17:56:00,
22-Jan-2015 12:39:02,Quarterly Financial Results,Audited,Audited,22-Jan-2015 12:39:02,22-Jan-2015 12:39:02,
05-Nov-2014 12:47:03,Quarterly Financial Results,Audited,Audited,05-Nov-2014 12:47:03,05-Nov-2014 12:47:03,
12-Aug-2014 08:27:04,Quarterly Financial Results,Audited,Audited,12-Aug-2014 08:27:04,12-Aug-2014 08:27:04,
26-May-2014 12:55:02,Quarterly Financial Results,Audited,Audited,26-May-2014 12:55:02,26-May-2014 12:55:02,
30-Jan-2014 13:03:03,Quarterly Financial Results,Audited,Audited,30-Jan-2014 13:03:03,30-Jan-2014 13:03:03,
31-Oct-2013 17:11:02,Quarterly Financial Results,Audited,Audited,31-Oct-2013 17:11:02,31-Oct-2013 17:11:02,
25-Jul-2013 17:33:46,Quarterly Financial Results,Audited,Audited,25-Jul-2013 17:33:46,25-Jul-2013 17:33:46,
14-May-2013 13:14:35,Quarterly Financial Results,Audited,Audited,14-May-2013 13:14:35,14-May-2013 13:14:35,
14-Jan-2013 12:36:11,Quarterly Financial Results,Audited,Audited,14-Jan-2013 12:36:11,14-Jan-2013 12:36:11,
31-Oct-2012 09:41:28,Quarterly Financial Results,Audited,Audited,31-Oct-2012 09:41:28,31-Oct-2012 09:41:28,
30-Jul-2012 13:11:00,Quarterly Financial Results,Audited,Audited,30-Jul-2012 13:11:00,30-Jul-2012 13:11:00,
30-Jul-2012 12:30:42,Quarterly Financial Results,Audited,Audited,30-Jul-2012 12:30:42,30-Jul-2012 12:30:42,
16-May-2012 09:45:03,Quarterly Financial Results,Audited,Audited,16-May-2012 09:45:03,16-May-2012 09:45:03,
