exDate,recDate,subject,faceVal
11-Aug-2026 18:04:41,11-Aug-2026 18:04:41,Record Date,1
11-Aug-2026 17:50:52,11-Aug-2026 17:50:52,Dividend,1
04-May-2026 17:30:44,04-May-2026 17:30:44,Record Date,1
04-May-2026 16:41:59,04-May-2026 16:41:59,Dividend,1
29-Jan-2026 16:39:18,29-Jan-2026 16:39:18,Record Date,1
29-Jan-2026 16:31:47,29-Jan-2026 16:31:47,Dividend,1
29-Jan-2026 16:14:40,29-Jan-2026 16:14:40,Dividend,1
30-Oct-2025 16:29:34,30-Oct-2025 16:29:34,Record Date,1
30-Oct-2025 16:23:59,30-Oct-2025 16:23:59,Dividend,1
30-Oct-2025 15:56:48,30-Oct-2025 15:56:48,Dividend,1
08-Aug-2025 16:39:02,08-Aug-2025 16:39:02,Record Date,1
08-Aug-2025 16:11:57,08-Aug-2025 16:11:57,Dividend,1
08-Aug-2025 15:58:49,08-Aug-2025 15:58:49,Dividend,1
08-Aug-2025 15:40:06,08-Aug-2025 15:40:06,Dividend,1
09-May-2025 18:33:27,09-May-2025 18:33:27,Dividend,1
09-May-2025 17:22:09,09-May-2025 17:22:09,Record Date,1
09-May-2025 17:11:59,09-May-2025 17:11:59,Dividend,1
13-Feb-2025 16:31:21,13-Feb-2025 16:31:21,Record Date,1
13-Feb-2025 16:28:24,13-Feb-2025 16:28:24,Dividend,1
13-Feb-2025 16:21:38,13-Feb-2025 16:21:38,Dividend,1
05-Nov-2024 15:41:48,05-Nov-2024 15:41:48,Record Date,1
05-Nov-2024 15:40:02,05-Nov-2024 15:40:02,Dividend,1
05-Nov-2024 15:38:20,05-Nov-2024 15:38:20,Dividend,1
13-Aug-2024 15:35:28,13-Aug-2024 15:35:28,Dividend,1
13-Aug-2024 15:34:22,13-Aug-2024 15:34:22,Record Date,1
13-Aug-2024 15:30:25,13-Aug-2024 15:30:25,Dividend,1
24-May-2024 15:12:08,24-May-2024 15:12:08,Record Date,1
24-May-2024 15:09:48,24-May-2024 15:09:48,Dividend,1
24-May-2024 15:07:03,24-May-2024 15:07:03,Dividend,1
07-Feb-2024 15:43:03,07-Feb-2024 15:43:03,Record Date,1
07-Feb-2024 15:41:24,07-Feb-2024 15:41:24,Dividend,1
07-Feb-2024 15:40:03,07-Feb-2024 15:40:03,Dividend,1
13-Nov-2023 15:22:54,13-Nov-2023 15:22:54,Dividend Updates,1
13-Nov-2023 15:20:59,13-Nov-2023 15:20:59,Record Date,1
