event_type,days_before_entry,post_event_day,n_events,avg_return_pct,median_return_pct,win_rate_pct,avg_return_rs,is_best
ANNOUNCEMENT,1,1,80371,0.23,0.088,51.278,1.49,False
ANNOUNCEMENT,1,2,80337,0.324,0.145,51.843,2.421,False
ANNOUNCEMENT,1,3,80291,0.42,0.217,52.413,3.245,False
ANNOUNCEMENT,1,4,80250,0.51,0.279,52.713,4.017,False
ANNOUNCEMENT,1,5,80209,0.592,0.337,53.054,4.713,False
ANNOUNCEMENT,1,6,80177,0.689,0.417,53.443,5.767,False
ANNOUNCEMENT,1,7,80143,0.772,0.481,53.64,6.387,False
ANNOUNCEMENT,1,8,80117,0.84,0.521,53.765,6.868,False
ANNOUNCEMENT,2,1,80365,0.342,0.177,52.179,2.404,False
ANNOUNCEMENT,2,2,80331,0.435,0.24,52.615,3.333,False
ANNOUNCEMENT,2,3,80285,0.531,0.325,53.22,4.156,False
ANNOUNCEMENT,2,4,80244,0.621,0.39,53.499,4.926,False
ANNOUNCEMENT,2,5,80203,0.701,0.458,53.668,5.624,False
ANNOUNCEMENT,2,6,80171,0.799,0.52,53.845,6.68,False
ANNOUNCEMENT,2,7,80137,0.883,0.585,54.147,7.306,False
ANNOUNCEMENT,2,8,80111,0.951,0.627,54.32,7.78,False
ANNOUNCEMENT,3,1,80359,0.442,0.256,52.862,3.033,False
ANNOUNCEMENT,3,2,80325,0.535,0.313,53.097,3.964,False
ANNOUNCEMENT,3,3,80279,0.631,0.398,53.543,4.787,False
ANNOUNCEMENT,3,4,80238,0.721,0.481,53.983,5.558,False
ANNOUNCEMENT,3,5,80197,0.803,0.531,53.953,6.27,False
ANNOUNCEMENT,3,6,80165,0.901,0.598,54.219,7.324,False
ANNOUNCEMENT,3,7,80131,0.985,0.645,54.357,7.938,False
ANNOUNCEMENT,3,8,80105,1.054,0.698,54.488,8.402,False
ANNOUNCEMENT,4,1,80352,0.536,0.33,53.273,3.903,False
ANNOUNCEMENT,4,2,80318,0.629,0.395,53.476,4.831,False
ANNOUNCEMENT,4,3,80272,0.726,0.49,53.937,5.66,False
ANNOUNCEMENT,4,4,80231,0.816,0.549,54.1,6.439,False
ANNOUNCEMENT,4,5,80190,0.898,0.598,54.156,7.15,False
ANNOUNCEMENT,4,6,80158,0.997,0.677,54.457,8.203,False
ANNOUNCEMENT,4,7,80124,1.081,0.706,54.506,8.811,False
ANNOUNCEMENT,4,8,80098,1.151,0.759,54.611,9.283,False
ANNOUNCEMENT,5,1,80342,0.637,0.411,53.625,4.871,False
ANNOUNCEMENT,5,2,80308,0.73,0.491,53.861,5.803,False
ANNOUNCEMENT,5,3,80262,0.827,0.555,54.23,6.634,False
ANNOUNCEMENT,5,4,80221,0.918,0.629,54.344,7.414,False
ANNOUNCEMENT,5,5,80180,0.999,0.665,54.511,8.115,False
ANNOUNCEMENT,5,6,80148,1.097,0.73,54.749,9.166,False
ANNOUNCEMENT,5,7,80114,1.181,0.792,54.844,9.798,False
ANNOUNCEMENT,5,8,80088,1.252,0.853,55.054,10.271,False
ANNOUNCEMENT,6,1,80332,0.722,0.465,53.803,5.778,False
ANNOUNCEMENT,6,2,80298,0.816,0.554,54.176,6.716,False
ANNOUNCEMENT,6,3,80252,0.913,0.63,54.394,7.545,False
ANNOUNCEMENT,6,4,80211,1.005,0.697,54.545,8.324,False
ANNOUNCEMENT,6,5,80170,1.087,0.719,54.631,9.033,False
ANNOUNCEMENT,6,6,80138,1.186,0.78,54.761,10.084,False
ANNOUNCEMENT,6,7,80104,1.271,0.865,54.979,10.72,False
ANNOUNCEMENT,6,8,80078,1.342,0.935,55.141,11.187,False
ANNOUNCEMENT,7,1,80322,0.812,0.552,54.025,6.735,False
ANNOUNCEMENT,7,2,80288,0.907,0.62,54.265,7.677,False
ANNOUNCEMENT,7,3,80242,1.004,0.706,54.653,8.505,False
ANNOUNCEMENT,7,4,80201,1.095,0.756,54.693,9.286,False
ANNOUNCEMENT,7,5,80160,1.178,0.808,54.762,9.982,False
ANNOUNCEMENT,7,6,80128,1.278,0.865,55.027,11.037,False
ANNOUNCEMENT,7,7,80094,1.363,0.929,55.095,11.678,False
ANNOUNCEMENT,7,8,80068,1.434,1.007,55.483,12.149,False
ANNOUNCEMENT,8,1,80312,0.892,0.605,54.341,7.389,False
ANNOUNCEMENT,8,2,80278,0.985,0.682,54.529,8.331,False
ANNOUNCEMENT,8,3,80232,1.082,0.753,54.683,9.162,False
ANNOUNCEMENT,8,4,80191,1.173,0.801,54.79,9.942,False
ANNOUNCEMENT,8,5,80150,1.257,0.85,54.917,10.622,False
ANNOUNCEMENT,8,6,80118,1.356,0.915,55.038,11.678,False
ANNOUNCEMENT,8,7,80084,1.442,0.985,55.363,12.331,False
ANNOUNCEMENT,8,8,80058,1.512,1.055,55.526,12.8,True
BOARD_MEETING,1,1,13369,0.116,-0.121,48.194,0.296,False
BOARD_MEETING,1,2,13359,0.194,-0.126,48.477,0.199,False
BOARD_MEETING,1,3,13345,0.292,-0.112,48.767,0.626,False
BOARD_MEETING,1,4,13337,0.403,-0.066,49.291,0.53,False
BOARD_MEETING,1,5,13326,0.47,-0.028,49.602,1.326,False
BOARD_MEETING,1,6,13318,0.538,-0.028,49.564,1.165,False
BOARD_MEETING,1,7,13308,0.62,0.0,49.782,2.404,False
BOARD_MEETING,1,8,13304,0.71,0.022,50.128,2.604,False
BOARD_MEETING,2,1,13368,0.297,0.018,50.067,2.117,False
BOARD_MEETING,2,2,13358,0.375,0.0,49.716,2.023,False
BOARD_MEETING,2,3,13344,0.473,0.019,50.067,2.447,False
BOARD_MEETING,2,4,13336,0.583,0.125,50.607,2.34,False
BOARD_MEETING,2,5,13325,0.652,0.085,50.454,3.143,False
BOARD_MEETING,2,6,13317,0.72,0.077,50.342,2.992,False
BOARD_MEETING,2,7,13307,0.803,0.151,50.688,4.223,False
BOARD_MEETING,2,8,13303,0.895,0.14,50.68,4.429,False
BOARD_MEETING,3,1,13367,0.436,0.136,51.208,2.873,False
BOARD_MEETING,3,2,13357,0.515,0.147,50.827,2.796,False
BOARD_MEETING,3,3,13343,0.612,0.169,51.218,3.206,False
BOARD_MEETING,3,4,13335,0.722,0.21,51.474,3.106,False
BOARD_MEETING,3,5,13324,0.793,0.214,51.291,3.915,False
BOARD_MEETING,3,6,13316,0.863,0.201,51.029,3.765,False
BOARD_MEETING,3,7,13306,0.946,0.286,51.428,4.999,False
BOARD_MEETING,3,8,13302,1.039,0.293,51.368,5.199,False
BOARD_MEETING,4,1,13365,0.559,0.208,51.575,4.112,False
BOARD_MEETING,4,2,13355,0.638,0.179,51.314,4.017,False
BOARD_MEETING,4,3,13341,0.736,0.208,51.345,4.449,False
BOARD_MEETING,4,4,13333,0.846,0.246,51.646,4.359,False
BOARD_MEETING,4,5,13322,0.917,0.272,51.509,5.164,False
BOARD_MEETING,4,6,13314,0.986,0.297,51.562,5.01,False
BOARD_MEETING,4,7,13304,1.068,0.338,51.744,6.235,False
BOARD_MEETING,4,8,13300,1.162,0.292,51.564,6.439,False
BOARD_MEETING,5,1,13363,0.658,0.2,51.456,5.265,False
BOARD_MEETING,5,2,13353,0.737,0.237,51.576,5.175,False
BOARD_MEETING,5,3,13339,0.835,0.28,51.721,5.609,False
BOARD_MEETING,5,4,13331,0.945,0.307,51.594,5.519,False
BOARD_MEETING,5,5,13320,1.012,0.318,51.592,6.321,False
BOARD_MEETING,5,6,13312,1.081,0.308,51.743,6.162,False
BOARD_MEETING,5,7,13302,1.162,0.377,52.12,7.379,False
BOARD_MEETING,5,8,13298,1.256,0.35,51.782,7.583,False
BOARD_MEETING,6,1,13359,0.743,0.276,51.83,5.772,False
BOARD_MEETING,6,2,13349,0.822,0.293,51.719,5.712,False
BOARD_MEETING,6,3,13335,0.923,0.403,52.088,6.148,False
BOARD_MEETING,6,4,13327,1.035,0.341,51.692,6.06,False
BOARD_MEETING,6,5,13316,1.106,0.354,51.9,6.865,False
