period,Cash from Operating Activity,Profit from operations,Receivables,Inventory,Payables,Working capital changes,Direct taxes,Cash from Investing Activity,Fixed assets purchased,Fixed assets sold,Investments purchased,Investments sold,Interest received,Dividends received,Other investing items,Cash from Financing Activity,Proceeds from shares,Proceeds from borrowings,Repayment of borrowings,Interest paid fin,Dividends paid,Financial liabilities,Share application money,Other financing items,Net Cash Flow,Free Cash Flow,CFO/OP
2015-03-01,34374.0,38994.0,1097.0,3472.0,-2754.0,1815.0,-6435.0,-64706.0,-63364.0,402.0,-678241.0,666383.0,6055.0,548.0,3511.0,8444.0,343.0,29413.0,-11909.0,-6149.0,-3268.0,0.0,17.0,-3.0,-21888.0,-28588.0,109.0
2016-03-01,38134.0,38887.0,-6880.0,6758.0,7951.0,7829.0,-8582.0,-36186.0,-46898.0,344.0,-715334.0,721182.0,2942.0,732.0,846.0,-3210.0,288.0,34673.0,-21693.0,-9224.0,-7259.0,0.0,8.0,-3.0,-1262.0,-8420.0,112.0
2017-03-01,49550.0,44170.0,-8511.0,-6899.0,30873.0,15463.0,-10083.0,-66201.0,-78109.0,1482.0,-654760.0,663990.0,1110.0,345.0,-259.0,8617.0,811.0,31728.0,-18542.0,-12920.0,-53.0,0.0,4.0,7589.0,-8034.0,-27077.0,129.0
2018-03-01,71459.0,62765.0,-21991.0,-10474.0,51003.0,18538.0,-9844.0,-68192.0,-73953.0,999.0,-533984.0,537504.0,1310.0,1021.0,-1089.0,-2001.0,406.0,36970.0,-19813.0,-17669.0,-3916.0,0.0,15.0,2006.0,1266.0,-1495.0,126.0
2019-03-01,42346.0,83319.0,-40136.0,-6724.0,18078.0,-28782.0,-12191.0,-94507.0,-93626.0,849.0,-1107439.0,1103615.0,972.0,501.0,621.0,55906.0,230.0,106701.0,-20245.0,-23338.0,-4282.0,0.0,2.0,-3162.0,3745.0,-50431.0,65.0
2020-03-01,94877.0,85347.0,-13792.0,-6342.0,38050.0,17916.0,-8386.0,-72497.0,-76517.0,964.0,-1156843.0,1174796.0,1441.0,78.0,-16416.0,-2541.0,129.0,53760.0,-18179.0,-28508.0,-4592.0,-1062.0,1.0,-4090.0,19839.0,19324.0,116.0
2021-03-01,26958.0,80129.0,959.0,-7769.0,-43148.0,-49958.0,-3213.0,-142385.0,-105837.0,2319.0,-689866.0,642551.0,8400.0,26.0,22.0,101904.0,5.0,46421.0,-116921.0,-18340.0,-3921.0,-1022.0,0.0,195682.0,-13523.0,-76560.0,37.0
2022-03-01,110654.0,113726.0,-14180.0,-24983.0,39888.0,725.0,-3797.0,-109162.0,-100145.0,3137.0,-667878.0,668137.0,5933.0,19.0,-18365.0,17289.0,455.0,59343.0,-49493.0,-26349.0,-4297.0,-2132.0,0.0,39762.0,18781.0,13646.0,105.0
2023-03-01,115032.0,140963.0,13194.0,-32228.0,-600.0,-19634.0,-6297.0,-93001.0,-140988.0,9186.0,-471822.0,501266.0,11103.0,20.0,-1766.0,10455.0,479.0,67134.0,-29059.0,-21650.0,-5083.0,-1406.0,0.0,40.0,32486.0,-16770.0,85.0
2024-03-01,158788.0,164383.0,-15674.0,-12756.0,34796.0,6366.0,-11961.0,-113581.0,-152883.0,15307.0,-513660.0,531355.0,10648.0,75.0,-4423.0,-16646.0,20915.0,69610.0,-60348.0,-37173.0,-6089.0,-2483.0,0.0,-1078.0,28561.0,21212.0,105.0
2025-03-01,178703.0,166904.0,-17837.0,3134.0,38427.0,23724.0,-11925.0,-137535.0,-139967.0,2343.0,-684340.0,672558.0,15833.0,612.0,-4574.0,-31891.0,22.0,51002.0,-31755.0,-41024.0,-7180.0,-2956.0,0.0,0.0,9277.0,41079.0,115.0
2026-03-01,192113.0,189224.0,-53322.0,-20790.0,86609.0,12497.0,-9608.0,-101089.0,-122916.0,826.0,-988777.0,991876.0,13538.0,9100.0,-4736.0,-51549.0,0.0,38871.0,-36052.0,-39981.0,-7879.0,-6508.0,0.0,0.0,39475.0,70023.0,113.0
