broadCastDate,period_end,relatingTo,consolidated,audited,revenue_cr,net_profit_cr,pbt_cr,basic_eps
2018-08-07 17:10:30,2018-06-30,First Quarter,Consolidated,Un-Audited,,,,
2018-08-07 17:12:30,2018-06-30,First Quarter,Non-Consolidated,Un-Audited,,,,
2018-10-22 12:19:23,2018-09-30,Second Quarter,Non-Consolidated,Un-Audited,,,,
2018-10-19 16:56:14,2018-09-30,Second Quarter,Consolidated,Un-Audited,,,,
2019-01-17 19:50:01,2018-12-31,Third Quarter,Non-Consolidated,Un-Audited,,,,
2019-01-17 19:52:25,2018-12-31,Third Quarter,Consolidated,Un-Audited,,,,
2020-07-30 22:09:23,2020-06-30,First Quarter,Non-Consolidated,Un-Audited,,,,
2020-07-30 22:11:41,2020-06-30,First Quarter,Consolidated,Un-Audited,,,,
2020-10-30 21:03:24,2020-09-30,Second Quarter,Non-Consolidated,Un-Audited,,,,
2020-10-30 21:05:03,2020-09-30,Second Quarter,Consolidated,Un-Audited,,,,
2021-01-22 20:25:55,2020-12-31,Third Quarter,Non-Consolidated,Un-Audited,,,,
2021-01-22 20:27:23,2020-12-31,Third Quarter,Consolidated,Un-Audited,,,,
2021-07-23 20:06:23,2021-06-30,First Quarter,Non-Consolidated,Un-Audited,,,,
2021-07-23 20:08:00,2021-06-30,First Quarter,Consolidated,Un-Audited,,,,
2021-10-22 21:27:30,2021-09-30,Second Quarter,Non-Consolidated,Un-Audited,,,,
2021-10-22 21:30:29,2021-09-30,Second Quarter,Consolidated,Un-Audited,,,,
2022-01-21 20:27:51,2021-12-31,Third Quarter,Consolidated,Un-Audited,,,,
2022-01-21 20:26:00,2021-12-31,Third Quarter,Non-Consolidated,Un-Audited,,,,
2022-07-25 18:08:52,2022-06-30,First Quarter,Non-Consolidated,Un-Audited,151343.0,15096.0,19672.0,22.31
2022-07-25 18:09:21,2022-06-30,First Quarter,Consolidated,Un-Audited,223113.0,19443.0,27301.0,26.54
2022-10-21 19:58:47,2022-09-30,Second Quarter,Non-Consolidated,Un-Audited,140358.0,6915.0,9792.0,10.22
2022-10-21 19:58:47,2022-09-30,Second Quarter,Consolidated,Un-Audited,232863.0,15512.0,20454.0,20.18
2023-01-20 19:39:07,2022-12-31,Third Quarter,Non-Consolidated,Un-Audited,,,,
2023-01-20 19:43:31,2022-12-31,Third Quarter,Consolidated,Un-Audited,,,,
2023-07-21 20:34:40,2023-06-30,First Quarter,Non-Consolidated,Un-Audited,120408.0,9726.0,12841.0,14.38
2023-07-21 20:38:28,2023-06-30,First Quarter,Consolidated,Un-Audited,210831.0,18258.0,24294.0,23.66
2023-10-27 20:21:48,2023-09-30,Second Quarter,Non-Consolidated,Un-Audited,140450.0,11208.0,14502.0,16.56
2023-10-27 20:26:18,2023-09-30,Second Quarter,Consolidated,Un-Audited,234956.0,19878.0,26493.0,25.71
2024-01-19 19:14:39,2023-12-31,Third Quarter,Non-Consolidated,Un-Audited,130579.0,9924.0,12978.0,14.67
2024-01-19 19:17:54,2023-12-31,Third Quarter,Consolidated,Un-Audited,227970.0,19641.0,25833.0,25.52
2024-07-19 19:31:45,2024-06-30,First Quarter,Consolidated,Un-Audited,236217.0,17445.0,23234.0,22.37
2024-07-19 19:33:35,2024-06-30,First Quarter,Non-Consolidated,Un-Audited,134331.0,7611.0,10146.0,11.25
2024-10-14 19:29:38,2024-09-30,Second Quarter,Non-Consolidated,Un-Audited,134054.0,7713.0,10214.0,11.4
2024-10-14 19:32:45,2024-09-30,Second Quarter,Consolidated,Un-Audited,235481.0,19323.0,25037.0,24.48
2025-01-16 20:15:20,2024-12-31,Third Quarter,Consolidated,Un-Audited,243865.0,21930.0,28643.0,13.7
2025-01-16 20:20:21,2024-12-31,Third Quarter,Non-Consolidated,Un-Audited,128260.0,8721.0,11597.0,6.44
