symbol,total_oct_dec_results,avg_day_of_month,october_dates,november_dates,december_dates
ABB,1,4.0,,2024-11-04,
ABCAPITAL,2,28.5,2024-10-31,2024-11-26,
ADANIENSOL,1,23.0,2024-10-23,,
ADANIENT,1,30.0,2024-10-30,,
ADANIGREEN,1,22.0,2024-10-22,,
ADANIPORTS,1,29.0,2024-10-29,,
ADANIPOWER,1,28.0,2024-10-28,,
ALKEM,1,13.0,,2024-11-13,
AMBER,1,23.0,2024-10-23,,
AMBUJACEM,1,29.0,2024-10-29,,
APLAPOLLO,1,30.0,2024-10-30,,
APOLLOHOSP,1,7.0,,2024-11-07,
ASHOKLEY,1,8.0,,2024-11-08,
ASIANPAINT,1,9.0,,2024-11-09,
ASTRAL,1,7.0,,2024-11-07,
AUBANK,1,24.0,2024-10-24,,
AUROPHARMA,1,9.0,,2024-11-09,
AXISBANK,1,18.0,2024-10-18,,
BAJAJ-AUTO,1,16.0,2024-10-16,,
BAJAJFINSV,1,24.0,2024-10-24,,
BAJAJHLDNG,1,25.0,2018-10-25,,
BAJFINANCE,1,22.0,2024-10-22,,
BANDHANBNK,1,25.0,2024-10-25,,
BANKBARODA,1,25.0,2024-10-25,,
BANKINDIA,1,11.0,,2024-11-11,
BDL,1,15.0,,2024-11-15,
BEL,1,25.0,2024-10-25,,
BHARATFORG,1,14.0,,2024-11-14,
BHARTIARTL,1,28.0,2024-10-28,,
BHEL,1,28.0,2024-10-28,,
BIOCON,1,30.0,2024-10-30,,
BLUESTARCO,1,6.0,,2024-11-06,
BOSCHLTD,1,12.0,,2024-11-12,
BPCL,1,25.0,2024-10-25,,
BRITANNIA,1,12.0,,2024-11-12,
BSE,1,12.0,,2024-11-12,
CAMS,1,28.0,2024-10-28,,
CANBK,1,29.0,2024-10-29,,
CDSL,1,26.0,2024-10-26,,
CGPOWER,1,21.0,2024-10-21,,
CHOLAFIN,2,14.5,2024-10-26,2023-11-03,
CIPLA,1,29.0,2024-10-29,,
COALINDIA,1,25.0,2024-10-25,,
COCHINSHIP,1,8.0,,2024-11-08,
COFORGE,1,23.0,2024-10-23,,
COLPAL,1,24.0,2024-10-24,,
CONCOR,1,30.0,2024-10-30,,
CROMPTON,1,14.0,,2024-11-14,
CUMMINSIND,1,8.0,,2024-11-08,
DABUR,1,30.0,2024-10-30,,
DELHIVERY,1,14.0,,2024-11-14,
DIVISLAB,1,9.0,,2024-11-09,
DIXON,1,24.0,2024-10-24,,
DLF,1,25.0,2024-10-25,,
DMART,1,12.0,2024-10-12,,
DRREDDY,1,5.0,,2024-11-05,
EICHERMOT,1,13.0,,2024-11-13,
ETERNAL,1,22.0,2024-10-22,,
FEDERALBNK,1,28.0,2024-10-28,,
FORTIS,1,8.0,,2024-11-08,
GAIL,1,6.0,,2024-11-06,
GLENMARK,1,15.0,,2024-11-15,
GMRAIRPORT,1,25.0,2024-10-25,,
GODFRYPHLP,1,11.0,,2024-11-11,
GODREJCP,1,24.0,2024-10-24,,
GODREJPROP,1,23.0,2024-10-23,,
