symbol,latest_broadcast_date,relating_to,from_date,to_date,_dt
LODHA,2025-03-11,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-03-11
INOXWIND,2025-03-10,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-03-10
BDL,2025-03-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-03-07
ABB,2025-02-17,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-17
MANAPPURAM,2025-02-14,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-14
RVNL,2025-02-14,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-14
GLENMARK,2025-02-14,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-14
MOTHERSON,2025-02-14,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-14
GODFRYPHLP,2025-02-13,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-13
HINDALCO,2025-02-13,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-13
BHARATFORG,2025-02-13,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-13
NBCC,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
LUPIN,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
JUBLFOOD,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
CROMPTON,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
PFC,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
SAIL,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
HAL,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
ASHOKLEY,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
