event_type,dimension,bucket,buy,sell,test_avg,test_win,t_month,n_test,placebo,edge
ANNOUNCEMENT,GROWTH · Sales Growth %,LOW,0,12,0.6714360792785045,52.99600532623169,2.485608399302134,751,0.03395189457706148,0.637484184701443
ANNOUNCEMENT,GROWTH · Sales Growth %,MID,0,12,0.5106359462168687,51.64960182025028,2.3399043285938532,879,0.46020160627152024,0.05043433994534846
ANNOUNCEMENT,GROWTH · Sales Growth %,HIGH,0,9,0.21314673616539473,50.05675368898979,0.26057719953995595,881,0.32156017888621946,-0.10841344272082473
ANNOUNCEMENT,GROWTH · Profit Growth %,LOW,0,12,0.5933010204027513,53.063885267275104,1.9994108725044681,767,0.11190527146110242,0.48139574894164894
ANNOUNCEMENT,GROWTH · Profit Growth %,MID,1,12,0.07285964296917259,48.33183047790803,0.025624299802812982,2218,0.3155398695527695,-0.24268022658359695
ANNOUNCEMENT,GROWTH · Profit Growth %,HIGH,1,12,0.38411358186325845,53.05480682839173,1.5896182305131932,2226,0.6549138888167456,-0.27080030695348717
ANNOUNCEMENT,PROFIT · ROCE %,LOW,0,12,0.8343635715385203,52.59259259259259,1.430006046935213,675,0.23306576875068136,0.6012978027878388
ANNOUNCEMENT,PROFIT · ROCE %,MID,0,4,0.31475465729077096,52.47376311844077,1.9462592982244187,667,0.2911748503106858,0.02357980698008516
ANNOUNCEMENT,PROFIT · ROCE %,HIGH,0,11,0.09427566089392994,50.68681318681318,-0.19264235866262827,728,0.25557950212910346,-0.16130384123517352
ANNOUNCEMENT,PROFIT · OPM %,LOW,0,12,0.7645688416633967,53.538050734312414,1.8446440254765482,749,0.18571629038002696,0.5788525512833698
ANNOUNCEMENT,PROFIT · OPM %,MID,1,12,0.21800548827113617,50.80886758538047,0.7510042195283413,1669,0.2134823122583129,0.00452317601282326
ANNOUNCEMENT,PROFIT · OPM %,HIGH,0,9,0.4038421344692975,51.705320600272856,1.7613517724786156,733,0.4618735632083685,-0.05803142873907097
ANNOUNCEMENT,LEVERAGE · Debt/Reserves,LOW,0,9,0.2575618882137536,52.39477503628447,1.0987865067943139,689,0.3560906631397206,-0.09852877492596701
ANNOUNCEMENT,LEVERAGE · Debt/Reserves,MID,1,12,0.041568202297447156,50.26362038664324,0.25768939074949837,1707,0.2360165552905935,-0.19444835299314636
ANNOUNCEMENT,LEVERAGE · Debt/Reserves,HIGH,0,12,0.848090336071166,54.28226779252111,3.0091826031000806,829,0.2512322232065829,0.5968581128645831
ANNOUNCEMENT,VALUATION · P/E,LOW,0,12,0.5484180586619594,50.4746835443038,1.7484618983817983,632,0.4394910143895838,0.10892704427237554
ANNOUNCEMENT,VALUATION · P/E,MID,0,12,0.4869238160168344,51.58371040723983,2.1765635291435026,884,-0.04987471700288323,0.5367985330197176
ANNOUNCEMENT,VALUATION · P/E,HIGH,0,9,0.37593670351904857,50.45871559633027,1.5995068534942805,981,0.0908073489223308,0.28512935459671773
