ex_date,dividend,p_before,div_yield_%,ex_gap_%,ex_close_%,recovery_days
2011-05-05,8.0,216.6,3.69,-0.28,0.24,0
2012-05-31,8.5,161.4,5.27,-1.31,-0.09,4
2013-05-10,9.0,187.0,4.81,-0.42,-0.63,3
2014-05-16,9.5,240.8,3.95,3.48,2.45,0
2015-05-08,10.0,199.0,5.02,0.03,2.18,0
2016-03-17,10.5,233.6,4.5,0.51,-0.56,1
2017-07-13,11.0,345.4,3.18,-0.16,0.73,0
2018-06-27,6.0,447.5,1.34,-0.05,-1.34,5
2019-08-02,6.5,539.6,1.2,-0.39,0.35,0
2020-07-02,6.5,801.9,0.81,0.31,1.31,0
2021-06-11,7.0,1007.5,0.69,-0.0,1.38,0
2022-08-18,8.0,1230.0,0.65,-0.19,-0.14,68
2023-08-21,9.0,1278.4,0.7,-0.66,-1.44,81
2024-08-19,10.0,1478.2,0.68,0.29,0.69,0
2025-08-14,5.5,1382.6,0.4,-0.38,-0.64,2
2026-06-05,6.0,1303.7,0.46,0.06,-0.97,6
