symbol,last_result_day,price_6d_before,price_on_result,price_3d_after,last_before_to_result_%,last_result_to_after_%,hist_avg_before_to_result_%,hist_avg_result_to_after_%,hist_avg_total_%,hist_win_rate_after_%,n_results,next_result_date,last_close,predicted_after_price
JIOFIN,2025-01-17,288.8,278.57,262.39,-3.54,-5.81,-0.13,-3.29,-3.4,17.0,6,2026-07-16,242.25,234.02
TECHM,2025-01-17,1556.16,1572.74,1595.14,1.07,1.42,0.66,-0.62,0.05,49.0,80,2026-07-16,1464.9,1465.57
WIPRO,2025-01-17,274.0,264.3,289.75,-3.54,9.63,0.54,0.18,0.69,57.0,75,2026-07-16,175.79,177.0
JSWSTEEL,2025-01-24,899.2,924.63,929.74,2.83,0.55,-0.01,1.05,0.88,57.0,79,2026-07-17,1237.6,1248.51
RELIANCE,2025-01-16,1254.66,1255.61,1262.79,0.08,0.57,0.89,-1.18,-0.29,36.0,75,2026-07-17,1303.7,1299.89
AXISBANK,2025-01-16,1073.2,1036.31,968.62,-3.44,-6.53,1.42,0.06,1.53,55.0,73,2026-07-18,1328.2,1348.48
HDFCBANK,2025-01-23,797.38,807.98,810.65,1.33,0.33,0.47,0.22,0.71,52.0,75,2026-07-18,825.2,831.03
ICICIBANK,2025-01-27,1216.07,1218.55,1245.99,0.2,2.25,0.71,0.46,1.07,45.0,77,2026-07-18,1403.1,1418.09
KOTAKBANK,2025-01-29,378.22,383.63,380.18,1.43,-0.9,0.24,-0.18,-0.05,44.0,75,2026-07-18,377.0,376.8
ULTRACEMCO,2025-01-23,10455.38,11348.96,11225.2,8.55,-1.09,-0.09,-0.73,-0.8,36.0,74,2026-07-20,11594.0,11501.22
BAJAJ-AUTO,2025-01-29,8144.61,8295.89,8805.38,1.86,6.14,1.59,0.64,2.22,63.0,68,2026-07-21,10087.0,10311.33
DRREDDY,2025-01-24,1286.38,1209.02,1166.36,-6.01,-3.53,-0.32,-0.65,-0.93,47.0,76,2026-07-22,1241.7,1230.14
INDUSINDBK,2025-01-31,969.38,989.6,1045.46,2.09,5.64,2.14,0.43,2.63,56.0,72,2026-07-22,1010.7,1037.3
NESTLEIND,2025-01-31,1076.89,1132.84,1126.1,5.2,-0.59,-0.06,0.29,0.25,43.0,7,2026-07-22,1442.4,1446.03
CIPLA,2025-01-29,1399.77,1395.8,1411.05,-0.28,1.09,-0.6,-0.23,-0.85,41.0,78,2026-07-23,1431.4,1419.17
INFY,2025-01-16,1837.81,1833.35,1711.9,-0.24,-6.62,-0.03,0.25,0.23,49.0,73,2026-07-23,1070.2,1072.64
HINDUNILVR,2025-01-22,2301.62,2277.32,2325.82,-1.06,2.13,0.38,-0.29,0.09,49.0,73,2026-07-28,2136.1,2138.01
ADANIPORTS,2025-01-30,1092.31,1067.34,1075.07,-2.29,0.72,0.13,0.64,0.79,56.0,73,2026-07-29,1820.1,1834.45
ASIANPAINT,2025-02-04,2198.77,2309.16,2227.41,5.02,-3.54,-0.23,0.27,0.04,49.0,73,2026-07-29,2648.3,2649.49
BAJFINANCE,2025-01-29,720.27,766.49,790.25,6.42,3.1,2.16,0.42,2.59,53.0,70,2026-07-30,1014.1,1040.37
BAJAJFINSV,2025-01-30,1740.97,1742.86,1792.45,0.11,2.84,0.05,0.71,0.89,57.0,68,2026-07-31,1901.4,1918.37
SUNPHARMA,2025-01-31,1800.19,1712.18,1733.09,-4.89,1.22,0.66,0.23,0.92,53.0,81,2026-07-31,1919.9,1937.63
HINDALCO,2025-02-13,593.13,595.01,603.85,0.32,1.49,-0.26,-0.25,-0.47,52.0,83,2026-08-07,962.8,958.24
20MICRONS,2025-01-23,228.52,207.84,184.52,-9.05,-11.22,0.84,0.53,1.28,39.0,71,,197.82,200.35
ADANIENT,2025-01-31,2382.75,2285.64,2299.33,-4.08,0.6,2.44,1.02,3.58,55.0,74,,3155.9,3268.81
ALLCARGO,2025-02-14,40.16,34.25,32.28,-14.72,-5.75,-0.44,0.4,0.05,47.0,76,,8.0,8.0
ALMONDZ,2025-02-12,29.46,26.36,22.59,-10.52,-14.3,-2.16,0.65,-1.56,51.0,73,,13.19,12.98
APOLLOHOSP,2025-02-11,6771.38,6292.01,6254.18,-7.08,-0.6,1.53,1.81,3.36,68.0,74,,8827.5,9124.01
BEL,2025-01-30,267.1,275.4,270.86,3.11,-1.65,0.29,0.34,0.64,46.0,79,,410.1,412.73
BHARTIARTL,2025-02-06,1627.15,1606.32,1682.68,-1.28,4.75,-0.14,0.11,-0.06,37.0,75,,1904.6,1903.45
BPCL,2025-01-23,245.75,249.66,237.51,1.59,-4.87,-0.15,0.72,0.52,54.0,74,,306.3,307.9
BRITANNIA,2025-02-06,5009.7,4891.94,4840.61,-2.35,-1.05,0.21,-0.28,-0.08,40.0,75,,5335.0,5330.68
COALINDIA,2025-01-27,356.92,345.96,354.53,-3.07,2.48,0.14,0.38,0.53,58.0,62,,428.35,430.61
EICHERMOT,2025-02-11,5415.04,4908.7,4643.14,-9.35,-5.41,1.37,1.33,2.58,49.0,73,,7296.5,7484.93
GRASIM,2025-02-10,2431.9,2464.29,2481.07,1.33,0.68,-0.24,0.43,0.19,52.0,77,,3193.4,3199.34
HCLTECH,2025-01-14,1832.88,1701.97,1695.86,-7.14,-0.36,1.0,0.86,1.87,62.0,76,,1174.0,1195.92
HEROMOTOCO,2025-02-06,3938.08,3987.33,3851.12,1.25,-3.42,0.25,0.96,1.22,59.0,73,,4904.5,4964.21
ITC,2025-02-06,402.04,406.56,385.55,1.12,-5.17,0.48,-0.14,0.35,41.0,76,,281.05,282.03
LT,2025-01-31,3437.31,3500.25,3374.41,1.83,-3.6,-0.18,0.42,0.31,58.0,76,,3916.0,3928.01
MARUTI,2025-01-29,11756.46,11849.65,12778.2,0.79,7.84,1.16,-0.17,0.95,53.0,72,,13632.0,13761.31
NTPC,2025-01-27,315.3,311.49,312.26,-1.21,0.25,1.03,0.21,1.25,49.0,73,,346.85,351.19
ONGC,2025-01-31,244.67,244.26,236.35,-0.17,-3.24,-0.43,-0.06,-0.48,38.0,76,,247.26,246.06
POWERGRID,2025-02-04,271.78,273.41,269.35,0.6,-1.49,0.68,-0.39,0.27,48.0,73,,284.7,285.46
RACE,2025-02-11,328.3,300.1,282.0,-8.59,-6.03,0.31,-0.31,0.09,38.0,8,,113.88,113.98
RELIABLE,2025-02-17,68.96,81.19,80.46,17.74,-0.9,3.79,-3.1,0.62,20.0,5,,144.25,145.14
SBIN,2025-02-06,734.35,724.39,704.02,-1.36,-2.81,1.31,1.25,2.5,57.0,77,,1036.6,1062.53
SHRIRAMFIN,2025-01-24,535.52,516.57,542.08,-3.54,4.94,-0.62,1.59,1.01,58.0,71,,1044.5,1055.03
TATACONSUM,2025-01-30,952.23,951.54,1020.04,-0.07,7.2,0.04,0.13,0.17,50.0,74,,1103.3,1105.21
TATASTEEL,2025-01-27,124.74,120.99,125.54,-3.0,3.76,-0.48,0.95,0.51,48.0,83,,187.64,188.6
TCS,2025-01-09,3851.04,3782.11,3963.97,-1.79,4.81,0.61,0.34,0.92,55.0,76,,2126.0,2145.6
TITAN,2025-02-04,3305.08,3575.17,3403.36,8.17,-4.81,0.92,-0.04,0.88,44.0,71,,4565.2,4605.55
TRENT,2025-02-06,5499.89,5266.27,5217.62,-4.25,-0.92,0.24,0.45,0.74,51.0,74,,2897.5,2918.94
