audited,bank,broadCastDate,companyName,consolidated,cumulative,difference,exchdisstime,filingDate,financialYear,format,fromDate,indAs,industry,isin,oldNewFlag,params,period,reInd,relatingTo,resultDescription,resultDetailedDataLink,seqNumber,symbol,toDate,xbrl,seqNumber_int
Un-Audited,N,,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,-,-,Old,2006-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200630-Jun-2006Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_39351.html,39351,RELIANCE,2006-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,39351
Un-Audited,N,,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,-,-,Old,2006-07-01,Non-Ind-AS,-,INE002A01018,,01-Jul-200630-Sep-2006Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_40900.html,40900,RELIANCE,2006-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,40900
Un-Audited,N,,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,-,-,Old,2006-10-01,Non-Ind-AS,-,INE002A01018,,01-Oct-200631-Dec-2006Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_42905.html,42905,RELIANCE,2006-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,42905
Un-Audited,N,,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,26-Apr-2007 18:00,-,Old,2007-01-01,Non-Ind-AS,-,INE002A01018,,01-Jan-200731-Mar-2007Q4UNNNAERELIANCE,Quarterly,-,Fourth Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_44565.html,44565,RELIANCE,2007-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,44565
Un-Audited,N,2007-07-28 18:02:32,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,28-Jul-2007 18:14,-,Old,2007-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200730-Jun-2007Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_47502.html,47502,RELIANCE,2007-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,47502
Audited,N,2007-09-10 16:39:42,Reliance Industries Limited,Non-Consolidated,Cumulative,::,,10-Sep-2007 17:27,-,Old,2006-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200631-Mar-2007ANANCNAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_48313.html,48313,RELIANCE,2007-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,48313
Audited,N,2007-09-10 16:42:27,Reliance Industries Limited,Consolidated,Cumulative,::,,10-Sep-2007 17:36,-,Old,2006-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200631-Mar-2007ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_48314.html,48314,RELIANCE,2007-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,48314
Un-Audited,N,2007-10-18 17:48:44,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,18-Oct-2007 18:18,-,Old,2007-07-01,Non-Ind-AS,-,INE002A01018,,01-Jul-200730-Sep-2007Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_48670.html,48670,RELIANCE,2007-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,48670
Un-Audited,N,2008-01-17 10:39:30,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,17-Jan-2008 10:51,-,Old,2007-10-01,Non-Ind-AS,-,INE002A01018,,01-Oct-200731-Dec-2007Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_51270.html,51270,RELIANCE,2007-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,51270
Audited,N,2008-04-21 16:57:17,Reliance Industries Limited,Consolidated,Cumulative,::,,21-Apr-2008 18:38,-,Old,2007-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200731-Mar-2008ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_52971.html,52971,RELIANCE,2008-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,52971
Audited,N,2008-04-21 16:59:30,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,21-Apr-2008 18:27,-,Old,2008-01-01,Non-Ind-AS,-,INE002A01018,,01-Jan-200831-Mar-2008Q4ANNNAERELIANCE,Quarterly,-,Fourth Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_52972.html,52972,RELIANCE,2008-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,52972
Un-Audited,N,2008-07-24 16:58:31,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,24-Jul-2008 17:03,-,Old,2008-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200830-Jun-2008Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_56123.html,56123,RELIANCE,2008-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,56123
Un-Audited,N,2008-10-23 16:39:26,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,23-Oct-2008 16:41,-,Old,2008-07-01,Non-Ind-AS,-,INE002A01018,,01-Jul-200830-Sep-2008Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_58464.html,58464,RELIANCE,2008-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,58464
Un-Audited,N,2009-01-22 16:31:10,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,22-Jan-2009 16:34,-,Old,2008-10-01,Non-Ind-AS,-,INE002A01018,,01-Oct-200831-Dec-2008Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_61096.html,61096,RELIANCE,2008-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,61096
