symbol,upcoming_result_date,status,announced_purpose,announced_details,latest_broadcast_date,latest_financial_period,typical_q2_announcement_window
ADANIENT,Expected: 30-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 30-Oct,2025-01-31,Qtr ended 31-DEC-2024,30-Oct
ADANIPORTS,Expected: 29-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 29-Oct,2025-01-30,Qtr ended 31-DEC-2024,29-Oct
APOLLOHOSP,Expected: 07-Nov,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 07-Nov,2025-02-11,Qtr ended 31-DEC-2024,07-Nov
ASIANPAINT,Expected: 09-Nov,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 09-Nov,2025-02-04,Qtr ended 31-DEC-2024,09-Nov
AXISBANK,Expected: 18-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 18-Oct,2025-01-16,Qtr ended 31-DEC-2024,18-Oct
BAJAJ-AUTO,Expected: 16-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 16-Oct,2025-01-29,Qtr ended 31-DEC-2024,16-Oct
BAJAJFINSV,Expected: 24-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 24-Oct,2025-01-30,Qtr ended 31-DEC-2024,24-Oct
BAJFINANCE,Expected: 22-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 22-Oct,2025-01-29,Qtr ended 31-DEC-2024,22-Oct
BEL,Expected: 25-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 25-Oct,2025-01-30,Qtr ended 31-DEC-2024,25-Oct
BHARTIARTL,Expected: 28-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 28-Oct,2025-02-06,Qtr ended 31-DEC-2024,28-Oct
CIPLA,Expected: 29-Oct,Pending Announcement (Est: Oct-Nov),Q2 FY27 Financial Results (Period ended Sept 30),Historically announced around 29-Oct,2025-01-29,Qtr ended 31-DEC-2024,29-Oct
