period,Equity Capital,Reserves,Borrowings,Long term Borrowings,Short term Borrowings,Lease Liabilities,Other Borrowings,Other Liabilities,Non controlling int,Trade Payables,Other liability items,Total Liabilities,Fixed Assets,Land,Building,Plant Machinery,Ships Vessels,Equipments,Furniture n fittings,Vehicles,Intangible Assets,Other fixed assets,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets
2015-03-01,2943.0,215556.0,168251.0,128165.0,27965.0,0.0,12121.0,117736.0,3038.0,59407.0,55291.0,504486.0,156458.0,9859.0,13967.0,158698.0,397.0,0.0,4835.0,710.0,88103.0,12297.0,288866.0,132408.0,166462.0,76451.0,105115.0,53248.0,5315.0,12545.0,0.0,34007.0,504486.0
2016-03-01,2948.0,228608.0,194714.0,154957.0,23545.0,0.0,16212.0,172727.0,3356.0,60296.0,109075.0,598997.0,184910.0,63734.0,15283.0,168888.0,422.0,0.0,6282.0,777.0,68660.0,11453.0,335499.0,150589.0,228697.0,84015.0,101375.0,46486.0,4465.0,11028.0,841.0,38555.0,598997.0
2017-03-01,2959.0,260750.0,217475.0,172285.0,31528.0,0.0,13662.0,225618.0,2917.0,76595.0,146106.0,706802.0,198526.0,65973.0,18813.0,179326.0,3484.0,0.0,7848.0,1155.0,75351.0,9343.0,361293.0,162767.0,324837.0,82899.0,100540.0,48951.0,8177.0,3023.0,996.0,39393.0,706802.0
2018-03-01,5922.0,287584.0,239843.0,164385.0,37429.0,0.0,38029.0,277924.0,3539.0,106861.0,167524.0,811273.0,403885.0,66765.0,22194.0,325183.0,5038.0,0.0,10146.0,1199.0,76599.0,74160.0,581284.0,177399.0,187022.0,82862.0,137504.0,60837.0,17555.0,4255.0,2327.0,52530.0,811273.0
2019-03-01,5926.0,381186.0,307714.0,226345.0,64436.0,0.0,16933.0,302804.0,8280.0,108309.0,186215.0,997630.0,398374.0,49371.0,27672.0,318853.0,417.0,0.0,21817.0,1240.0,86765.0,90387.0,596522.0,198148.0,179463.0,235635.0,184158.0,67561.0,30089.0,11081.0,545.0,74882.0,997630.0
2020-03-01,6339.0,442827.0,355133.0,216470.0,93786.0,0.0,44877.0,358716.0,12181.0,96799.0,249736.0,1163015.0,532658.0,68743.0,34380.0,449770.0,502.0,0.0,31211.0,1411.0,81462.0,76299.0,743778.0,211120.0,109106.0,276767.0,244484.0,73903.0,19656.0,30920.0,669.0,119336.0,1163015.0
2021-03-01,6445.0,693727.0,278962.0,182520.0,88128.0,8314.0,0.0,340931.0,99260.0,108897.0,132774.0,1320065.0,541258.0,68768.0,36781.0,471201.0,515.0,0.0,38039.0,2336.0,77353.0,80819.0,775812.0,234554.0,125953.0,364828.0,288026.0,81672.0,19014.0,17397.0,65.0,169878.0,1320065.0
2022-03-01,6765.0,772720.0,319158.0,224883.0,78606.0,15669.0,0.0,399979.0,109499.0,159330.0,131150.0,1498622.0,627798.0,69855.0,47561.0,518865.0,508.0,32638.0,24970.0,2530.0,65970.0,120717.0,883614.0,255816.0,172506.0,394264.0,304054.0,107778.0,23640.0,36178.0,130.0,136328.0,1498622.0
2023-03-01,6766.0,709106.0,451664.0,296023.0,130790.0,20426.0,4425.0,438346.0,113009.0,147172.0,178165.0,1605882.0,724805.0,79697.0,69747.0,557687.0,518.0,45067.0,38161.0,3667.0,85032.0,138426.0,1018002.0,293197.0,293752.0,235560.0,351765.0,140008.0,28448.0,68664.0,176.0,114469.0,1605882.0
2024-03-01,6766.0,786715.0,350719.0,222712.0,101910.0,21520.0,4577.0,610848.0,132307.0,178377.0,300164.0,1755048.0,779985.0,87287.0,82062.0,579067.0,522.0,59936.0,43458.0,3745.0,112873.0,145632.0,1114582.0,334597.0,338855.0,225672.0,410536.0,152770.0,31628.0,97225.0,2517.0,126396.0,1755048.0
2025-03-01,13532.0,829668.0,374313.0,236899.0,110631.0,22045.0,4738.0,732200.0,166426.0,186789.0,378985.0,1949713.0,999393.0,102088.0,106351.0,640511.0,527.0,0.0,111604.0,4178.0,160656.0,249903.0,1375818.0,376425.0,262358.0,242381.0,445581.0,146062.0,42121.0,106502.0,5182.0,145714.0,1949713.0
2026-03-01,13532.0,890498.0,402962.0,270751.0,103670.0,23579.0,4962.0,870554.0,181836.0,158842.0,529876.0,2177546.0,1124795.0,103974.0,110548.0,727877.0,551.0,0.0,121211.0,5044.0,167504.0,318878.0,1555587.0,430792.0,237686.0,248332.0,566733.0,166941.0,58491.0,145977.0,4870.0,190454.0,2177546.0
