symbol,is_nifty50,financial_period,result_date_announced_to_nse,actual_result_declaration_date,prior_notice_days,intimation_details,raw_broadcast_time
LICI,NO,Quarterly Financial Results,2026-07-27,2026-08-06,10 Days Prior Notice,Shareholders meeting Life Insurance Corporation Of India has submitted the Exchange a copy Srutinizers report of  Annual,06-Aug-2026 17:24:57
ATHERENERG,NO,Quarterly Financial Results,2026-07-15,2026-08-03,19 Days Prior Notice,Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on July ,03-Aug-2026 15:10:54
MUTHOOTFIN,NO,Quarterly Financial Results,2026-08-03,2026-08-03,0 Days Prior Notice,Outcome of Board Meeting Outcome of Board Meeting ,03-Aug-2026 17:07:10
FORCEMOT,NO,Quarterly Financial Results,2026-07-29,2026-07-29,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended Jun ",29-Jul-2026 18:24:28
FORCEMOT,NO,Quarterly Financial Results,2026-07-29,2026-07-29,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended Jun ",29-Jul-2026 17:49:41
FORCEMOT,NO,Quarterly Financial Results,2026-07-29,2026-07-29,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended Jun ",29-Jul-2026 17:22:42
RECLTD,NO,Quarterly Financial Results,2026-06-28,2026-07-24,26 Days Prior Notice,"Outcome of Board Meeting Outcome of Board Meeting held on Jun 28, 2026.",24-Jul-2026 17:26:56
ANGELONE,NO,Quarterly Financial Results,2026-06-12,2026-07-16,34 Days Prior Notice,Shareholders meeting Proceedings and  the AGM pursuant to Regulation 30 of the Listing Regulations   Annexure AThe votin,2026-07-16 16:52:07
ANGELONE,NO,Quarterly Financial Results,2026-06-12,2026-07-15,33 Days Prior Notice,Shareholders meeting Proceedings and  the AGM pursuant to Regulation 30 of the Listing Regulations   Annexure AThe votin,2026-07-15 17:42:36
ATHERENERG,NO,Quarterly Financial Results,2026-06-12,2026-07-15,33 Days Prior Notice,Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 1,15-Jul-2026 20:23:56
ATHERENERG,NO,Quarterly Financial Results,2026-06-12,2026-07-15,33 Days Prior Notice,Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 1,15-Jul-2026 14:17:13
ICICIGI,NO,Quarterly Financial Results,2026-06-12,2026-07-15,33 Days Prior Notice,Updates ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Revised intimation for upda,15-Jul-2026 18:40:35
ICICIPRULI,NO,Quarterly Financial Results,2026-07-06,2026-07-15,9 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,15-Jul-2026 13:44:12
ICICIPRULI,NO,Quarterly Financial Results,2026-07-06,2026-07-06,0 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,06-Jul-2026 14:54:01
ANGELONE,NO,Quarterly Financial Results,2026-06-12,2026-06-29,17 Days Prior Notice,Shareholders meeting Proceedings and  the AGM pursuant to Regulation 30 of the Listing Regulations   Annexure AThe votin,2026-06-29 15:24:58
