date,category,event,detail,before_%,adj_%,after_%
2026-06-05,DIVIDEND,Dividend - Rs 6 Per Share,Rs 6.00/share,-1.8340072426142107,-0.9741467858811581,0.15491866769945517
2025-08-14,DIVIDEND,Dividend - Rs 5.5 Per Share,Rs 5.50/share,-0.7278737441193783,-0.6364767042674857,2.5767839409053916
2025-01-16,EARNINGS,Quarterly results,BEAT (+7% YoY),0.9324590764920426,,-0.22108844033436048
2024-10-28,BONUS,Bonus 1:1,ratio 1:1,-2.545292452617254,-50.0,-2.4131519331707096
2024-10-14,EARNINGS,Quarterly results,MISS (-5% YoY),0.13132323156470616,,-0.24225258211379996
2024-08-19,DIVIDEND,Dividend - Rs 10 Per Share,Rs 10.00/share,1.2990260405197018,0.6900333905505152,1.6259152442769098
2024-07-19,EARNINGS,Quarterly results,MISS (-5% YoY),-1.6132612455111217,,-2.9659468189790816
2024-04-22,EARNINGS,Quarterly results,MISS (-1% YoY),0.8656092340633581,,-1.0017882904832964
2024-01-19,EARNINGS,Quarterly results,BEAT (+10% YoY),-0.23892359014667797,,2.937950087950947
2023-10-27,EARNINGS,Quarterly results,BEAT (+29% YoY),-1.7496664679545693,,2.3788425292024185
2023-08-21,DIVIDEND,Dividend - Rs 9 Per Share,Rs 9.00/share,-0.7164160855532842,-1.439301006153837,-3.025788592683465
2023-07-21,EARNINGS,Quarterly results,MISS (-11% YoY),0.35913521721755437,,-0.42934388004038926
2023-07-20,DEMERGER,Demerger,nan,3.478258995973582,-0.12110108445551049,-4.471631743342009
2023-04-21,EARNINGS,Quarterly results,BEAT (+19% YoY),-0.27595374889257673,,3.0438452230916457
2023-01-20,EARNINGS,Quarterly results,,-1.0111025976172194,,-3.3938466506183484
2022-10-21,EARNINGS,Quarterly results,,4.256125636224439,,3.1558512123562865
2022-08-18,DIVIDEND,Dividend - Rs 8 Per Share,Rs 8.00/share,3.3875472390065386,-0.14445382658235806,-1.0991022110950155
2022-07-25,EARNINGS,Quarterly results,,-0.07636346561730178,,6.3811610571845145
2022-05-06,EARNINGS,Quarterly results,,-7.064219157541773,,-7.404657647262935
2022-01-21,EARNINGS,Quarterly results,,-2.408427782886635,,-3.6826149041461087
2021-10-22,EARNINGS,Quarterly results,,-2.7033115274274544,,-3.46919731144979
2021-07-23,EARNINGS,Quarterly results,,1.1213280713773255,,-3.3433141939818833
2021-06-11,DIVIDEND,Dividend - Rs 7 Per Share,Rs 7.00/share,1.3862321570770497,1.3811233390942146,0.5648022555799548
2021-04-30,EARNINGS,Quarterly results,,4.7339010941293225,,-3.146155907834458
2021-01-22,EARNINGS,Quarterly results,,5.788544749473856,,-7.528292597508724
2020-10-30,EARNINGS,Quarterly results,,-2.7708754822762804,,-1.2338777536959888
2020-07-30,EARNINGS,Quarterly results,,2.4808118511606247,,1.1973260969739385
2020-07-02,DIVIDEND,Dividend - Rs 6.50 Per Share,Rs 6.50/share,2.888029232803313,1.3092802117523838,3.6299564493415204
2020-06-03,EARNINGS,Quarterly results,,6.6479809360461495,,1.9783985107669322
2020-05-13,RIGHTS,Rights 1:15 @ Premium Rs 1247,1:15,3.41499771609719,2.1216801815323594,-4.1932508064729035
2020-04-30,EARNINGS,Quarterly results,,6.937047350864001,,6.5347874904738035
2020-01-17,EARNINGS,Quarterly results,,2.154892442692047,,-3.76027471664796
2019-10-18,EARNINGS,Quarterly results,,4.713145757088588,,1.2638211384474074
2019-08-02,DIVIDEND,Annual General Meeting/Dividend - Rs 6.50 Per Sh,Rs 6.50/share,-1.840552686101804,0.34737410672118774,-1.8786866379713385
2019-07-19,EARNINGS,Quarterly results,,-2.459972930315435,,-2.818272547019418
2019-05-06,EARNINGS,Quarterly results,,0.9108018806218698,,-11.036907445580136
2019-01-17,EARNINGS,Quarterly results,,2.4334091945032776,,9.960785066844547
2018-10-22,EARNINGS,Quarterly results,,-5.67218307324957,,2.366710726769816
2018-10-19,EARNINGS,Quarterly results,,1.2410397153117314,,-5.1212223046636645
2018-08-07,EARNINGS,Quarterly results,,-0.15177176149998584,,2.2293732699007807
2018-06-27,DIVIDEND,Dividend- Rs 6 Per Share,Rs 6.00/share,-4.605696591146879,-1.3381643984567648,2.5107546818958992
2018-06-13,EARNINGS,Quarterly results,,5.039807956064357,,1.6708200507544735
2018-01-24,EARNINGS,Quarterly results,,4.526772420183178,,-2.328344894975609
2017-10-17,EARNINGS,Quarterly results,,3.694268270890233,,7.496996663983091
2017-09-07,BONUS,Bonus 1:1,ratio 1:1,2.615245780416786,-50.0,3.147531314884966
2017-07-26,EARNINGS,Quarterly results,,5.857992350356889,,0.3974744215552217
2017-07-13,DIVIDEND,Dividend - Rs 11/- Per Share,Rs 11.00/share,6.3533170924412685,0.7279434255290207,0.4467668159749971
2017-06-18,EARNINGS,Quarterly results,,6.80585245391776,,1.9797787689782576
2017-01-17,EARNINGS,Quarterly results,,-4.4593325366923064,,-1.3397307020757032
