symbol,broadcast_date,year,month_name,month_num,day_of_month,relating_to,from_date,to_date
NAUKRI,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
NHPC,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PFC,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SAIL,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SBIN,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TMPV,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TRENT,2024-11-08,2024,November,11,8,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
APOLLOHOSP,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ASTRAL,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INDHOTEL,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
JINDALSTEL,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LUPIN,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
M&M,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PAGEIND,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
POWERGRID,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
RVNL,2024-11-07,2024,November,11,7,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BLUESTARCO,2024-11-06,2024,November,11,6,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
GAIL,2024-11-06,2024,November,11,6,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MANAPPURAM,2024-11-06,2024,November,11,6,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
OIL,2024-11-06,2024,November,11,6,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
POLICYBZR,2024-11-06,2024,November,11,6,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TATASTEEL,2024-11-06,2024,November,11,6,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
DRREDDY,2024-11-05,2024,November,11,5,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MANKIND,2024-11-05,2024,November,11,5,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
