n,total_%,avg_%,win_rate,avg_win_%,avg_loss_%,t,sharpe,max_dd_%,strategy
72,132.3546147236737,1.2393996735660031,62.5,3.3247860717916327,-2.236244323476711,2.950548304370813,0.6679976464044897,-17.830238712012658,A pre-earnings run-up (long)
72,13.237751331868065,0.30617808002618013,56.94444444444444,3.4437111193573524,-3.843462391347305,0.5067259793459944,0.1147216471845953,-34.68104111060016,B post-earnings fade (short)
5,5.3673554905712795,1.059061015693079,80.0,1.404098379699939,-0.32108844033436046,1.6713324146805653,0.3783859826027235,-0.32108844033436057,C PEAD conditional (long/short)
0,935.9901347872598,0.0,0.0,,,0.0,0.5475168487686486,0.0,buy & hold
