event,entry,exit,dir,ret
2007-07-28,2007-07-23,2007-07-27,LONG,-0.02284166134576593
2007-09-10,2007-09-03,2007-09-07,LONG,0.001528092493371492
2007-10-18,2007-10-11,2007-10-17,LONG,0.020668876698994976
2008-01-17,2008-01-10,2008-01-16,LONG,0.020748508678443467
2008-04-21,2008-04-10,2008-04-17,LONG,0.0684306657217929
2008-07-24,2008-07-17,2008-07-23,LONG,0.12223223038916109
2008-10-23,2008-10-16,2008-10-22,LONG,-0.05498930115907563
2009-01-22,2009-01-15,2009-01-21,LONG,-0.02069617939202517
2009-04-23,2009-04-16,2009-04-22,LONG,-0.010798236898419744
2009-07-24,2009-07-17,2009-07-23,LONG,0.05294782829253897
2009-10-07,2009-09-29,2009-10-06,LONG,-0.01801937143589638
2009-10-29,2009-10-22,2009-10-28,LONG,-0.04832561353937437
2010-01-22,2010-01-15,2010-01-21,LONG,-0.05204651570201335
2010-04-23,2010-04-16,2010-04-22,LONG,-0.008839425133865597
2010-07-27,2010-07-20,2010-07-26,LONG,-0.0008576515188306591
2010-10-30,2010-10-25,2010-10-29,LONG,0.004411154272690899
2011-01-21,2011-01-14,2011-01-20,LONG,-0.032602691422438435
2011-04-21,2011-04-13,2011-04-20,LONG,0.0030123795328124156
2011-07-25,2011-07-18,2011-07-22,LONG,0.005627416899494198
2011-10-15,2011-10-10,2011-10-14,LONG,0.04440268809706149
2012-01-20,2012-01-13,2012-01-19,LONG,0.0725855071920184
2012-05-04,2012-04-26,2012-05-03,LONG,-0.009321612495253095
2012-07-20,2012-07-13,2012-07-19,LONG,0.011943793652555157
2012-10-15,2012-10-08,2012-10-12,LONG,-0.001610282191626066
2013-01-18,2013-01-11,2013-01-17,LONG,0.05864998933011234
2013-04-17,2013-04-10,2013-04-16,LONG,0.031781673946306044
2013-07-19,2013-07-12,2013-07-18,LONG,0.02967578569074092
2013-10-15,2013-10-08,2013-10-14,LONG,0.029001915285476465
2014-01-17,2014-01-10,2014-01-16,LONG,0.03162830583067111
2014-04-21,2014-04-10,2014-04-17,LONG,-0.011267670741449631
2014-07-21,2014-07-14,2014-07-18,LONG,0.014596456900681232
2014-10-13,2014-10-01,2014-10-10,LONG,0.03507630090512148
2015-01-19,2015-01-12,2015-01-16,LONG,0.021815672377141992
2015-04-20,2015-04-10,2015-04-17,LONG,0.023879609744907326
2016-04-25,2016-04-13,2016-04-22,LONG,-0.026420880326036622
2016-09-29,2016-09-22,2016-09-28,LONG,0.0005611710716754157
2016-10-25,2016-10-18,2016-10-24,LONG,-0.01746463480385374
2017-01-17,2017-01-10,2017-01-16,LONG,-0.013478671255997443
2017-06-18,2017-06-12,2017-06-16,LONG,0.05155976727951994
2017-07-26,2017-07-19,2017-07-25,LONG,0.044141746304034224
2017-10-17,2017-10-10,2017-10-16,LONG,0.038848225926295776
2018-01-24,2018-01-17,2018-01-23,LONG,0.06254790412980438
2018-06-13,2018-06-06,2018-06-12,LONG,0.0437925317540081
2018-08-07,2018-07-31,2018-08-06,LONG,0.004564770167074462
2018-10-19,2018-10-11,2018-10-17,LONG,0.05737472741007765
2018-10-22,2018-10-12,2018-10-19,LONG,-0.023413530787469328
2019-01-17,2019-01-10,2019-01-16,LONG,0.024643327395461267
2019-05-06,2019-04-25,2019-05-03,LONG,0.025559456125098357
2019-07-19,2019-07-12,2019-07-18,LONG,-0.01556473356102106
2019-10-18,2019-10-11,2019-10-17,LONG,0.03145598345791745
2020-01-17,2020-01-10,2020-01-16,LONG,-0.007299866860812076
2020-04-30,2020-04-23,2020-04-29,LONG,0.039885543494356024
2020-06-03,2020-05-27,2020-06-02,LONG,0.06136362594598854
2020-07-30,2020-07-23,2020-07-29,LONG,0.017879383850050057
2020-10-30,2020-10-23,2020-10-29,LONG,-0.0417704926499326
2021-01-22,2021-01-15,2021-01-21,LONG,0.08258923517572414
2021-04-30,2021-04-23,2021-04-29,LONG,0.06185610203985992
2021-07-23,2021-07-15,2021-07-22,LONG,0.01741660873570805
2021-10-22,2021-10-14,2021-10-21,LONG,-0.029847615447900933
2022-01-21,2022-01-14,2022-01-20,LONG,-0.02524180984792679
2022-05-06,2022-04-28,2022-05-05,LONG,-0.06446084238574357
2022-07-25,2022-07-18,2022-07-22,LONG,0.0323779370942322
2022-10-21,2022-10-14,2022-10-20,LONG,0.053794064170910816
2023-01-20,2023-01-13,2023-01-19,LONG,0.0008034018702250964
2023-04-21,2023-04-13,2023-04-20,LONG,-0.00501191359393982
2023-07-21,2023-07-14,2023-07-20,LONG,0.03465062528370633
2023-10-27,2023-10-19,2023-10-26,LONG,-0.03553797722510765
2024-01-19,2024-01-12,2024-01-18,LONG,-0.0030244828857650665
2024-04-22,2024-04-12,2024-04-19,LONG,0.0010277573976599239
2024-07-19,2024-07-11,2024-07-18,LONG,0.0028118257105417275
2024-10-14,2024-10-07,2024-10-11,LONG,3.1585842098511355e-06
2025-01-16,2025-01-09,2025-01-15,LONG,-0.003032302731171165
