period,Sales,Sales Growth %,Expenses,Material Cost %,Raw material cost,Change in inventory,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Exceptional items,Other income normal,Interest,Depreciation,Profit before tax,Tax %,Net Profit,Profit from Associates,Minority share,Exceptional items AT,Profit excl Excep,Profit for PE,Profit for EPS,Profit Growth %,EPS in Rs,Dividend Payout %
2015-03-01,374372.0,-13.64,336923.0,79.0,292563.0,1483.0,6.0,2.0,4.0,37449.0,10.0,8528.0,1675.0,6853.0,3316.0,11547.0,31114.0,24.0,23640.0,0.0,-74.0,1273.0,22367.0,22297.0,23566.0,8.0,17.07,12.0
2016-03-01,272583.0,-27.19,230802.0,69.0,186254.0,2560.0,7.0,3.0,6.0,41781.0,15.0,12212.0,-34.0,12246.0,3691.0,11565.0,38737.0,23.0,29861.0,0.0,-116.0,-26.0,29887.0,29771.0,29745.0,34.0,21.51,10.0
2017-03-01,303954.0,11.51,257647.0,70.0,217518.0,-5218.0,7.0,3.0,5.0,46307.0,15.0,9222.0,-113.0,9335.0,3849.0,11646.0,40034.0,25.0,29833.0,0.0,68.0,-84.0,29917.0,29985.0,29901.0,1.0,21.55,11.0
2018-03-01,390823.0,28.58,326508.0,68.0,276076.0,-8610.0,6.0,2.0,6.0,64315.0,16.0,9869.0,-139.0,10008.0,8052.0,16706.0,49426.0,27.0,36080.0,0.0,-5.0,-101.0,36181.0,36176.0,36075.0,21.0,26.69,10.0
2019-03-01,568337.0,45.42,484087.0,69.0,399167.0,-4680.0,5.0,2.0,8.0,84250.0,15.0,8406.0,-83.0,8489.0,16495.0,20934.0,55227.0,28.0,39837.0,0.0,-249.0,-60.0,39897.0,39648.0,39588.0,10.0,29.28,10.0
2020-03-01,596679.0,4.99,507413.0,68.0,410288.0,-5048.0,4.0,2.0,10.0,89266.0,15.0,8570.0,-4701.0,13271.0,22027.0,22203.0,53606.0,26.0,39880.0,0.0,-526.0,-3497.0,43377.0,42805.0,39354.0,8.0,29.1,10.0
2021-03-01,466307.0,-21.85,385517.0,63.0,301765.0,-9064.0,4.0,3.0,12.0,80790.0,17.0,22432.0,5589.0,16843.0,21189.0,26572.0,55461.0,3.0,53739.0,0.0,-4611.0,5367.0,48372.0,44222.0,49128.0,3.0,38.75,9.0
2022-03-01,694673.0,48.97,586092.0,68.0,494449.0,-21457.0,4.0,3.0,9.0,108581.0,16.0,19600.0,4362.0,15238.0,14584.0,29782.0,83815.0,19.0,67845.0,0.0,-7140.0,2186.0,65659.0,58749.0,60705.0,33.0,44.87,9.0
2023-03-01,876396.0,26.16,734078.0,67.0,618746.0,-30263.0,5.0,3.0,9.0,142318.0,16.0,12020.0,262.0,11758.0,19571.0,40303.0,94464.0,22.0,74088.0,0.0,-7386.0,-122.0,74210.0,66812.0,66702.0,14.0,49.29,9.0
2024-03-01,899041.0,2.58,736543.0,65.0,590226.0,-4883.0,4.0,3.0,9.0,162498.0,18.0,15792.0,1656.0,14136.0,23118.0,50832.0,104340.0,25.0,79020.0,387.0,-9399.0,1248.0,77772.0,68521.0,69621.0,3.0,51.45,10.0
2025-03-01,962820.0,7.09,797222.0,65.0,644813.0,-15124.0,4.0,3.0,10.0,165598.0,17.0,17824.0,1403.0,16421.0,24269.0,53136.0,106017.0,24.0,81309.0,522.0,-11661.0,1737.0,79572.0,68160.0,69648.0,-1.0,51.47,11.0
2026-03-01,1055780.0,9.65,876715.0,65.0,698930.0,-10267.0,4.0,3.0,11.0,179065.0,17.0,28846.0,2830.0,26016.0,27061.0,57688.0,123162.0,22.0,95754.0,144.0,-14979.0,3463.0,92291.0,77854.0,80775.0,14.0,59.69,10.0
