event,entry,exit,dir,ret
2007-07-28,2007-07-30,2007-08-06,SHORT,0.0361060061094135
2007-09-10,2007-09-10,2007-09-17,SHORT,-0.02250466470039758
2007-10-18,2007-10-18,2007-10-25,SHORT,-0.018381559784851453
2008-01-17,2008-01-17,2008-01-24,SHORT,0.16841166691149223
2008-04-21,2008-04-21,2008-04-28,SHORT,0.018745571472301492
2008-07-24,2008-07-24,2008-07-31,SHORT,0.04256496462761239
2008-10-23,2008-10-23,2008-11-03,SHORT,-0.1850019481536026
2009-01-22,2009-01-22,2009-01-30,SHORT,-0.1658331238781633
2009-04-23,2009-04-23,2009-04-30,SHORT,-0.027365071013443765
2009-07-24,2009-07-24,2009-07-31,SHORT,0.02946839318435568
2009-10-07,2009-10-07,2009-10-14,SHORT,-0.040451648466461765
2009-10-29,2009-10-29,2009-11-06,SHORT,0.019956375488286326
2010-01-22,2010-01-22,2010-02-01,SHORT,0.007018187995147419
2010-04-23,2010-04-23,2010-04-30,SHORT,0.04917475185527653
2010-07-27,2010-07-27,2010-08-03,SHORT,0.023442167172893713
2010-10-30,2010-11-01,2010-11-09,SHORT,-0.01504146165322695
2011-01-21,2011-01-21,2011-01-31,SHORT,0.06740282956926891
2011-04-21,2011-04-21,2011-04-29,SHORT,0.053632095746500186
2011-07-25,2011-07-25,2011-08-01,SHORT,0.057900122561891365
2011-10-15,2011-10-17,2011-10-24,SHORT,-0.016231421121831624
2012-01-20,2012-01-20,2012-01-30,SHORT,-0.0036492229307946147
2012-05-04,2012-05-04,2012-05-11,SHORT,0.039264439523740036
2012-07-20,2012-07-20,2012-07-27,SHORT,0.0012833580814483056
2012-10-15,2012-10-15,2012-10-22,SHORT,0.008051722757564939
2013-01-18,2013-01-18,2013-01-25,SHORT,-0.014330320757945825
2013-04-17,2013-04-17,2013-04-26,SHORT,-0.02516951135302159
2013-07-19,2013-07-19,2013-07-26,SHORT,0.03532134547206334
2013-10-15,2013-10-15,2013-10-23,SHORT,-0.03436029883016867
2014-01-17,2014-01-17,2014-01-24,SHORT,0.018327589202669636
2014-04-21,2014-04-21,2014-04-28,SHORT,0.014214492431089076
2014-07-21,2014-07-21,2014-07-28,SHORT,-0.008968802058799796
2014-10-13,2014-10-13,2014-10-20,SHORT,0.02285400839520979
2015-01-19,2015-01-19,2015-01-27,SHORT,-0.011685983857785298
2015-04-20,2015-04-20,2015-04-27,SHORT,0.010686297107071474
2016-04-25,2016-04-25,2016-05-02,SHORT,0.028452183714218426
2016-09-29,2016-09-29,2016-10-06,SHORT,-0.0367592465137524
2016-10-25,2016-10-25,2016-11-02,SHORT,0.03397202095882623
2017-01-17,2017-01-17,2017-01-24,SHORT,0.012397307020757031
2017-06-18,2017-06-19,2017-06-27,SHORT,-0.020797587157585506
2017-07-26,2017-07-26,2017-08-02,SHORT,-0.004974830096479032
2017-10-17,2017-10-17,2017-10-25,SHORT,-0.07596997259093496
2018-01-24,2018-01-24,2018-02-01,SHORT,0.022283589250371105
2018-06-13,2018-06-13,2018-06-20,SHORT,-0.01770813011811223
2018-08-07,2018-08-07,2018-08-14,SHORT,-0.023293618853616693
2018-10-19,2018-10-19,2018-10-26,SHORT,0.05021222304663664
2018-10-22,2018-10-22,2018-10-29,SHORT,-0.02466723702797824
2019-01-17,2019-01-17,2019-01-24,SHORT,-0.10060778384104918
2019-05-06,2019-05-06,2019-05-13,SHORT,0.10936877575601167
2019-07-19,2019-07-19,2019-07-26,SHORT,0.0271827223588178
2019-10-18,2019-10-18,2019-10-27,SHORT,-0.013638211384474075
2020-01-17,2020-01-17,2020-01-24,SHORT,0.03660266373008558
2020-04-30,2020-04-30,2020-05-08,SHORT,-0.06634787490473804
2020-06-03,2020-06-03,2020-06-10,SHORT,-0.020783895290774734
2020-07-30,2020-07-30,2020-08-06,SHORT,-0.012973196077124993
2020-10-30,2020-10-30,2020-11-06,SHORT,0.011338777536959888
2021-01-22,2021-01-22,2021-02-01,SHORT,0.07428293094214689
2021-04-30,2021-04-30,2021-05-07,SHORT,0.03046148914393021
2021-07-23,2021-07-23,2021-07-30,SHORT,0.03243301608414717
2021-10-22,2021-10-22,2021-10-29,SHORT,0.0336919695557818
2022-01-21,2022-01-21,2022-01-31,SHORT,0.035826366584667424
2022-05-06,2022-05-06,2022-05-13,SHORT,0.07304647362801953
2022-07-25,2022-07-25,2022-08-01,SHORT,-0.06481172192522411
2022-10-21,2022-10-21,2022-10-31,SHORT,-0.032558732937795765
2023-01-20,2023-01-20,2023-01-30,SHORT,0.032938470238743967
2023-04-21,2023-04-21,2023-04-28,SHORT,-0.03143833786599626
2023-07-21,2023-07-21,2023-07-28,SHORT,0.0032934388004038926
2023-10-27,2023-10-27,2023-11-03,SHORT,-0.024788425292024185
2024-01-19,2024-01-19,2024-01-30,SHORT,-0.03037950087950947
2024-04-22,2024-04-22,2024-04-29,SHORT,0.009017799421779715
2024-07-19,2024-07-19,2024-07-26,SHORT,0.028659545274431486
2024-10-14,2024-10-14,2024-10-21,SHORT,0.0014225258211379996
2025-01-16,2025-01-16,2025-01-23,SHORT,0.0012108844033436048
