exDate,recDate,subject,faceVal
2026-05-28 14:11:28,2026-05-28 14:11:28,Copy of Newspaper Publication,1
2026-05-04 14:21:04,2026-05-04 14:21:04,Record Date,1
2026-05-04 14:15:06,2026-05-04 14:15:06,Dividend,1
2026-04-28 13:44:07,2026-04-28 13:44:07,Copy of Newspaper Publication,1
2025-09-15 19:28:31,2025-09-15 19:28:31,Copy of Newspaper Publication,1
2025-04-29 14:39:34,2025-04-29 14:39:34,Record Date,1
2025-04-29 14:38:35,2025-04-29 14:38:35,Dividend,1
2024-05-01 13:33:29,2024-05-01 13:33:29,Dividend Updates,1
2024-05-01 13:31:34,2024-05-01 13:31:34,Record Date,1
2023-05-02 15:53:05,2023-05-02 15:53:05,Date of payment of dividend,1
2023-05-02 15:52:01,2023-05-02 15:52:01,Dividend Updates,1
2023-05-02 15:50:29,2023-05-02 15:50:29,Record Date,1
2022-02-23 10:41:25,2022-02-23 10:41:25,Record Date,1
2022-02-21 14:01:09,2022-02-21 14:01:09,General updates,1
2022-02-17 19:11:13,2022-02-17 19:11:13,Dividend,1
2021-02-25 12:25:27,2021-02-25 12:25:27,Record Date,1
2021-02-18 17:29:59,2021-02-18 17:29:59,Dividend,1
2020-10-22 16:56:30,2020-10-22 16:56:30,Record Date,1
2020-05-12 14:47:00,2020-05-12 14:47:00,Dividend,1
2020-05-06 17:16:00,2020-05-06 17:16:00,Record Date,1
2020-02-24 10:58:00,2020-02-24 10:58:00,Record Date,1
2020-02-24 10:10:00,2020-02-24 10:10:00,Dividend,1
2019-02-18 20:08:00,2019-02-18 20:08:00,Dividend,1
2019-02-18 19:28:00,2019-02-18 19:28:00,Book Closure,1
2018-02-23 12:36:00,2018-02-23 12:36:00,Rely to Clarification sought,1
2018-02-21 19:50:00,2018-02-21 19:50:00,Clarification,1
2018-02-20 15:21:00,2018-02-20 15:21:00,Dividend,1
2018-02-20 15:20:00,2018-02-20 15:20:00,Book Closure,1
2017-07-24 17:38:00,2017-07-24 17:38:00,Dividend,1
2017-07-11 12:30:00,2017-07-11 12:30:00,Record Date,1
2017-02-20 19:20:00,2017-02-20 19:20:00,Book Closure,1
2017-02-20 19:17:00,2017-02-20 19:17:00,Dividend,1
2016-07-26 18:07:00,2016-07-26 18:07:00,Dividend,1
2016-07-12 11:57:00,2016-07-12 11:57:00,Record Date,1
2016-02-10 20:21:00,2016-02-10 20:21:00,AGM/Book Closure,1
2016-02-10 20:14:00,2016-02-10 20:14:00,Dividend,1
2015-07-27 16:44:00,2015-07-27 16:44:00,Dividend,1
2015-07-27 16:44:00,2015-07-27 16:44:00,Date of payment of dividend,1
2015-07-20 14:56:00,2015-07-20 14:56:00,Record Date,1
2015-02-18 20:01:00,2015-02-18 20:01:00,AGM/Book Closure,1
2015-02-18 20:00:00,2015-02-18 20:00:00,Date of payment of dividend,1
2015-02-18 19:51:00,2015-02-18 19:51:00,Dividend,1
2014-07-24 20:04:00,2014-07-24 20:04:00,Date of payment of dividend,1
2014-07-24 19:44:00,2014-07-24 19:44:00,Dividend,1
2014-07-14 16:36:00,2014-07-14 16:36:00,Record Date,1
2014-02-06 19:32:00,2014-02-06 19:32:00,Dividend,1
2014-02-05 10:32:00,2014-02-05 10:32:00,Date of payment of dividend,1
2014-02-05 10:32:00,2014-02-05 10:32:00,Book Closure,1
2013-07-25 10:16:00,2013-07-25 10:16:00,Dividend,1
2013-07-25 10:12:00,2013-07-25 10:12:00,Date of payment of dividend,1
2013-07-19 09:28:00,2013-07-19 09:28:00,Record Date,1
2013-02-08 08:04:00,2013-02-08 08:04:00,Book Closure,1
2013-02-07 20:08:00,2013-02-07 20:08:00,Dividend,1
2012-07-31 11:50:00,2012-07-31 11:50:00,Date of payment of dividend,1
2012-07-27 11:52:00,2012-07-27 11:52:00,Interim Dividend,1
2012-07-18 14:59:00,2012-07-18 14:59:00,Record Date,1
2012-02-09 14:34:00,2012-02-09 14:34:00,Dividend,1
2012-01-31 16:31:00,2012-01-31 16:31:00,Date of payment of dividend,1
2012-01-31 16:28:00,2012-01-31 16:28:00,Book Closure,1
2011-07-28 14:40:00,2011-07-28 14:40:00,Record Date,1
2011-07-28 12:38:00,2011-07-28 12:38:00,Dividend,1
2011-04-19 15:52:00,2011-04-19 15:52:00,Outcome of Annual General Meeting,1
2011-04-15 13:06:00,2011-04-15 13:06:00,Date of payment of dividend,1
2011-02-03 14:12:00,2011-02-03 14:12:00,Book Closure,1
2011-02-03 13:51:00,2011-02-03 13:51:00,Date of payment of dividend,1
2011-02-03 13:47:00,2011-02-03 13:47:00,Dividend,1
2010-07-22 18:30:00,2010-07-22 18:30:00,Record Date,1
2010-07-22 18:28:00,2010-07-22 18:28:00,Dividend,1
2010-04-06 14:45:00,2010-04-06 14:45:00,Resolutions passed at the AGM,1
2010-02-05 13:40:00,2010-02-05 13:40:00,Book Closure,1
2010-02-04 18:14:00,2010-02-04 18:14:00,Final Dividend,1
2009-07-23 18:13:00,2009-07-23 18:13:00,Interim Dividend/Record Date,1
2009-02-06 18:19:00,2009-02-06 18:19:00,Book Closure,1
2009-02-06 15:50:00,2009-02-06 15:50:00,Final Dividend,1
2008-07-25 14:20:00,2008-07-25 14:20:00,Interim Dividend/Record Date,1
2008-04-23 15:21:00,2008-04-23 15:21:00,Proceedings of AGM,1
2008-02-02 16:22:00,2008-02-02 16:22:00,Book Closure,1
2008-02-01 14:36:00,2008-02-01 14:36:00,Dividend,1
2007-07-20 15:57:00,2007-07-20 15:57:00,Record Date,1
2007-07-20 14:35:00,2007-07-20 14:35:00,Interim Dividend,1
2007-02-02 19:04:00,2007-02-02 19:04:00,Book Closure,1
2007-02-02 14:13:00,2007-02-02 14:13:00,Final Dividend,1
2006-10-20 15:35:00,2006-10-20 15:35:00,Record Date,1
2006-10-20 14:36:00,2006-10-20 14:36:00,Press Release,1
2006-10-20 14:01:00,2006-10-20 14:01:00,Interim Dividend,1
2006-04-18 00:00:00,2006-04-18 00:00:00,Record Date,1
2006-04-17 00:00:00,2006-04-17 00:00:00,Interim Dividend,1
2006-04-17 00:00:00,2006-04-17 00:00:00,Press Release,1
2005-08-03 00:00:00,2005-08-03 00:00:00,Book Closure,1
2005-08-01 00:00:00,2005-08-01 00:00:00,Dividend/Others,1
2005-04-20 00:00:00,2005-04-20 00:00:00,Bonus,1
2005-04-20 00:00:00,2005-04-20 00:00:00,Record Date,1
2005-04-20 00:00:00,2005-04-20 00:00:00,Miscellaneous,1
2005-04-20 00:00:00,2005-04-20 00:00:00,Dividend / Sub-division,1
