bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate,ca_source
-,-,Titan Company Limited,09-Jul-2026,1,-,INE280A01010,-,-,09-Jul-2026,EQ,Dividend - Rs 15 Per Share,TITAN,Titan Company Ltd.,,
-,-,Titan Company Limited,08-Jul-2025,1,-,INE280A01010,-,-,08-Jul-2025,EQ,Dividend - Rs 11 Per Share,TITAN,Titan Company Ltd.,,
12-Jul-2024,28-Jun-2024,Titan Company Limited,27-Jun-2024,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting/Dividend - Rs 11 Per Share,TITAN,Titan Company Ltd.,,
01-Aug-2023,14-Jul-2023,Titan Company Limited,13-Jul-2023,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting/Dividend - Rs 10 Per Share,TITAN,Titan Company Ltd.,,
26-Jul-2022,12-Jul-2022,Titan Company Limited,08-Jul-2022,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting/Dividend - Rs 7.50 Per Share,TITAN,Titan Company Ltd.,,
02-Aug-2021,24-Jul-2021,Titan Company Limited,22-Jul-2021,1,-,INE280A01010,-,-,-,EQ, Annual General Meeting/Dividend - Rs 4 Per Share,TITAN,Titan Company Ltd.,,
11-Aug-2020,05-Aug-2020,Titan Company Limited,03-Aug-2020,1,-,INE280A01010,-,-,-,EQ, Annual General Meeting/Dividend - Rs 4 Per Share,TITAN,Titan Company Ltd.,,
06-Aug-2019,31-Jul-2019,Titan Company Limited,29-Jul-2019,1,-,INE280A01010,-,-,-,EQ, Annual General Meeting/ Dividend - Rs 5 Per Share,TITAN,Titan Company Ltd.,,
03-Aug-2018,25-Jul-2018,Titan Company Limited,23-Jul-2018,1,-,INE280A01010,-,-,-,EQ, Annual General Meeting/Dividend- Rs 3.75 Per Share,TITAN,Titan Company Ltd.,,
03-Aug-2017,26-Jul-2017,Titan Company Limited,24-Jul-2017,1,-,INE280A01010,-,-,-,EQ, Dividend - Rs 2.60 Per Share,TITAN,Titan Company Ltd.,,
03-Aug-2016,26-Jul-2016,Titan Company Limited,22-Jul-2016,1,-,INE280A01010,-,-,-,EQ, Annual General Meeting,TITAN,Titan Company Ltd.,,
-,-,Titan Company Limited,22-Mar-2016,1,-,INE280A01010,-,-,24-Mar-2016,EQ, Interim Dividend - Rs 2.20/- Per Share (Purpose Revised),TITAN,Titan Company Ltd.,,
31-Jul-2015,21-Jul-2015,Titan Company Limited,17-Jul-2015,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting/Dividend - Rs 2.30/- Per Share,TITAN,Titan Company Ltd.,,
01-Aug-2014,17-Jul-2014,Titan Company Limited,15-Jul-2014,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting / Dividend - Rs 2.10/- Per Share,TITAN,Titan Company Ltd.,,
01-Aug-2013,18-Jul-2013,Titan Company Limited,16-Jul-2013,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting/Dividend Rs 2.10/- Per Share,TITAN,Titan Company Ltd.,,
31-Jul-2012,17-Jul-2012,Titan Company Limited,13-Jul-2012,1,-,INE280A01010,-,-,-,EQ,Annual General Meeting /Dividend Rs. 1.75 Per Share,TITAN,Titan Company Ltd.,,
28-Jul-2011,26-Jul-2011,Titan Company Limited,22-Jul-2011,1,-,INE280A01010,-,-,-,EQ,Dividend-Rs.1.25 Per Share,TITAN,Titan Company Ltd.,,
-,-,Titan Company Limited,23-Jun-2011,1,-,INE280A01010,-,-,24-Jun-2011,EQ,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,TITAN,Titan Company Ltd.,,
27-Jul-2010,13-Jul-2010,Titan Company Limited,09-Jul-2010,1,-,INE280A01010,-,-,-,EQ,Dividend-Rs.15/- Per Share,TITAN,Titan Company Ltd.,,
27-Jul-2009,14-Jul-2009,Titan Company Limited,10-Jul-2009,1,-,INE280A01010,-,-,-,EQ,Agm/Div-Rs.10/- Per Share,TITAN,Titan Company Ltd.,,
,,TITAN,15-Jul-2008,,,,,,,,Dividend - Rs 0.4 Per Share,TITAN,TITAN,,yahoo
,,TITAN,11-Jul-2007,,,,,,,,Dividend - Rs 0.25 Per Share,TITAN,TITAN,,yahoo
