bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
03-Jul-2024,27-Jun-2024,,Race Eco Chain Limited,26-Jun-2024,10,-,INE084Q01012,-,-,-,EQ,Annual General Meeting,RACE
25-Sep-2023,19-Sep-2023,,Race Eco Chain Limited,18-Sep-2023,10,-,INE084Q01012,-,-,-,EQ,Annual General Meeting,RACE
