exDate,recDate,subject,faceVal
30-Jun-2026 18:32:12,30-Jun-2026 18:32:12,Record Date,1
24-Apr-2026 20:14:52,24-Apr-2026 20:14:52,Dividend,1
20-Jun-2025 16:41:35,20-Jun-2025 16:41:35,Record Date,1
20-Jun-2025 16:27:59,20-Jun-2025 16:27:59,Outcome of Board Meeting,1
24-Apr-2025 20:59:08,24-Apr-2025 20:59:08,Dividend,1
24-Apr-2024 18:35:06,24-Apr-2024 18:35:06,Dividend,1
30-Jun-2023 23:50:16,30-Jun-2023 23:50:16,Book Closure,1
28-Jun-2023 21:15:46,28-Jun-2023 21:15:46,Record Date,1
