bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,intimationType,ixbrl,ixbrlFileSize,meetingType,oriiginalMeetingDate,proposedMeetingDate,symbol,company_name,bm_source
20MICRONS,22-May-2026,Board Meeting Intimation,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 22-May-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Dividend/Other business.,Metals,11-May-2026 15:23:14,20 Microns Limited,INE144J01019,00:00:02,11-May-2026 15:23:16,15.68 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_533022_115202615239_PRIOR_INTIMATION_WebXMLFile_20260511_152312440.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260511_152312_WEB.html,3.85 KB,,,,,,
20MICRONS,23-May-2025,Board Meeting Intimation,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 23-May-2025 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2025 and Dividend/Other business.,Metals,16-May-2025 16:06:24,20 Microns Limited,INE144J01019,00:00:03,16-May-2025 16:06:27,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_54235_1441095_16052025040620_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_54235_16052025160620_iXBRL_WEB.html,,,,,,,
20MICRONS,17-May-2024,Financial Results,"To consider and approve Audited Standalone & Consolidated Financial Statements of the Company for the Quarter/Year ended 31st March, 2024",Metals,06-May-2024 11:27:18,20 Microns Limited,INE144J01019,00:00:03,06-May-2024 11:27:21,,https://nsearchives.nseindia.com/corporate/20MICRONS_06052024112718_NSEINTIMATION06052024.pdf,,,,,,,,,
20MICRONS,03-May-2022,Outcome of Board Meeting,20 Microns Limited  has informed the Exchange about Board Meeting held on 03-May-2022 to consider financial statements for the period ended March 2022 and Other business matters,,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,28-May-2019,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding  Board meeting held on May 28, 2019.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,24-May-2018,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding  Board meeting held on May 24, 2018.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,25-May-2017,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding Outcome of Board Meeting held on May 25, 2017.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,23-May-2016,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding Outcome of Board Meeting of the Company held on May 23, 2016.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,21-May-2015,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange that the Board of Directors of the Company at its Meeting held May 21, 2015, approved the allotment of 10,88,240 Equity Shares of the Company of the face value of Rs. 5/- each at a price of Rs. 34/  per share, including premium of Rs. 29/- per share in conversion of 10,88,240 Compulsorily Convertible Warrants to the persons other than promoters of the Company.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,24-Jan-2026,Board Meeting Intimation,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 24-Jan-2026 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended December 2025 and Other business.,Metals,19-Jan-2026 13:09:07,20 Microns Limited,INE144J01019,00:00:03,19-Jan-2026 13:09:10,6.86 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_75720_1603901_19012026010905_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_75720_19012026130905_iXBRL_WEB.html,3.43 KB,,,,,,
20MICRONS,07-Nov-2025,Board Meeting Intimation,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 07-Nov-2025 to consider and approve the Half Yearly Unaudited Financial results of the Company for the period ended September 2025 and Other business.,Metals,31-Oct-2025 12:37:28,20 Microns Limited,INE144J01019,00:00:02,31-Oct-2025 12:37:30,6.82 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_69857_1562360_31102025123726_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_69857_31102025123726_iXBRL_WEB.html,3.38 KB,,,,,,
20MICRONS,28-Jul-2025,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2025 and other business matters",Metals,21-Jul-2025 12:35:41,20 Microns Limited,INE144J01019,00:00:01,21-Jul-2025 12:35:42,415.22 KB,https://nsearchives.nseindia.com/corporate/20MICRONS_21072025123516_BseNseIntimationUploadSign.pdf,,,,,,,,,
20MICRONS,22-Jan-2025,Board Meeting Intimation,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 22-Jan-2025 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended December 2024 and Other business.,Metals,13-Jan-2025 10:47:48,20 Microns Limited,INE144J01019,00:00:02,13-Jan-2025 10:47:50,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_43611_1343169_13012025104745_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_43611_13012025104744_iXBRL_WEB.html,,,,,,,
20MICRONS,25-Oct-2024,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 25-Oct-2024 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended September 2024 and Other business.,Board Meeting Intimation,Metals,15-Oct-2024 11:04:57,20 Microns Limited,INE144J01019,00:00:02,15-Oct-2024 11:04:59,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_37465_1269336_15102024110454_WEB.xml,,,,,,,,,
20MICRONS,26-Jul-2024,20 MICRONS LIMITED has informed the Exchange about Board Meeting to be held on 26-Jul-2024 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended June 2024 and Other business.,Board Meeting Intimation,Metals,16-Jul-2024 10:27:25,20 Microns Limited,INE144J01019,00:00:02,16-Jul-2024 10:27:27,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_29726_1186360_16072024102723_WEB.xml,,,,,,,,,
20MICRONS,11-Nov-2022,Outcome of Board Meeting,20 Microns Limited  has informed the Exchange about Board Meeting held on 11-Nov-2022 to consider financial statements for the period ended September 2022,,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,12-Feb-2021,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding  Board meeting held on February 12, 2021.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,10-Aug-2021,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding  Board meeting held on August 10, 2021.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,12-Feb-2020,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding  Board meeting held on February 12, 2020.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
20MICRONS,11-Nov-2020,Outcome of Board Meeting,"20 Microns Limited has informed the Exchange regarding  Board meeting held on November 11, 2020.",,,20 Microns Limited,INE144J01019,,,,,,,,,,,20MICRONS,,announcements
