bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,20 Microns Limited,24-Jul-2025,5,-,INE144J01019,-,-,24-Jul-2025,EQ,Dividend - Rs 1.25 Per Share,20MICRONS
19-Jul-2024,13-Jul-2024,,20 Microns Limited,12-Jul-2024,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting,20MICRONS
-,-,,20 Microns Limited,12-Jul-2024,5,-,INE144J01019,-,-,12-Jul-2024,EQ,Dividend - Rs 1.25 Per Share,20MICRONS
04-Aug-2023,27-Jul-2023,,20 Microns Limited,26-Jul-2023,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting/Dividend - Re 0.75 Per Share,20MICRONS
22-Jul-2022,15-Jul-2022,,20 Microns Limited,13-Jul-2022,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting,20MICRONS
28-Sep-2021,21-Sep-2021,,20 Microns Limited,17-Sep-2021,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting,20MICRONS
25-Sep-2020,18-Sep-2020,,20 Microns Limited,16-Sep-2020,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting,20MICRONS
-,-,,20 Microns Limited,19-Mar-2020,5,-,INE144J01019,-,-,21-Mar-2020,EQ, Interim Dividend - Rs 0.60 Per Share,20MICRONS
13-Aug-2019,06-Aug-2019,,20 Microns Limited,02-Aug-2019,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting,20MICRONS
19-Sep-2018,12-Sep-2018,,20 Microns Limited,10-Sep-2018,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting/Dividend- Re 0.35 Per Share,20MICRONS
-,-,,20 Microns Limited,05-Dec-2017,5,-,INE144J01019,-,-,06-Dec-2017,EQ, Interim Dividend - Re 0.40 Per Share,20MICRONS
22-Sep-2017,15-Sep-2017,,20 Microns Limited,13-Sep-2017,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting,20MICRONS
23-Sep-2016,16-Sep-2016,,20 Microns Limited,14-Sep-2016,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting,20MICRONS
25-Sep-2015,18-Sep-2015,,20 Microns Limited,15-Sep-2015,5,-,INE144J01019,-,-,-,EQ, Annual General Meeting,20MICRONS
27-Sep-2014,20-Sep-2014,,20 Microns Limited,18-Sep-2014,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting,20MICRONS
28-Sep-2013,23-Sep-2013,,20 Microns Limited,19-Sep-2013,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting/Dividend Re 0.50 Per Share,20MICRONS
-,-,,20 Microns Limited,28-Jan-2013,5,-,INE144J01019,-,-,29-Jan-2013,EQ,Face Value Split Rs 10 To Rs 5,20MICRONS
09-Aug-2012,30-Jul-2012,,20 Microns Limited,26-Jul-2012,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting/Dividend Rs 1.80 Per Share,20MICRONS
18-Aug-2011,08-Aug-2011,,20 Microns Limited,04-Aug-2011,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting And Dividend Rs.1.50 Per Share,20MICRONS
26-Aug-2010,16-Aug-2010,,20 Microns Limited,12-Aug-2010,5,-,INE144J01019,-,-,-,EQ,Annual General Meeting And Dividend Re.1/- Per Share,20MICRONS
