an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
21-Aug-2026 08:52:14,3.36 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_21082026084736_Press_Release_21082026_Signed.pdf,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated August 21, 2026, titled ""Glenmark Pharmaceuticals Inc., USA launches Calcium Gluconate Injection USP, 1,000 mg/10 mL (100 mg/mL), 5,000 mg/50 mL (100 mg/mL) Single-Dose Vials and 10,000 mg/100 mL (100 mg/mL) Pharmacy Bulk Package"".",,,Press Release,00:00:01,21082026085214,21-Aug-2026 08:52:15,3.36 MB,True,,,106751869,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-21 08:52:14,GLENMARK
20-Aug-2026 08:52:39,3.33 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_20082026084458_Press_Release_20282026_Signed.pdf,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated August 20, 2026, titled ""Glenmark Pharmaceuticals receives U.S. FDA approval for Fluticasone Propionate Nasal Spray, 0.05 mg (50 mcg)/spray"".",,,Press Release,00:00:01,20082026085239,20-Aug-2026 08:52:40,3.33 MB,True,,,106750455,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-20 08:52:39,GLENMARK
15-Aug-2026 18:37:18,4.41 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_15082026183615_NSE_BSE_Newspaper_Publication_signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,15082026183718,15-Aug-2026 18:37:18,4.41 MB,True,,,106746235,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-15 18:37:18,GLENMARK
13-Aug-2026 21:34:14,375.89 KB,https://nsearchives.nseindia.com/corporate/GLENMARK_13082026213345_SE_LettertoSH_signed.pdf,Letter to shareholders whose email address are not registered providing the Web Link of Integrated Annual Report,,,General Updates,00:00:00,13082026213414,13-Aug-2026 21:34:14,375.89 KB,True,,,106743116,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-13 21:34:14,GLENMARK
13-Aug-2026 19:55:08,631.78 KB,https://nsearchives.nseindia.com/corporate/GLENMARK_13082026195442_SE_AGM2526_signed.pdf,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 11, 2026",,,Shareholders meeting,00:00:02,13082026195508,13-Aug-2026 19:55:10,631.78 KB,True,,,106742925,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-13 19:55:08,GLENMARK
11-Aug-2026 22:33:26,3.17 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_11082026223237_Humana_Intimation_11082026_signed.pdf,"Settlement Agreement - Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosures Requirements) Regulations, 2015",,,General Updates,00:00:00,11082026223326,11-Aug-2026 22:33:26,3.17 MB,True,,,106738001,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-11 22:33:26,GLENMARK
10-Aug-2026 15:00:03,6.07 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_10082026145726_SE_ESOPAllotment_Signed.pdf,Intimation of Allotment of shares under the Employee Stock Option Plan 2016,,,Options to purchase securities,00:00:02,10082026150003,10-Aug-2026 15:00:05,6.07 MB,True,,,106734393,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-10 15:00:03,GLENMARK
07-Aug-2026 14:49:24,3.11 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_07082026144853_SE_Investor_Meet_Signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,07082026144924,07-Aug-2026 14:49:25,3.11 MB,True,,,106731017,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-07 14:49:24,GLENMARK
07-Aug-2026 12:59:37,5.36 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_07082026125803_NSE_BSE_Newspaper_Publication_Signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,07082026125937,07-Aug-2026 12:59:38,5.36 MB,True,,,106730740,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-07 12:59:37,GLENMARK
05-Aug-2026 16:04:37,3.12 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_05082026155153_BSE_NSE_EarningCallsTranscript_Signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,05082026160437,05-Aug-2026 16:04:37,3.12 MB,True,,,106726435,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-05 16:04:37,GLENMARK
03-Aug-2026 16:16:42,254.47 KB,https://nsearchives.nseindia.com/corporate/GLENMARK_03082026161611_BSE_NSE_EARNINGCALL_Recording_signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,03082026161642,03-Aug-2026 16:16:43,254.47 KB,True,,,106722046,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-03 16:16:42,GLENMARK
01-Aug-2026 14:53:50,2.50 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_01082026145340_BSE_NSE_Covering_signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,01082026145350,01-Aug-2026 14:53:51,2.50 MB,True,,,106720740,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-08-01 14:53:50,GLENMARK
31-Jul-2026 19:19:45,3.65 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_31072026191907_SE_Investor_Presentation_31072026_signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange regarding 'Investor Presentation'.,,,Updates,00:00:01,31072026191945,31-Jul-2026 19:19:46,3.65 MB,True,,,106719963,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-07-31 19:19:45,GLENMARK
31-Jul-2026 19:12:50,4.06 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_31072026191156_SE_PR_MDA_signed.pdf,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated July 31, 2026, titled ""Press Release and Management Discussion & Analysis"".",,,Press Release,00:00:02,31072026191250,31-Jul-2026 19:12:52,4.06 MB,True,,,106719937,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-07-31 19:12:50,GLENMARK
31-Jul-2026 19:02:51,3.14 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_31072026190222_BSE_NSE_Materiality_Policy_signed.pdf,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding 'Regulation 30(5) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   List of Officials'.",,,Updates,00:00:01,31072026190251,31-Jul-2026 19:02:52,3.14 MB,True,,,106719907,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-07-31 19:02:51,GLENMARK
31-Jul-2026 18:53:07,6.04 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_31072026185223_BSE_NSE_Results_31072026_signed.pdf,Glenmark Pharmaceuticals Limited has informed the Exchange that Record date for the purpose of Dividend  is 31-Aug-2026.,,,Record Date,00:00:01,31072026185307,31-Jul-2026 18:53:08,6.04 MB,True,,,106719866,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-07-31 18:53:07,GLENMARK
31-Jul-2026 18:42:22,6.04 MB,https://nsearchives.nseindia.com/corporate/GLENMARK_31072026183412_BSE_NSE_Results_31072026_signed.pdf,"Glenmark Pharmaceuticals Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",,,Outcome of Board Meeting,00:00:00,31072026184222,31-Jul-2026 18:42:22,6.04 MB,True,,,106719818,Pharmaceuticals,INE935A01035,Glenmark Pharmaceuticals Limited,2026-07-31 18:42:22,GLENMARK
