broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
15-Jul-2026 18:40:35,Quarterly Financial Results,Audited,Audited,15-Jul-2026 18:40:35,15-Jul-2026 18:40:35,
15-Apr-2026 19:15:46,Quarterly Financial Results,Audited,Audited,15-Apr-2026 19:15:46,15-Apr-2026 19:15:46,
15-Apr-2026 19:01:03,Quarterly Financial Results,Audited,Audited,15-Apr-2026 19:01:03,15-Apr-2026 19:01:03,
13-Jan-2026 17:37:58,Quarterly Financial Results,Audited,Audited,13-Jan-2026 17:37:58,13-Jan-2026 17:37:58,
14-Oct-2025 17:51:31,Quarterly Financial Results,Audited,Audited,14-Oct-2025 17:51:31,14-Oct-2025 17:51:31,
15-Jul-2025 17:47:32,Quarterly Financial Results,Audited,Audited,15-Jul-2025 17:47:32,15-Jul-2025 17:47:32,
15-Apr-2025 19:24:46,Quarterly Financial Results,Audited,Audited,15-Apr-2025 19:24:46,15-Apr-2025 19:24:46,
17-Jan-2025 19:45:29,Quarterly Financial Results,Audited,Audited,17-Jan-2025 19:45:29,17-Jan-2025 19:45:29,
17-Jan-2025 16:57:53,Quarterly Financial Results,Audited,Audited,17-Jan-2025 16:57:53,17-Jan-2025 16:57:53,
10-Dec-2024 18:58:01,Quarterly Financial Results,Audited,Audited,10-Dec-2024 18:58:01,10-Dec-2024 18:58:01,
18-Oct-2024 16:56:39,Quarterly Financial Results,Audited,Audited,18-Oct-2024 16:56:39,18-Oct-2024 16:56:39,
19-Jul-2024 16:55:30,Quarterly Financial Results,Audited,Audited,19-Jul-2024 16:55:30,19-Jul-2024 16:55:30,
19-Jul-2024 16:53:20,Quarterly Financial Results,Audited,Audited,19-Jul-2024 16:53:20,19-Jul-2024 16:53:20,
17-Apr-2024 18:13:31,Quarterly Financial Results,Audited,Audited,17-Apr-2024 18:13:31,17-Apr-2024 18:13:31,
17-Apr-2024 18:10:07,Quarterly Financial Results,Audited,Audited,17-Apr-2024 18:10:07,17-Apr-2024 18:10:07,
