Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,14,14,14,7,14,14,14,14,14,20,20
Reserves,189,212,231,230,234,246,208,177,115,132,118
Borrowings,170,164,200,206,134,156,159,292,274,217,200
  └─ Long term Borrowings,,,,,,35,15,0,3,1,8
  └─ Short term Borrowings,,,,,,106,124,277,270,214,191
  └─ Other Borrowings,170,164,200,206,134,15,20,15,1,1,2
Other Liabilities,224,267,282,210,349,477,397,240,267,297,251
  └─ Non controlling int,2,2,2,0,0,0,0,0,0,0,0
  └─ Trade Payables,123,133,159,101,235,374,312,195,214,252,204
  └─ Advance from Customers,6,5,5,4,6,4,5,3,5,2,1
  └─ Other liability items,94,126,117,104,108,99,80,42,48,44,46
Total Liabilities,597,656,727,652,730,893,777,723,670,666,589
Fixed Assets,221,218,201,191,221,212,171,159,166,139,124
  └─ Land,14,19,19,25,25,25,25,25,26,24,24
  └─ Building,94,96,96,96,106,107,108,106,114,110,107
  └─ Plant Machinery,229,239,244,245,286,296,264,260,272,272,244
  └─ Equipments,0,0,0,0,0,5,5,15,15,15,15
  └─ Furniture n fittings,13,14,13,13,13,9,9,8,8,8,7
  └─ Vehicles,3,3,3,3,2,3,4,4,4,3,3
  └─ Other fixed assets,0,0,0,1,1,1,1,1,1,1,1
  └─ Gross Block,353,371,376,383,434,447,416,419,440,434,400
  └─ Accumulated Depreciation,132,153,175,192,213,234,246,260,275,294,276
CWIP,0,0,2,26,1,2,3,14,0,0,0
Investments,1,1,1,1,14,0,0,0,0,0,0
Other Assets,375,437,523,435,494,679,604,549,504,526,465
  └─ Inventories,178,235,298,216,253,352,312,255,238,285,242
  └─ Trade receivables,115,108,136,112,94,170,132,136,128,127,132
    └─ Receivables over 6m,15,5,8,10,10,7,8,13,15,18,34
    └─ Receivables under 6m,107,107,135,110,93,169,131,130,124,120,111
    └─ Prov for Doubtful,-7,-5,-7,-8,-8,-6,-6,-7,-10,-12,-12
  └─ Cash Equivalents,37,17,21,10,34,54,31,33,28,19,18
  └─ Loans n Advances,3,2,7,15,14,2,2,29,25,17,3
  └─ Other asset items,42,75,61,81,99,102,126,96,85,79,70
Total Assets,597,656,727,652,730,893,777,723,670,666,589
