Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,18.82,18.82,28.74,28.74,28.74,28.74,28.74,28.74,28.74,15.50,15.50,15.50,
Reserves,194.96,161.04,98.43,89.07,-92.27,216.27,232.01,229.75,227.33,232.05,288.10,295.90,
Borrowings,949.79,1044.43,983.30,1038.38,1074.55,337.68,337.70,337.70,337.70,333.98,338.76,354.03,
  └─ Long term Borrowings,423,454,425,163,0,0,0,0,0,39,34,48,
  └─ Short term Borrowings,454,478,482,513,583,51,51,338,338,295,305,306,
  └─ Other Borrowings,73,112,76,362,491,287,287,0,0,0,0,,
Other Liabilities,187.09,245.90,315.86,318.74,341.77,80.59,88.36,84.18,144.86,68.84,81.27,101.77,
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Trade Payables,98,152,104,94,129,14,15,11,10,12,15,21,
  └─ Advance from Customers,0,0,0,4,28,0,0,0,73,8,9,,
  └─ Other liability items,90,93,212,220,185,67,73,73,62,49,58,80,
Total Liabilities,1350.66,1470.19,1426.33,1474.93,1352.79,663.28,686.81,680.37,738.63,650.37,723.63,767.20,
Fixed Assets,79.08,66.75,72.14,62.34,33.59,27.70,22.66,14.97,12.20,9.30,7.50,6.06,
  └─ Land,3.97,3.97,3.97,3.97,3.97,3.97,3.97,0.25,0.25,0.25,0.25,,
  └─ Building,2.73,2.73,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,,
  └─ Plant Machinery,107.19,108.45,45.90,44.46,46.91,46.92,46.95,42.48,41.88,40.37,40.39,,
  └─ Equipments,31.14,31.18,0.41,0.45,0.47,0.48,0.49,0.60,0.60,0.62,0.63,,
  └─ Computers,1.76,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Furniture n fittings,1.59,1.59,0.69,0.69,0.69,0.69,0.69,0.72,0.72,0.72,0.72,,
  └─ Vehicles,8.83,8.45,2.85,2.85,3.03,3.20,3.20,3.09,2.86,2.80,2.80,,
  └─ Intangible Assets,0.06,0.06,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,
  └─ Other fixed assets,0.85,0.85,27.41,27.34,0.02,0.02,0.14,0.33,0.33,0.33,0.33,,
  └─ Gross Block,158.12,159.07,83.88,82.41,57.74,57.93,58.09,50.12,49.29,47.74,47.77,,
  └─ Accumulated Depreciation,79.04,92.32,11.74,20.07,24.15,30.23,35.43,35.15,37.09,38.44,40.27,,
CWIP,208.33,272.78,372.71,429.28,420.43,420.43,420.02,420.55,422.35,422.35,422.35,422.35,
Investments,1.35,1.35,4.00,4.83,15.51,15.38,14.89,14.67,13.46,4.57,4.42,4.48,
Other Assets,1061.90,1129.31,977.48,978.48,883.26,199.77,229.24,230.18,290.62,214.15,289.36,334.31,
  └─ Inventories,246,245,236,239,86,18,27,21,24,30,25,42,
  └─ Trade receivables,232,261,212,183,179,41,28,26,26,26,45,63,
    └─ Receivables over 6m,147.12,183.02,0.00,0.00,0.00,0.00,0.00,24.27,20.44,21.25,31.12,,47.04
    └─ Receivables under 6m,84.91,78.06,212.26,182.66,179.04,40.79,27.69,1.91,5.18,16.72,30.64,,227.23
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.02,-16.98,,0.00
  └─ Cash Equivalents,34,42,38,16,12,7,51,36,34,8,8,5,
  └─ Loans n Advances,2,2,90,83,65,31,25,29,98,15,12,83,
  └─ Other asset items,548,579,401,458,540,102,98,118,109,135,200,140,
Total Assets,1350.66,1470.19,1426.33,1474.93,1352.79,663.28,686.81,680.37,738.63,650.37,723.63,767.20,
