Metric,Mar 2009,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,6,6,6,18,18,20,20,20,20,20,20,20
Reserves,18,11,9,18,23,24,30,34,48,48,22,21
Borrowings,1,1,0,14,8,22,12,17,13,18,13,13
  └─ Long term Borrowings,,,,2.36,0.44,3.12,2.33,8.28,3.69,1.65,4.43,4.43
  └─ Short term Borrowings,,,,8.26,7.28,18.12,8.45,7.93,8.07,15.87,8.06,8.63
  └─ Preference Capital,0.00,0.00,0.00,3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.92,0.54,0.32,0.29,0.30,1.00,1.08,0.68,0.79,0.35,0.12,
Other Liabilities,18,18,13,16,42,43,88,58,61,56,63,64
  └─ Non controlling int,12.64,9.67,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,1.84,1.28,1.34,4.27,15.04,18.23,64.58,35.44,42.08,35.53,41.82,41.84
  └─ Advance from Customers,0.27,0.37,1.38,1.06,0.24,0.09,0.07,0.00,0.00,0.00,0.00,
  └─ Other liability items,2.95,6.65,1.29,11.08,26.77,24.71,23.74,22.60,18.92,20.50,20.84,22.34
Total Liabilities,43,35,29,65,91,109,150,129,141,142,117,118
Fixed Assets,10,9,9,5,14,15,18,12,8,3,3,28
  └─ Equipments,1.54,1.47,0.49,1.43,0.48,1.81,1.31,1.74,0.00,1.75,1.75,
  └─ Computers,9.04,10.14,11.09,6.23,16.19,21.66,8.47,7.77,0.00,6.71,6.71,
  └─ Furniture n fittings,2.55,2.25,2.21,2.03,2.97,3.09,3.09,3.09,0.00,2.85,2.85,
  └─ Vehicles,1.08,1.21,0.95,2.44,2.70,2.70,2.68,3.40,0.00,3.40,3.40,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.45
  └─ Other fixed assets,0.06,0.06,1.69,-0.01,0.00,-0.01,22.74,22.74,7.77,23.38,23.38,
  └─ Gross Block,14.27,15.13,16.43,12.12,22.34,29.25,38.29,38.74,7.77,38.09,38.09,
  └─ Accumulated Depreciation,4.41,5.98,7.00,7.52,8.54,14.33,20.19,26.96,0.00,35.10,35.55,
CWIP,0,0,0,10,8,9,2,15,26,26,26,0
Investments,17,0,0,7,7,7,7,7,0,0,0,0
Other Assets,16,26,19,44,62,78,123,96,107,113,88,90
  └─ Inventories,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade receivables,6,9,8,24,38,58,106,73,84,90,63,62
  └─ Cash Equivalents,3,12,3,2,4,3,3,3,3,3,4,7
  └─ Loans n Advances,0,0,0,4,11,13,7,2,1,2,2,0
  └─ Other asset items,7,5,8,13,10,4,6,18,19,18,19,20
Total Assets,43,35,29,65,91,109,150,129,141,142,117,118
