Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,24.28,24.28,24.28,27.98,27.98
Reserves,12.68,12.64,11.79,14.26,2.32
Borrowings,2.85,3.24,3.59,4.40,4.86
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,4.86
  └─ Other Borrowings,2.85,3.24,3.59,4.40,
Other Liabilities,0.94,1.22,1.56,1.96,2.20
  └─ Trade Payables,0.12,0.12,0.13,0.14,0.19
  └─ Other liability items,0.82,1.10,1.43,1.82,2.01
Total Liabilities,40.75,41.38,41.22,48.60,37.36
Fixed Assets,0.00,0.00,0.00,0.00,0.00
CWIP,0.00,0.00,0.00,0.00,0.00
Investments,40.74,41.35,41.21,48.53,37.28
Other Assets,0.01,0.03,0.01,0.07,0.08
  └─ Cash Equivalents,0.00,0.02,0.01,0.05,0.04
  └─ Other asset items,0.01,0.01,0.00,0.02,0.04
Total Assets,40.75,41.38,41.22,48.60,37.36
