Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,37,47,49,52,66,75,85,110,110,110
Reserves,600,838,1101,1397,1420,1507,1543,2291,2433,2753
Borrowing,3889,5161,5271,5542,6181,5744,5911,7910,8791,10991
Other Liabilities,251,253,321,309,377,330,310,174,253,532
  └─ Non controlling int,2,2,0,0,0,0,0,0,0,4
  └─ Trade Payables,15,17,2,9,11,13,5,4,4,7
  └─ Other liability items,234,234,319,300,366,317,305,170,249,521
Total Liabilities,4778,6299,6741,7300,8045,7655,7850,10485,11587,14387
Fixed Assets,73,75,81,94,131,126,129,133,137,159
  └─ Land,15.18,15.18,15.18,15.18,15.18,15.18,15.18,15.18,15.18,
  └─ Building,6.92,6.92,15.87,15.87,39.32,62.57,68.13,76.31,80.95,
  └─ Plant Machinery,9.08,18.00,21.61,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,5.05,6.13,5.97,7.44,8.49,8.00,8.48,9.28,11.06,
  └─ Computers,0.00,0.00,0.00,29.27,33.71,30.23,33.42,34.76,40.33,
  └─ Furniture n fittings,9.86,12.30,13.18,15.41,27.89,26.69,27.22,28.42,30.59,
  └─ Vehicles,1.34,2.03,2.00,2.19,2.41,2.78,3.93,4.08,4.18,
  └─ Intangible Assets,33.71,33.71,33.71,33.71,33.71,33.71,33.71,33.71,33.71,42.63
  └─ Other fixed assets,6.48,10.04,10.40,28.87,36.72,20.61,20.19,17.96,17.71,
  └─ Gross Block,87.62,104.31,117.92,147.94,197.43,199.77,210.26,219.70,233.71,
  └─ Accumulated Depreciation,14.88,29.34,37.29,53.99,66.16,73.96,81.30,87.07,96.91,
CWIP,12,16,16,34,4,0,0,0,0,7
Investments,21,72,264,246,1,49,62,51,55,151
Other Assets,4672,6136,6380,6926,7909,7481,7659,10301,11395,14069
  └─ Trade receivables,6,12,12,12,19,3,5,8,2,8
  └─ Cash Equivalents,1130,1134,1758,1881,1958,2002,1114,1271,1375,2251
  └─ Loans n Advances,16,9,26,53,13,19,63,46,69,11398
  └─ Other asset items,3520,4982,4583,4980,5919,5457,6476,8975,9949,412
Total Assets,4778,6299,6741,7300,8045,7655,7850,10485,11587,14387
