Metric,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Equity Capital,4.79,4.79,4.79,4.79
Reserves,1.96,4.36,4.91,9.43
Borrowings,0.00,0.57,0.50,7.89
  └─ Long term Borrowings,0.00,0.57,0.50,3.08
  └─ Short term Borrowings,0.00,0.00,0.00,4.81
Other Liabilities,5.16,13.01,9.77,10.86
  └─ Non controlling int,0.00,4.72,4.55,0.00
  └─ Trade Payables,2.04,6.90,3.56,5.01
  └─ Advance from Customers,3.03,1.22,1.35,
  └─ Other liability items,0.09,0.17,0.31,5.85
Total Liabilities,11.91,22.73,19.97,32.97
Fixed Assets,3.33,3.08,2.64,3.02
  └─ Land,0.00,0.00,0.09,
  └─ Building,0.00,0.00,0.03,
  └─ Plant Machinery,0.05,0.05,0.55,
  └─ Equipments,0.04,0.09,0.09,
  └─ Computers,3.59,6.08,6.08,
  └─ Furniture n fittings,0.09,0.12,0.12,
  └─ Vehicles,0.00,0.07,0.07,
  └─ Other fixed assets,0.00,0.01,0.08,
  └─ Gross Block,3.77,6.42,7.11,
  └─ Accumulated Depreciation,0.44,3.33,4.47,
CWIP,2.01,2.01,2.01,2.01
Investments,0.00,0.00,0.00,3.25
Other Assets,6.57,17.64,15.32,24.69
  └─ Inventories,0.80,3.54,4.96,5.51
  └─ Trade receivables,1.01,3.56,0.77,0.84
  └─ Cash Equivalents,0.64,0.10,0.14,0.37
  └─ Loans n Advances,0.02,7.07,6.65,16.69
  └─ Other asset items,4.10,3.37,2.80,1.28
Total Assets,11.91,22.73,19.97,32.97
