Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,31,31,31,31,31,31
Reserves,1745,2110,2398,2706,2973,3384,3891,4340,4915,5465,6055
Borrowings,51,1,1,1,8,7,9,14,18,20,19
  └─ Long term Borrowings,25.75,0.38,0.55,0.38,0.34,0.31,0.28,0.25,0.81,0.80,0.79
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.07,0.07,0.07
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,7.56,6.36,8.48,13.33,17.18,19.12,18.28
  └─ Other Borrowings,25.46,0.86,0.29,0.17,0.04,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,272,297,354,417,395,464,563,596,671,771,885
  └─ Trade Payables,90,188,177,208,159,176,190,209,234,242,222
  └─ Advance from Customers,0,8,8,8,22,28,41,40,29,45,
  └─ Other liability items,182,101,169,200,214,260,332,347,408,485,663
Total Liabilities,2099,2440,2784,3154,3407,3886,4494,4980,5635,6287,6990
Fixed Assets,432,415,409,404,387,394,380,435,444,583,850
  └─ Land,29.18,29.18,45.26,50.36,51.59,51.67,51.93,51.93,61.56,63.85,
  └─ Building,167.34,167.47,167.97,169.46,169.62,191.79,191.86,202.61,202.61,263.98,
  └─ Plant Machinery,277.61,307.05,322.00,348.17,357.24,380.57,390.32,466.08,497.84,558.39,
  └─ Equipments,2.06,2.15,2.94,3.33,3.39,3.46,3.52,4.30,4.26,4.90,
  └─ Computers,2.96,2.35,2.51,2.91,3.17,3.73,4.32,7.66,6.88,7.88,
  └─ Furniture n fittings,2.21,2.29,2.30,2.39,2.66,2.75,3.44,3.53,3.66,3.96,
  └─ Vehicles,4.91,4.84,5.04,3.99,3.90,3.54,2.17,1.28,0.56,0.57,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67
  └─ Other fixed assets,0.47,1.51,1.51,1.51,11.27,11.78,14.87,24.53,31.93,37.42,
  └─ Gross Block,486.74,516.84,549.53,582.12,602.84,649.29,662.43,761.92,809.30,940.95,
  └─ Accumulated Depreciation,54.55,101.97,140.54,177.91,216.31,254.86,282.25,326.97,364.80,357.53,
CWIP,3,8,5,10,27,26,87,21,168,210,105
Investments,881,1159,1523,1767,1121,1571,2014,2610,3584,3986,4195
Other Assets,783,857,847,973,1872,1894,2013,1915,1439,1507,1840
  └─ Inventories,329,462,499,587,593,755,653,675,576,717,1023
  └─ Trade receivables,126,124,175,211,187,177,177,218,177,243,370
    └─ Receivables over 6m,6,0,0,0,0,0,70,42,41,38,
    └─ Receivables under 6m,122,128,180,221,203,193,149,217,180,243,
    └─ Prov for Doubtful,-3,-3,-5,-10,-16,-16,-42,-41,-44,-39,
  └─ Cash Equivalents,219,176,104,49,934,54,38,73,98,145,168
  └─ Loans n Advances,0,1,0,1,1,-0,-1,-1,2,-1,142
  └─ Other asset items,109,94,69,125,157,909,1145,949,586,402,136
Total Assets,2099,2440,2784,3154,3407,3886,4494,4980,5635,6287,6990
