Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,368.63,368.63,36.86,36.86,91.46,91.46,91.46,91.46,91.46,91.46,91.46,186.46,186.46
Reserves,-329.95,-336.08,-12.38,-24.21,-42.97,-66.37,-66.08,-68.18,-69.54,-70.57,-70.99,-72.79,-73.05
Borrowings,33.03,47.33,68.52,74.27,17.38,16.61,15.63,15.34,15.91,15.59,19.65,20.26,20.70
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,33.03,47.33,68.52,74.27,17.38,14.82,15.15,15.00,15.72,15.57,15.54,16.21,16.68
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.34,0.18,0.02,4.10,4.05,4.02
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.01,0.00,
Other Liabilities,33.83,34.29,25.99,28.70,28.94,39.30,29.80,30.16,30.39,31.96,31.01,32.55,33.17
  └─ Trade Payables,13.86,13.94,2.52,3.07,2.81,13.31,1.52,1.47,1.02,1.91,2.95,3.98,4.13
  └─ Other liability items,19.97,20.35,23.47,25.63,26.13,25.99,28.28,28.69,29.37,30.05,28.06,28.57,29.04
Total Liabilities,105.54,114.17,118.99,115.62,94.81,81.00,70.81,68.78,68.22,68.44,71.13,166.48,167.28
Fixed Assets,11.54,9.37,10.55,9.83,9.30,8.81,9.08,8.54,8.00,8.24,8.09,7.07,6.99
  └─ Land,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.92,5.92,5.92,
  └─ Building,2.32,2.32,2.32,2.32,2.32,1.82,2.43,2.28,2.13,1.98,1.98,1.91,
  └─ Plant Machinery,1.95,1.95,3.98,3.98,3.98,2.00,2.02,2.10,2.10,2.10,2.10,0.00,
  └─ Equipments,1.93,1.93,2.00,2.00,2.00,0.13,0.13,0.13,0.25,0.25,0.28,0.00,
  └─ Computers,0.00,0.00,0.10,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.00,
  └─ Furniture n fittings,1.57,1.57,1.79,1.79,1.79,0.15,0.15,0.15,0.08,0.08,0.08,0.00,
  └─ Vehicles,1.10,1.10,1.10,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Intangible Assets,4.04,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,
  └─ Gross Block,18.03,18.03,16.40,16.41,16.41,9.31,9.95,9.88,9.76,10.42,10.44,7.84,
  └─ Accumulated Depreciation,6.49,8.66,5.86,6.58,7.11,0.50,0.88,1.34,1.76,2.18,2.35,0.77,
CWIP,0.00,9.27,9.27,9.27,9.27,9.27,9.27,9.27,9.27,9.27,9.27,9.27,9.27
Investments,0.17,0.17,0.17,0.17,0.00,0.18,0.06,0.15,0.31,0.22,0.40,0.33,34.73
Other Assets,93.83,95.36,99.00,96.35,76.24,62.74,52.40,50.82,50.64,50.71,53.37,149.81,116.29
  └─ Inventories,57,57,57,57,35,45,35,35,35,35,35,35,35
  └─ Trade receivables,6,5,5,5,5,1,0,0,0,0,0,3,4
  └─ Cash Equivalents,0,0,1,0,0,0,0,0,0,0,0,0,0
  └─ Loans n Advances,-0,2,5,1,0,3,3,2,2,2,3,3,0
  └─ Other asset items,31,31,31,33,36,13,14,14,14,14,15,109,77
Total Assets,105.54,114.17,118.99,115.62,94.81,81.00,70.81,68.78,68.22,68.44,71.13,166.48,167.28
