Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,25,25
Reserves,26,55,86
Borrowings,6,26,54
  └─ Long term Borrowings,0.70,16.20,36.08
  └─ Short term Borrowings,5.11,10.24,17.53
  └─ Other Borrowings,-0.00,-0.01,
Other Liabilities,20,50,45
  └─ Non controlling int,0.00,2.27,1.53
  └─ Trade Payables,11.83,12.90,29.40
  └─ Advance from Customers,0.00,22.88,
  └─ Other liability items,8.50,11.70,14.08
Total Liabilities,67,156,210
Fixed Assets,10,18,22
  └─ Land,0.64,0.69,
  └─ Building,2.03,2.27,
  └─ Plant Machinery,15.16,23.26,
  └─ Equipments,0.16,0.27,
  └─ Computers,0.25,0.34,
  └─ Furniture n fittings,1.58,1.84,
  └─ Vehicles,0.58,1.93,
  └─ Intangible Assets,0.02,0.00,0.04
  └─ Other fixed assets,0.18,0.00,
  └─ Gross Block,20.60,30.60,
  └─ Accumulated Depreciation,10.54,12.86,
CWIP,0,1,3
Investments,0,0,0
Other Assets,57,137,184
  └─ Inventories,11,19,34
  └─ Trade receivables,38,108,137
    └─ Receivables over 6m,38,37,
    └─ Receivables under 6m,0,71,
  └─ Cash Equivalents,1,0,1
  └─ Loans n Advances,1,2,3
  └─ Other asset items,6,6,10
Total Assets,67,156,210
