Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,281,380
Reserves,-241,-216,-196,579
Borrowings,982,1001,759,308
  └─ Long term Borrowings,501,549,493,98
  └─ Short term Borrowings,131,52,124,43
  └─ Lease Liabilities,68,118,140,167
  └─ Preference Capital,282,282,2,0
Other Liabilities,99,100,103,115
  └─ Non controlling int,6,12,15,22
  └─ Trade Payables,31,27,38,43
  └─ Advance from Customers,5,5,6,
  └─ Other liability items,56,56,43,51
Total Liabilities,841,887,948,1382
Fixed Assets,628,652,732,906
  └─ Land,95.36,155.36,174.01,
  └─ Building,633.13,632.64,696.82,
  └─ Plant Machinery,120.23,120.01,129.10,
  └─ Equipments,63.86,64.64,74.00,
  └─ Computers,13.92,14.17,16.20,
  └─ Furniture n fittings,223.65,225.33,246.21,
  └─ Vehicles,1.96,1.96,1.99,
  └─ Intangible Assets,0.00,0.00,0.00,1.76
  └─ Other fixed assets,9.40,9.40,10.83,
  └─ Gross Block,1161.51,1223.51,1349.16,
  └─ Accumulated Depreciation,533.45,571.81,617.66,
CWIP,29,72,20,96
Investments,0,0,0,0
Other Assets,183,163,196,381
  └─ Inventories,4,6,7,7
  └─ Trade receivables,21,22,23,24
    └─ Receivables over 6m,3.84,3.18,2.81,
    └─ Receivables under 6m,18.14,19.28,20.75,
    └─ Prov for Doubtful,-1.29,-0.70,-0.55,
  └─ Cash Equivalents,31,20,22,251
  └─ Loans n Advances,7,8,20,17
  └─ Other asset items,120,108,124,82
Total Assets,841,887,948,1382
