Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,131,131,131,131,131,131,132,132,132,132,132,132,132
Reserves,405,150,175,211,253,410,547,601,621,815,1042,1189,1236
Borrowings,947,0,0,0,0,12,45,254,357,364,174,121,77
  └─ Long term Borrowings,701.68,0.00,0.00,0.00,0.25,0.18,31.97,159.17,204.61,93.35,82.12,47.64,31.90
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,11.76,0.00,94.52,152.73,270.84,91.95,72.94,45.00
  └─ Other Borrowings,245.14,0.00,0.00,0.00,0.07,0.07,12.89,0.00,0.00,0.01,0.01,0.00,
Other Liabilities,179,154,186,183,160,182,311,198,417,539,603,521,642
  └─ Trade Payables,19,15,9,18,18,16,66,32,38,117,157,143,58
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,160,139,177,165,142,166,245,166,379,422,446,377,585
Total Liabilities,1662,435,491,525,544,734,1036,1185,1527,1850,1951,1962,2087
Fixed Assets,1058,80,68,232,281,384,357,335,510,1246,1247,1191,1479
  └─ Land,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,
  └─ Building,10.62,10.66,10.66,7.83,7.83,1.90,1.90,1.90,4.72,4.72,4.58,3.76,
  └─ Plant Machinery,0.19,0.19,0.20,0.20,0.20,18.94,18.94,18.94,18.94,19.02,24.66,24.69,
  └─ Ships Vessels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199.15,198.86,201.28,201.28,
  └─ Equipments,0.96,1.01,1.03,1.04,1.09,2.12,2.15,2.15,2.16,2.16,2.75,2.80,
  └─ Computers,0.82,0.87,0.96,1.10,1.13,2.36,2.41,2.46,2.47,2.57,3.03,3.35,
  └─ Furniture n fittings,0.64,0.65,0.65,0.66,0.66,1.00,1.04,1.04,1.04,1.04,1.13,1.16,
  └─ Vehicles,0.46,0.46,0.26,0.13,0.49,0.68,0.68,0.68,0.68,0.68,0.68,0.68,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.57
  └─ Other fixed assets,1051.55,74.12,62.51,230.11,279.22,381.57,357.63,337.99,320.24,1100.15,1141.00,1125.76,
  └─ Gross Block,1067.63,90.35,78.66,243.46,293.01,410.96,387.14,367.55,551.79,1331.59,1381.50,1365.87,
  └─ Accumulated Depreciation,9.65,10.32,10.64,11.64,12.42,27.08,29.83,32.15,41.33,85.15,134.89,175.21,
CWIP,337,118,130,6,6,26,327,535,782,32,38,48,60
Investments,31,28,74,160,51,137,118,65,19,133,0,0,0
Other Assets,236,210,219,127,207,187,233,251,216,439,666,723,547
  └─ Inventories,40,26,24,25,28,28,27,36,8,81,42,210,25
  └─ Trade receivables,9,5,4,5,16,41,36,31,16,117,314,121,295
  └─ Cash Equivalents,13,8,53,34,92,35,86,72,65,78,68,136,76
  └─ Loans n Advances,1,83,0,10,9,10,11,7,1,1,2,1,102
  └─ Other asset items,174,87,137,53,61,73,73,105,126,162,239,256,51
Total Assets,1662,435,491,525,544,734,1036,1185,1527,1850,1951,1962,2087
