Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Sep 2018
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,22,38,39,52,55,38,22,19,16,19,27,39,11
Borrowings,43,40,5,39,33,58,62,20,79,85,45,232,269
  └─ Long term Borrowings,,,,,0,0,0,0,0,0,0,0,7
  └─ Short term Borrowings,,,,,25,50,54,10,69,75,35,222,262
  └─ Preference Capital,0,0,0,0,8,8,8,10,10,10,10,10,0
  └─ Other Borrowings,43,40,5,39,0,0,0,0,0,0,0,0,
Other Liabilities,83,125,92,163,118,135,110,168,128,145,209,258,209
  └─ Trade Payables,44,64,78,148,110,22,7,6,11,11,21,35,39
  └─ Advance from Customers,0,0,0,0,1,106,78,152,99,108,168,191,
  └─ Other liability items,39,60,14,15,7,7,24,9,18,26,20,32,171
Total Liabilities,154,209,142,260,212,237,200,212,228,255,286,535,495
Fixed Assets,24,33,36,36,42,37,28,21,8,7,7,6,6
  └─ Land,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,
  └─ Equipments,3.89,5.36,6.39,6.77,18.44,17.34,7.43,16.53,16.45,15.95,13.08,3.20,
  └─ Computers,8.64,12.65,15.36,17.13,21.01,21.52,21.36,21.17,21.02,18.61,12.20,11.94,
  └─ Furniture n fittings,6.44,8.33,8.99,8.75,11.34,11.59,9.95,7.95,7.88,7.01,4.37,3.70,
  └─ Vehicles,0.19,0.12,0.12,0.23,0.21,0.22,0.22,0.12,0.34,0.39,0.45,0.37,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83
  └─ Other fixed assets,16.07,21.66,24.86,28.29,21.53,22.53,32.31,23.21,23.42,24.11,26.37,26.71,
  └─ Gross Block,35.38,48.27,55.87,61.32,72.68,73.35,71.42,69.13,69.26,66.22,56.62,46.07,
  └─ Accumulated Depreciation,11.00,14.79,19.70,25.49,30.31,36.84,43.34,47.95,61.28,59.23,49.42,40.16,
CWIP,0,0,0,1,0,0,0,0,0,0,0,1,0
Investments,0,0,0,0,10,0,0,0,0,0,0,24,0
Other Assets,129,175,105,222,159,200,172,190,220,248,278,504,488
  └─ Inventories,0,0,0,0,0,0,0,0,0,0,0,116,75
  └─ Trade receivables,53,57,28,74,37,70,52,89,92,135,148,134,134
    └─ Receivables over 6m,2,3,7,5,4,5,9,8,9,12,10,10,
    └─ Receivables under 6m,51,54,22,70,35,68,45,83,85,127,144,131,
    └─ Prov for Doubtful,-0,-0,-0,-0,-2,-3,-3,-2,-3,-4,-6,-8,
  └─ Cash Equivalents,46,98,50,91,70,86,88,49,89,72,88,207,241
  └─ Loans n Advances,15,5,6,1,3,-1,-3,-1,-2,-3,-1,5,20
  └─ Other asset items,15,15,22,56,49,46,35,54,41,44,44,43,17
Total Assets,154,209,142,260,212,237,200,212,228,255,286,535,495
