Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,25,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,50,57,72,83,91,88,82,58,31,-30,-119,-304,-369
Borrowings,247,228,225,220,381,501,521,510,380,517,525,515,522
  └─ Long term Borrowings,119,42,84,89,242,308,364,329,232,229,156,60,52
  └─ Short term Borrowings,73,77,87,88,103,127,117,125,95,288,369,455,470
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Preference Capital,25,25,25,25,25,0,24,15,0,15,0,0,0
  └─ Other Borrowings,30,84,29,17,11,66,16,41,53,-15,0,0,
Other Liabilities,55,88,88,98,117,124,105,129,248,145,195,267,284
  └─ Trade Payables,33,45,38,38,57,78,62,92,89,84,77,80,70
  └─ Advance from Customers,0,1,2,2,0,2,2,2,119,2,2,2,
  └─ Other liability items,22,41,49,58,60,44,41,35,40,59,116,185,214
Total Liabilities,377,398,411,426,614,739,733,723,685,657,627,504,463
Fixed Assets,209,234,222,217,296,512,499,477,455,432,410,388,377
  └─ Land,26.82,66.48,66.48,66.48,70.80,70.97,71.59,71.59,71.59,71.59,71.59,71.59,
  └─ Building,84.99,82.51,82.51,82.51,108.17,132.47,135.03,135.03,135.03,135.03,135.05,135.05,
  └─ Plant Machinery,205.84,198.03,201.32,204.02,245.39,321.50,327.77,328.17,328.39,328.97,329.08,329.09,
  └─ Equipments,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.86,0.87,
  └─ Computers,3.28,3.19,3.39,3.47,3.53,0.15,0.17,0.39,0.43,0.45,0.50,0.57,
  └─ Furniture n fittings,2.25,2.03,2.11,2.09,2.17,1.73,1.80,1.86,1.88,1.10,1.13,1.13,
  └─ Vehicles,0.49,0.27,0.25,1.34,2.88,2.42,2.42,2.42,2.42,2.42,2.42,2.42,
  └─ Intangible Assets,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62
  └─ Other fixed assets,5.67,6.39,6.59,7.11,7.48,2.17,2.45,2.67,3.90,3.87,3.91,2.91,
  └─ Gross Block,329.67,358.90,362.65,367.02,440.42,531.41,541.23,542.13,543.64,544.24,544.54,543.63,
  └─ Accumulated Depreciation,120.34,124.78,140.54,150.08,144.89,19.23,42.06,65.05,88.77,111.89,134.78,156.11,
CWIP,3,2,9,15,70,3,0,0,0,0,0,0,0
Investments,0,8,8,8,8,5,5,5,1,1,0,0,0
Other Assets,165,154,172,186,240,218,229,240,229,224,217,116,86
  └─ Inventories,56,68,74,79,86,99,104,105,85,64,66,33,22
  └─ Trade receivables,43,58,61,64,71,60,54,41,35,35,21,5,4
  └─ Cash Equivalents,1,1,1,1,8,1,6,10,2,7,18,4,2
  └─ Loans n Advances,38,0,0,0,0,0,0,0,0,0,0,-33,0
  └─ Other asset items,26,27,36,42,75,57,65,85,106,118,111,107,57
Total Assets,377,398,411,426,614,739,733,723,685,657,627,504,463
