Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7.00,7.00,7.00,7.00,8.48,8.48,8.48
Reserves,5.30,7.73,12.02,18.40,57.27,61.36,65.27
Borrowings,12.90,11.95,14.10,21.77,20.29,33.58,32.92
  └─ Long term Borrowings,6.76,6.10,5.45,10.28,6.13,9.23,10.71
  └─ Short term Borrowings,6.14,5.84,8.65,11.49,14.16,24.35,22.21
  └─ Other Borrowings,0.00,0.01,0.00,0.00,0.00,0.00,
Other Liabilities,8.06,10.92,9.68,8.33,5.94,10.37,14.32
  └─ Trade Payables,4.08,4.20,4.15,2.46,2.11,5.85,10.19
  └─ Advance from Customers,0.16,0.01,0.03,0.10,0.08,0.09,
  └─ Other liability items,3.82,6.71,5.50,5.77,3.75,4.43,4.13
Total Liabilities,33.26,37.60,42.80,55.50,91.98,113.79,120.99
Fixed Assets,11.97,11.63,12.64,8.98,11.11,16.78,26.19
  └─ Building,0.00,0.00,0.00,0.00,0.00,5.58,
  └─ Plant Machinery,13.33,13.66,15.16,15.16,20.17,21.49,
  └─ Equipments,0.29,0.34,0.41,0.52,0.56,0.71,
  └─ Computers,2.90,5.08,8.23,9.03,9.73,10.14,
  └─ Furniture n fittings,0.41,0.57,0.57,0.57,0.53,0.54,
  └─ Vehicles,0.66,0.66,0.66,0.66,0.66,2.13,
  └─ Intangible Assets,0.00,0.00,0.16,0.16,0.16,0.16,0.00
  └─ Other fixed assets,0.00,-0.01,0.00,0.00,0.01,-0.01,
  └─ Gross Block,17.59,20.30,25.19,26.10,31.82,40.74,
  └─ Accumulated Depreciation,5.62,8.67,12.55,17.12,20.71,23.96,
CWIP,0.33,0.45,1.08,3.84,4.16,6.72,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,20.96,25.52,29.08,42.68,76.71,90.29,94.80
  └─ Inventories,1.51,2.09,5.84,5.15,5.18,5.27,2.60
  └─ Trade receivables,13.46,9.67,10.81,20.75,16.33,19.00,23.26
    └─ Receivables over 6m,2.58,1.97,0.00,2.54,9.61,7.66,
    └─ Receivables under 6m,10.89,7.70,10.81,18.21,6.73,11.34,
  └─ Cash Equivalents,2.89,0.78,1.53,2.71,4.16,3.00,3.58
  └─ Loans n Advances,0.33,0.26,1.34,2.66,7.35,9.03,33.71
  └─ Other asset items,2.77,12.72,9.56,11.41,43.69,53.99,31.65
Total Assets,33.26,37.60,42.80,55.50,91.98,113.79,120.99
