Metric,Mar 2007,Mar 2010,Mar 2011,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,0.15,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Reserves,8.59,11.65,8.49,19.80,20.19,20.96,21.14,21.71,23.92,24.80,27.15,27.50,28.19
Borrowings,0.00,0.00,0.65,3.50,1.80,1.80,1.10,0.01,0.01,0.01,2.36,1.50,1.50
  └─ Long term Borrowings,,,,3.26,1.80,1.80,1.10,0.00,0.00,0.00,0.00,0.00,1.50
  └─ Other Borrowings,0.00,0.00,0.65,0.24,0.00,0.00,0.00,0.01,0.01,0.01,2.36,1.50,
Other Liabilities,0.95,1.67,13.07,6.45,4.77,3.49,5.22,3.87,3.87,4.69,5.73,5.51,4.43
  └─ Non controlling int,0.00,0.00,0.00,0.13,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01
  └─ Trade Payables,0.00,0.00,12.74,1.86,1.95,0.68,2.50,1.64,1.55,1.58,2.66,0.19,0.11
  └─ Other liability items,0.95,1.67,0.33,4.46,2.81,2.80,2.71,2.23,2.31,3.10,3.06,5.31,4.31
Total Liabilities,9.69,14.32,25.21,32.75,29.76,29.25,30.46,28.59,30.80,32.50,38.24,37.51,37.12
Fixed Assets,0.00,0.00,0.00,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01
  └─ Computers,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,
  └─ Other fixed assets,0.00,0.00,0.00,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,
  └─ Gross Block,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,
  └─ Accumulated Depreciation,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,8.18,0.11,2.54,0.20,0.20,0.02,0.02,0.02,0.52,0.64,0.64,0.64,0.64
Other Assets,1.51,14.21,22.67,32.51,29.52,29.20,30.41,28.55,30.26,31.85,37.59,36.86,36.47
  └─ Inventories,0.00,0.00,11.23,15.05,12.92,11.76,9.33,9.16,6.61,5.17,3.88,2.97,2.56
  └─ Trade receivables,0.00,0.00,0.00,1.08,0.93,0.66,1.86,1.40,1.40,1.40,1.40,1.98,2.14
    └─ Receivables over 6m,0.00,0.00,0.00,1.08,0.93,0.66,1.86,1.40,1.40,1.40,1.40,1.98,
  └─ Cash Equivalents,0.02,0.01,0.47,0.89,0.21,0.33,0.25,0.75,0.17,0.18,0.12,0.10,0.04
  └─ Loans n Advances,0.97,1.66,0.19,1.98,1.44,0.33,2.60,2.79,2.18,1.02,1.11,0.87,9.88
  └─ Other asset items,0.52,12.54,10.78,13.51,14.02,16.12,16.37,14.45,19.90,24.08,31.08,30.94,21.85
Total Assets,9.69,14.32,25.21,32.75,29.76,29.25,30.46,28.59,30.80,32.50,38.24,37.51,37.12
