Metric,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009
Equity Capital,7,7,7,9,9
Reserves,100,112,122,186,203
Borrowings,44,68,21,49,43
  └─ Other Borrowings,44.40,67.77,20.89,48.69,42.68
Other Liabilities,79,83,148,98,87
  └─ Trade Payables,68,52,60,62,52
  └─ Other liability items,11,31,88,36,35
Total Liabilities,230,269,298,342,341
Fixed Assets,47,54,55,75,73
  └─ Land,2,3,3,3,3
  └─ Building,14,14,15,18,19
  └─ Plant Machinery,61,68,74,96,101
  └─ Computers,5,5,6,6,5
  └─ Furniture n fittings,3,3,2,3,3
  └─ Vehicles,2,1,1,1,1
  └─ Intangible Assets,0,0,0,0,0
  └─ Other fixed assets,0,2,2,2,2
  └─ Gross Block,86,97,103,129,134
  └─ Accumulated Depreciation,39,43,48,53,62
CWIP,3,4,18,6,9
Investments,0,0,0,0,0
Other Assets,180,211,224,261,260
  └─ Inventories,43,56,49,69,63
  └─ Trade receivables,106,119,126,145,138
    └─ Receivables over 6m,8,6,6,8,8
    └─ Receivables under 6m,99,113,120,138,131
    └─ Prov for Doubtful,-1,0,-1,-2,-1
  └─ Cash Equivalents,16,16,26,23,33
  └─ Other asset items,14,20,24,25,26
Total Assets,230,269,298,342,341
