Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,10.71,10.83,10.83,10.83,10.83,10.78,10.78,10.78,11.11,11.95,11.95,11.95
Reserves,27.20,29.10,25.87,27.09,26.84,24.75,23.65,22.94,14.39,-0.43,-7.07,-9.00
Borrowings,2.83,1.79,4.49,7.65,8.03,7.48,3.81,6.10,8.40,7.40,8.18,6.93
  └─ Long term Borrowings,,0.02,0.84,0.32,0.93,0.73,0.25,0.01,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,,1.76,3.22,6.79,6.72,6.74,3.54,6.07,7.45,6.94,7.72,6.93
  └─ Other Borrowings,2.83,0.01,0.43,0.54,0.38,0.01,0.02,0.02,0.95,0.46,0.46,
Other Liabilities,5.49,7.90,10.16,5.68,6.79,5.95,10.97,10.21,8.01,14.45,21.65,24.82
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05
  └─ Trade Payables,2.98,6.25,9.15,4.10,2.02,2.10,6.79,5.25,2.05,4.87,12.74,14.23
  └─ Advance from Customers,0.12,0.01,0.08,0.07,0.57,0.25,0.15,0.04,0.37,3.88,3.29,
  └─ Other liability items,2.39,1.64,0.93,1.51,4.20,3.55,3.98,4.87,5.54,5.65,5.57,10.54
Total Liabilities,46.23,49.62,51.35,51.25,52.49,48.96,49.21,50.03,41.91,33.37,34.71,34.70
Fixed Assets,7.64,7.50,9.46,8.28,7.39,6.53,5.36,4.40,4.80,3.98,3.42,3.24
  └─ Land,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,
  └─ Building,1.51,1.51,1.51,1.51,1.51,1.51,1.51,0.78,1.51,1.51,1.51,
  └─ Plant Machinery,0.00,0.00,5.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,6.80,7.36,4.30,4.27,4.28,4.30,4.31,0.00,5.51,5.51,5.54,
  └─ Computers,0.32,0.37,0.39,0.39,0.40,0.44,0.46,0.03,0.49,0.51,0.51,
  └─ Furniture n fittings,0.13,0.15,0.16,0.12,0.12,0.12,0.12,0.00,0.13,0.13,0.14,
  └─ Vehicles,0.24,0.28,0.31,0.31,0.30,0.40,0.40,0.10,0.47,0.38,0.23,
  └─ Other fixed assets,0.00,0.00,0.58,5.93,5.93,6.13,6.17,2.58,6.18,6.19,6.19,
  └─ Gross Block,10.97,11.64,14.57,14.50,14.51,14.87,14.94,5.46,16.26,16.20,16.09,
  └─ Accumulated Depreciation,3.33,4.14,5.11,6.22,7.11,8.34,9.58,1.06,11.47,12.22,12.67,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,38.59,42.12,41.89,42.97,45.10,42.43,43.85,45.63,37.11,29.39,31.29,31.46
  └─ Inventories,7.45,8.90,8.22,6.20,7.49,8.64,10.14,11.66,10.51,6.52,5.31,5.86
  └─ Trade receivables,23.42,24.00,23.85,29.00,28.11,25.28,21.49,23.20,18.28,9.25,10.68,9.66
  └─ Cash Equivalents,0.73,3.73,4.65,1.35,1.87,2.39,3.44,3.92,1.99,1.52,1.84,1.62
  └─ Loans n Advances,0.93,2.33,0.04,0.13,0.13,2.51,4.66,3.66,1.31,1.37,0.60,0.00
  └─ Other asset items,6.06,3.16,5.13,6.29,7.50,3.61,4.12,3.19,5.02,10.73,12.86,14.32
Total Assets,46.23,49.62,51.35,51.25,52.49,48.96,49.21,50.03,41.91,33.37,34.71,34.70
