Metric,Mar 2006,Mar 2007,Jun 2008
Equity Capital,9,10,10
Reserves,-44,-67,-109
Borrowings,50,65,127
  └─ Other Borrowings,50,65,127
Other Liabilities,31,53,18
  └─ Trade Payables,5.36,4.86,4.19
  └─ Other liability items,26.12,47.94,13.87
Total Liabilities,47,61,47
Fixed Assets,29,25,18
  └─ Land,2,2,3
  └─ Building,12,12,6
  └─ Plant Machinery,78,78,77
  └─ Furniture n fittings,1,1,1
  └─ Vehicles,0,0,0
  └─ Intangible Assets,0,0,0
  └─ Gross Block,94,94,87
  └─ Accumulated Depreciation,64,68,70
CWIP,0,0,0
Investments,0,0,0
Other Assets,17,36,29
  └─ Inventories,8.30,9.10,7.76
  └─ Trade receivables,4.86,4.89,3.38
    └─ Receivables over 6m,6.55,6.09,5.65
    └─ Receivables under 6m,2.82,3.34,2.64
    └─ Prov for Doubtful,-4.51,-4.54,-4.91
  └─ Cash Equivalents,0.19,0.42,1.74
  └─ Loans n Advances,0.00,0.00,0.06
  └─ Other asset items,4.10,21.29,16.06
Total Assets,47,61,47
