Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,1,10,11
Reserves,80,113,162,355,481,872
Borrowings,20,31,84,78,140,150
  └─ Long term Borrowings,8,14,28,11,40,34
  └─ Short term Borrowings,9,17,55,64,96,114
  └─ Lease Liabilities,0,0,0,3,2,2
  └─ Preference Capital,0,0,0,0,2,0
  └─ Other Borrowings,3,0,0,0,0,
Other Liabilities,30,67,97,80,86,141
  └─ Non controlling int,0,0,0,0,0,15
  └─ Trade Payables,9,18,27,51,60,68
  └─ Advance from Customers,1,1,1,8,8,
  └─ Other liability items,20,49,69,21,18,58
Total Liabilities,131,213,344,514,717,1175
Fixed Assets,60,68,137,180,189,344
  └─ Land,5,8,15,24,24,
  └─ Building,3,3,45,88,96,
  └─ Plant Machinery,0,0,0,60,65,
  └─ Equipments,30,33,46,4,6,
  └─ Computers,0,1,1,1,1,
  └─ Furniture n fittings,3,3,6,14,18,
  └─ Vehicles,3,3,4,5,4,
  └─ Wind turbines,0,0,0,2,2,
  └─ Intangible Assets,0,0,0,0,0,75
  └─ Other fixed assets,29,34,40,0,0,
  └─ Gross Block,72,83,157,197,216,
  └─ Accumulated Depreciation,12,16,20,17,27,
CWIP,8,24,8,45,88,178
Investments,6,19,0,0,0,0
Other Assets,57,102,199,289,439,653
  └─ Inventories,10,17,37,67,129,216
  └─ Trade receivables,30,55,107,145,185,228
    └─ Receivables over 6m,0,0,0,28,30,
    └─ Receivables under 6m,30,55,107,120,159,
    └─ Prov for Doubtful,0,0,0,-3,-4,
  └─ Cash Equivalents,4,12,21,14,52,115
  └─ Loans n Advances,8,7,20,26,24,20
  └─ Other asset items,5,10,14,37,49,75
Total Assets,131,213,344,514,717,1175
