Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67
Reserves,-45.21,-40.35,-40.21,-40.31,-39.93,-39.59,-38.79,-38.74,-38.51,-38.41,-35.44,-33.00,-32.32
Borrowings,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,23.20,22.96,23.07,23.29,23.21,23.29,23.35,23.38,16.49,16.35,16.46,17.10,16.48
  └─ Trade Payables,0.00,0.01,0.00,0.00,0.00,0.01,0.09,0.02,0.09,0.10,0.10,0.08,0.07
  └─ Other liability items,23.20,22.95,23.07,23.29,23.21,23.28,23.26,23.36,16.40,16.25,16.36,17.02,16.41
Total Liabilities,43.66,38.28,38.53,38.65,38.95,39.37,40.23,40.31,33.65,33.61,36.69,39.77,39.83
Fixed Assets,6.98,6.46,6.25,6.15,5.95,5.63,5.46,5.25,5.09,4.95,4.67,4.43,3.87
  └─ Land,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,
  └─ Building,8.82,8.24,8.24,8.33,8.33,8.33,8.40,8.40,8.40,8.40,8.17,7.94,
  └─ Plant Machinery,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,0.00,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.41,0.41,
  └─ Computers,0.00,1.80,1.80,1.80,1.80,1.82,1.82,1.82,1.82,1.82,1.83,1.84,
  └─ Furniture n fittings,1.64,1.78,1.78,1.78,1.78,1.78,1.80,1.80,1.80,1.80,1.80,1.80,
  └─ Vehicles,0.26,0.26,0.26,0.26,0.26,0.26,0.16,0.16,0.16,0.16,0.16,0.16,
  └─ Other fixed assets,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,
  └─ Gross Block,13.16,12.59,12.59,12.68,12.68,12.70,12.68,12.68,12.68,12.68,12.46,12.25,
  └─ Accumulated Depreciation,6.18,6.13,6.34,6.53,6.73,7.07,7.22,7.43,7.59,7.74,7.79,7.82,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,11.10,12.74,10.68,10.68,10.68,10.68,10.68,10.68,6.25,6.25,6.16,6.16,6.16
Other Assets,25.58,19.08,21.60,21.82,22.32,23.06,24.09,24.38,22.31,22.41,25.86,29.18,29.80
  └─ Inventories,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,0.00,0.00,0.00,0.00,0.00
  └─ Cash Equivalents,10.10,15.07,18.24,18.49,19.00,19.56,20.49,20.79,21.47,21.53,24.94,28.18,28.71
  └─ Loans n Advances,0.91,1.00,0.07,0.33,0.03,0.02,0.00,0.60,0.31,0.31,0.33,0.34,0.00
  └─ Other asset items,12.10,0.54,0.82,0.53,0.82,1.01,1.13,0.52,0.53,0.57,0.59,0.66,1.09
Total Assets,43.66,38.28,38.53,38.65,38.95,39.37,40.23,40.31,33.65,33.61,36.69,39.77,39.83
