Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,24,25,25,25,25,50,50,50
Reserves,30,40,56,75,45,53,68,63,75,89
Borrowings,55,52,94,107,176,135,115,131,164,135
  └─ Long term Borrowings,24,16,38,18,52,51,38,29,1,20
  └─ Short term Borrowings,28,32,52,86,124,85,77,102,163,115
  └─ Other Borrowings,3,4,4,3,0,0,0,0,0,
Other Liabilities,25,65,81,87,82,116,104,60,54,132
  └─ Trade Payables,9,46,59,59,66,96,84,37,30,110
  └─ Advance from Customers,0,1,1,7,0,1,0,5,2,
  └─ Other liability items,16,18,21,21,17,18,20,19,21,22
Total Liabilities,134,182,254,294,328,329,312,304,342,406
Fixed Assets,44,39,69,65,60,56,60,60,59,88
  └─ Land,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,
  └─ Building,4.67,4.79,6.78,7.05,7.20,7.20,7.52,7.54,7.64,
  └─ Plant Machinery,24.32,14.74,21.80,22.37,22.65,24.17,31.25,34.69,36.44,
  └─ Equipments,0.91,0.04,0.09,0.18,0.27,0.30,0.52,0.64,0.78,
  └─ Computers,0.00,0.01,0.07,0.08,0.09,0.11,0.17,0.16,0.19,
  └─ Furniture n fittings,3.64,0.87,7.12,7.22,8.15,8.19,9.20,9.84,10.41,
  └─ Vehicles,4.08,2.17,2.99,2.87,2.87,2.87,2.88,3.56,3.26,
  └─ Wind turbines,16.71,16.22,29.23,29.23,29.23,29.23,29.23,29.23,29.23,
  └─ Other fixed assets,3.03,4.39,9.60,9.81,9.29,9.15,10.13,11.17,11.86,
  └─ Gross Block,57.79,43.66,78.11,79.24,80.18,81.65,91.33,97.26,100.24,
  └─ Accumulated Depreciation,14.09,4.35,8.99,14.66,20.43,25.95,31.23,36.90,41.63,
CWIP,0,13,0,2,2,2,2,2,2,2
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,91,130,185,227,266,271,250,242,282,316
  └─ Inventories,47,63,118,148,172,201,183,215,252,263
  └─ Trade receivables,28,52,26,43,71,40,43,6,7,34
  └─ Cash Equivalents,6,4,2,2,3,3,3,0,0,1
  └─ Loans n Advances,0,1,5,11,3,5,3,1,5,3
  └─ Other asset items,9,9,35,24,19,23,18,20,18,15
Total Assets,134,182,254,294,328,329,312,304,342,406
