Metric,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026,Mar 2011,Sep 2012
Equity Capital,34,34,34,34,34,34,34,34,34,30,30,30,,
Reserves,330,228,205,163,146,125,114,60,32,498,-2,4,,
Borrowings,700,625,705,723,669,720,1045,1090,1154,0,0,9,,
  └─ Long term Borrowings,15.46,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,7.69,,
  └─ Short term Borrowings,245.36,168.85,172.45,172.24,172.26,172.86,330.98,357.79,385.12,0.00,0.03,1.07,,
  └─ Other Borrowings,439.25,455.73,532.91,551.09,496.52,547.63,714.30,732.12,768.94,0.00,,,,
Other Liabilities,811,693,728,726,634,601,406,395,398,222,4,25,,
  └─ Trade Payables,537.15,376.10,298.34,288.65,203.16,219.36,74.64,194.95,198.52,175.66,1.62,21.23,,
  └─ Advance from Customers,1.86,2.06,1.31,1.43,0.46,0.67,1.62,1.59,1.64,0.00,,,,
  └─ Other liability items,272.04,314.36,428.24,435.59,430.41,380.59,329.93,198.16,198.25,46.10,2.51,3.87,,
Total Liabilities,1875,1579,1672,1646,1483,1480,1600,1578,1619,750,33,68,,
Fixed Assets,323,267,258,248,239,234,227,223,218,199,0,2,,
  └─ Land,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,,,,
  └─ Building,3.55,3.55,3.56,3.57,3.57,3.57,3.17,3.17,3.17,3.06,,,,
  └─ Plant Machinery,71.34,71.34,72.85,73.61,73.89,73.92,71.78,71.78,71.78,17.32,,,,
  └─ Equipments,0.68,2.35,2.37,2.38,2.38,2.39,0.52,0.52,0.52,0.14,,,,
  └─ Computers,112.64,112.50,112.64,293.03,290.88,290.91,289.92,289.94,289.94,4.65,,,,
  └─ Furniture n fittings,8.51,8.56,8.56,8.56,7.67,7.70,7.50,7.50,7.50,1.60,,,,
  └─ Vehicles,3.67,3.80,3.80,3.99,3.72,3.72,1.24,1.24,1.24,0.55,,,,
  └─ Intangible Assets,207.23,207.23,207.23,203.30,203.30,203.30,203.30,203.30,203.30,203.30,0.00,0.00,,
  └─ Other fixed assets,180.30,180.30,180.35,-0.01,0.00,0.00,-0.01,-0.01,0.00,0.00,,,,
  └─ Gross Block,588.34,590.05,591.78,588.85,585.83,585.93,577.84,577.86,577.87,231.04,,,,
  └─ Accumulated Depreciation,265.70,323.03,334.03,340.57,346.51,351.72,350.91,355.21,359.48,32.41,,,,
CWIP,13,14,14,14,14,14,12,12,12,0,0,0,,
Investments,0,0,0,0,0,0,0,0,0,0,5,14,,
Other Assets,1539,1298,1400,1384,1230,1233,1361,1344,1388,551,27,53,,
  └─ Inventories,5.43,7.15,7.96,5.13,4.30,3.43,2.90,2.71,3.91,0.16,0.02,0.02,,
  └─ Trade receivables,1321.36,1067.80,1169.47,1147.79,897.42,947.64,1073.06,1049.53,1084.93,339.43,2.45,25.83,,
    └─ Receivables over 6m,1388,1135,1235,1212,960,1035,1163,1142,1177,338,,,456,782
    └─ Receivables under 6m,4,3,5,6,8,5,3,0,0,1,,,311,341
    └─ Prov for Doubtful,-70,-70,-70,-70,-70,-93,-93,-93,-93,0,,,-5,-6
  └─ Cash Equivalents,22.91,4.59,5.63,6.53,6.43,6.51,8.90,11.21,15.33,9.59,1.63,1.25,,
  └─ Loans n Advances,4.09,21.08,28.95,60.44,155.17,94.28,102.42,101.30,103.04,178.69,7.68,8.18,,
  └─ Other asset items,185.59,197.57,188.49,164.48,166.40,180.71,173.40,178.80,181.18,23.49,15.48,17.37,,
Total Assets,1875,1579,1672,1646,1483,1480,1600,1578,1619,750,33,68,,
