Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,773,774,915,938,949,1015,1220,1221
Reserves,655,294,1729,1835,2394,3007,5592,4619
Borrowings,1703,5285,3600,4100,6573,9451,5017,6189
  └─ Long term Borrowings,724,857,814,778,1508,2512,1149,1091
  └─ Short term Borrowings,474,1512,322,454,798,1694,290,603
  └─ Lease Liabilities,0,2502,2463,2868,4267,5246,3578,4495
  └─ Preference Capital,1,1,1,1,0,1,1,0
  └─ Other Borrowings,504,414,-1,-1,-0,-1,-1,
Other Liabilities,3489,3406,3805,5321,6873,8317,4565,5729
  └─ Non controlling int,0,20,32,15,3,687,1,424
  └─ Trade Payables,2397,2290,2152,3411,3846,4131,2242,2353
  └─ Advance from Customers,15,43,66,86,67,96,97,
  └─ Other liability items,1077,1053,1554,1809,2957,3402,2224,2952
Total Liabilities,6621,9758,10049,12195,16790,21790,16394,17757
Fixed Assets,2555,4940,5627,6059,8359,11879,9417,10387
  └─ Land,6,16,17,17,18,18,0,
  └─ Building,306,3099,3647,4767,6644,8256,6196,
  └─ Plant Machinery,184,226,243,281,323,354,69,
  └─ Equipments,130,136,141,155,199,242,175,
  └─ Computers,102,117,123,137,184,203,150,
  └─ Furniture n fittings,510,549,604,632,848,983,937,
  └─ Vehicles,13,16,14,10,19,45,26,
  └─ Intangible Assets,1923,2065,2897,2898,3232,5732,5703,5458
  └─ Other fixed assets,66,118,127,141,670,805,176,
  └─ Gross Block,3241,6342,7812,9038,12137,16637,13434,
  └─ Accumulated Depreciation,686,1402,2185,2979,3777,4758,4017,
CWIP,22,48,38,103,204,171,181,88
Investments,4,14,418,684,267,985,1749,1240
Other Assets,4039,4756,3966,5348,7960,8756,5046,6042
  └─ Inventories,1921,2367,1847,2930,4214,4505,2454,2828
  └─ Trade receivables,781,840,608,756,886,1283,373,407
    └─ Receivables over 6m,0,0,0,0,0,117,94,
    └─ Receivables under 6m,791,860,634,781,915,1229,318,
    └─ Prov for Doubtful,-10,-20,-26,-25,-28,-64,-39,
  └─ Cash Equivalents,57,267,262,121,701,462,773,481
  └─ Loans n Advances,156,161,130,198,224,273,181,593
  └─ Other asset items,1123,1121,1120,1343,1934,2232,1264,1734
Total Assets,6621,9758,10049,12195,16790,21790,16394,17757
