Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,101,101,101,101,101,101,101,110,110,110,110,110,
Reserves,7779,9114,11055,14210,16230,18164,20500,24641,27075,31367,36242,41319,
Borrowing,96532,110931,126337,150913,170657,191428,207925,223757,244913,252618,270726,277539,
Other Liabilities,8218,10441,13504,6004,13719,7227,7195,6179,6461,7198,6963,6245,
  └─ Non controlling int,2,2,2,2,2,2,3,3,3,3,4,4,
  └─ Trade Payables,27,37,51,53,75,31,86,54,34,184,216,95,
  └─ Other liability items,8190,10403,13451,5950,13642,7194,7106,6122,6424,7011,6743,6146,
Total Liabilities,112630,130587,150997,171228,200707,216920,235721,254687,278559,291293,314040,325213,
Fixed Assets,90,102,102,129,168,294,282,315,388,389,377,416,
  └─ Land,5.42,5.42,0.93,29.62,30.59,28.82,28.82,16.86,18.69,6.73,6.73,,
  └─ Building,76.82,92.15,100.99,83.52,120.59,128.70,130.85,133.35,140.87,124.04,127.83,,
  └─ Equipments,8.76,8.70,9.19,3.23,4.42,6.09,7.05,8.14,9.50,7.75,9.78,,
  └─ Computers,39.86,40.73,35.28,12.84,18.36,21.92,24.45,34.28,54.76,76.53,87.73,,
  └─ Furniture n fittings,10.79,10.78,11.95,4.88,8.33,9.33,10.03,11.66,14.65,14.37,15.46,,
  └─ Vehicles,0.78,0.67,0.67,0.22,0.38,0.57,0.64,0.64,0.82,0.82,1.46,,
  └─ Intangible Assets,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,39.46,
  └─ Other fixed assets,20.08,21.13,21.69,4.23,6.36,168.64,125.91,167.87,414.73,499.04,563.89,,
  └─ Gross Block,162.72,179.79,180.91,138.75,189.24,364.28,327.96,373.01,654.23,729.49,813.09,,
  └─ Accumulated Depreciation,72.55,77.39,78.54,9.29,21.16,69.85,46.09,58.19,265.75,340.70,435.84,,
CWIP,0,0,5,3,2,3,6,4,1,0,52,0,
Investments,241,280,537,2008,3617,5485,4644,6279,7050,6337,7201,5132,
Other Assets,112298,130204,150352,169088,196920,211138,230789,248088,271120,284567,306411,319664,
  └─ Trade receivables,73,88,112,14,12,22,8,8,1,10,12,8,
    └─ Receivables over 6m,0.00,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.97,0.65,0.43,,0.00
    └─ Receivables under 6m,72.51,87.66,110.23,13.50,11.99,21.80,10.77,9.68,0.71,9.94,11.62,,71.81
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,0.00,-3.07,-1.30,-0.96,-0.65,-0.43,,0.00
  └─ Cash Equivalents,2993,3987,4523,2143,3053,2037,1385,985,822,1655,1474,1348,
  └─ Loans n Advances,6552,7523,9122,186,209,396,40,175,43,495,636,316066,
  └─ Other asset items,102681,118606,136596,166745,193645,208683,229357,246920,270254,282406,304289,2242,
Total Assets,112630,130587,150997,171228,200707,216920,235721,254687,278559,291293,314040,325213,
