Metric,Mar 2025,Mar 2026
Equity Capital,,11
Reserves,,93
Borrowings,,85
  └─ Long term Borrowings,,12
  └─ Short term Borrowings,,73
Other Liabilities,,35
  └─ Non controlling int,,0.12
  └─ Trade Payables,,12.09
  └─ Other liability items,,22.98
Total Liabilities,,225
Fixed Assets,,19
  └─ Intangible Assets,,1.30
CWIP,,13
Investments,,22
Other Assets,,170
  └─ Inventories,,62
  └─ Trade receivables,,39
  └─ Cash Equivalents,,26
  └─ Loans n Advances,,33
  └─ Other asset items,,9
Total Assets,,225
