Metric,Mar 2025,Mar 2026
Equity Capital,14,15
Reserves,79,107
Borrowings,75,83
  └─ Long term Borrowings,9,12
  └─ Short term Borrowings,66,71
Other Liabilities,10,14
  └─ Trade Payables,5.09,5.94
  └─ Advance from Customers,0.45,
  └─ Other liability items,4.95,8.15
Total Liabilities,179,220
Fixed Assets,15,16
  └─ Land,1.04,
  └─ Building,7.63,
  └─ Plant Machinery,14.39,
  └─ Equipments,0.81,
  └─ Computers,0.42,
  └─ Furniture n fittings,1.29,
  └─ Vehicles,1.80,
  └─ Other fixed assets,0.02,
  └─ Gross Block,27.40,
  └─ Accumulated Depreciation,12.84,
CWIP,0,2
Investments,4,6
Other Assets,161,196
  └─ Inventories,98,114
  └─ Trade receivables,47,60
    └─ Receivables over 6m,12.10,
    └─ Receivables under 6m,35.06,
  └─ Cash Equivalents,0,1
  └─ Loans n Advances,5,20
  └─ Other asset items,10,0
Total Assets,179,220
