Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,10,10,10,10,10,10,10,10,10,10
Reserves,10,12,13,15,17,21,22,24,27,27
Borrowings,36,20,15,21,30,14,3,17,9,8
  └─ Long term Borrowings,4.37,2.24,3.55,4.68,8.95,3.72,0.00,6.84,8.52,5.24
  └─ Short term Borrowings,31.15,16.96,10.87,16.02,21.01,9.79,2.37,10.53,0.14,2.77
  └─ Other Borrowings,0.48,0.88,0.15,0.11,0.25,0.27,0.77,0.00,0.00,
Other Liabilities,11,10,11,12,12,17,20,29,19,17
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.63
  └─ Trade Payables,8.53,9.00,8.06,8.00,6.53,14.87,16.56,27.60,14.47,15.62
  └─ Advance from Customers,0.30,0.15,1.82,2.84,2.68,0.11,0.97,0.17,0.19,
  └─ Other liability items,1.77,1.22,1.54,1.65,2.48,1.84,2.00,1.66,1.95,1.02
Total Liabilities,67,52,49,58,69,62,55,81,65,62
Fixed Assets,6,7,7,8,9,9,9,8,3,3
  └─ Land,0.12,0.12,0.12,0.12,0.12,0.12,1.11,0.12,0.00,
  └─ Building,1.57,2.42,2.51,2.49,2.51,2.74,2.83,2.89,0.13,
  └─ Plant Machinery,5.98,7.15,7.37,8.86,10.20,10.74,10.81,10.93,2.01,
  └─ Equipments,0.47,0.51,0.51,0.31,0.33,0.35,0.37,0.38,0.36,
  └─ Computers,0.33,0.36,0.39,0.16,0.18,0.19,0.22,0.23,0.25,
  └─ Furniture n fittings,0.59,0.66,0.66,0.66,0.67,0.55,0.56,0.57,0.40,
  └─ Vehicles,1.73,1.69,1.73,1.73,1.76,1.90,1.81,1.36,2.02,
  └─ Other fixed assets,0.00,-0.03,0.00,-0.01,-0.01,0.00,0.01,-0.01,0.02,
  └─ Gross Block,10.79,12.88,13.29,14.32,15.76,16.59,17.72,16.47,5.19,
  └─ Accumulated Depreciation,5.20,5.45,5.96,6.07,6.32,7.14,8.44,8.51,2.15,
CWIP,0,0,1,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,61,45,41,50,60,52,46,73,62,59
  └─ Inventories,11.12,9.58,6.67,10.77,12.05,12.48,8.91,15.72,13.67,9.28
  └─ Trade receivables,44.27,29.13,25.91,31.13,35.91,34.82,30.81,41.97,32.69,32.82
  └─ Cash Equivalents,0.40,0.77,1.24,2.29,3.44,1.93,0.75,1.31,2.43,4.31
  └─ Loans n Advances,0.81,1.48,4.67,3.08,3.74,0.36,3.85,9.40,9.32,4.61
  └─ Other asset items,4.57,3.94,2.55,2.86,4.69,2.73,1.65,4.37,3.87,8.14
Total Assets,67,52,49,58,69,62,55,81,65,62
