Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,37,37,39,39,39,39,39,39,39,39,39,39,
Reserves,120,129,19,64,79,96,96,94,93,104,125,148,
Borrowings,148,159,79,103,122,119,145,108,66,35,26,24,
  └─ Long term Borrowings,105.98,135.42,57.93,60.75,88.63,99.91,115.61,87.52,20.96,26.12,22.54,20.64,
  └─ Short term Borrowings,7.04,4.91,5.50,6.63,18.52,9.82,29.32,20.69,44.82,8.46,3.57,3.05,
  └─ Other Borrowings,34.94,18.64,15.17,35.20,14.50,9.31,-0.01,0.00,0.00,0.00,0.00,,
Other Liabilities,47,55,104,71,76,90,84,178,620,664,680,682,
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Trade Payables,12,20,25,41,46,43,48,32,41,20,25,37,
  └─ Advance from Customers,9,6,29,14,18,35,27,137,568,632,626,,
  └─ Other liability items,26,28,49,15,12,12,8,9,10,12,29,645,
Total Liabilities,352,379,241,277,316,345,364,419,818,842,870,894,
Fixed Assets,33,33,35,34,32,31,38,36,34,35,38,36,
  └─ Land,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,,
  └─ Building,30.54,30.54,0.91,1.32,1.32,1.29,1.29,1.29,1.29,1.29,1.29,,
  └─ Plant Machinery,1.01,1.38,2.46,2.61,1.98,1.86,1.86,1.57,0.83,0.82,1.17,,
  └─ Equipments,0.34,0.37,0.19,0.23,0.34,0.29,0.27,0.10,0.09,0.10,0.16,,
  └─ Computers,0.33,0.35,0.09,0.10,0.10,0.07,0.07,0.05,0.04,0.09,0.11,,
  └─ Furniture n fittings,0.98,1.09,0.64,0.64,0.69,0.68,0.68,0.49,0.54,0.74,0.78,,
  └─ Vehicles,4.46,5.62,5.84,6.31,5.62,6.36,6.06,5.53,4.75,3.91,6.91,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,
  └─ Other fixed assets,0.00,0.00,26.00,26.00,26.01,26.02,35.44,35.45,35.47,37.30,37.34,,
  └─ Gross Block,37.77,39.46,36.24,37.32,36.17,36.68,45.78,44.59,43.12,44.36,47.87,,
  └─ Accumulated Depreciation,4.70,6.10,1.62,3.33,4.44,6.04,7.57,8.36,9.25,9.59,10.24,,
CWIP,0,0,22,0,0,0,0,0,0,0,0,0,
Investments,7,10,10,6,5,6,7,71,78,89,102,90,
Other Assets,312,336,174,236,280,308,318,311,706,719,731,767,
  └─ Inventories,147,143,60,64,80,48,47,62,67,144,108,97,
  └─ Trade receivables,31,36,30,35,32,64,65,37,20,8,4,27,
    └─ Receivables over 6m,7.64,3.92,0.00,0.00,0.00,2.14,2.98,5.93,16.61,1.63,1.73,,8.63
    └─ Receivables under 6m,23.49,32.50,30.02,35.10,32.19,63.46,62.83,32.19,4.87,6.65,3.03,,19.97
    └─ Prov for Doubtful,0.00,0.00,0.00,-0.36,-0.40,-1.49,-0.77,-0.66,-1.78,-0.22,-0.33,,0.00
  └─ Cash Equivalents,5,3,7,7,7,6,19,1,3,5,26,0,
  └─ Loans n Advances,12,11,19,25,10,15,13,11,5,14,15,106,
  └─ Other asset items,116,143,59,106,151,174,174,201,612,548,577,537,
Total Assets,352,379,241,277,316,345,364,419,818,842,870,894,
